rid,filename,author,title,date,type,publication,place,length,collection,preparer
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20100904.txt,MLP,Faire naître une nouvelle élite populaire,04/09/2010,discours,,Saint-Laurent-du-Var,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110116.txt,MLP,Investiture à la présidence du FN,16/01/2011,discours,,Tours,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110212.txt,MLP,Discours de clôture devant le Conseil National du FN ,12/2/11,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110311.txt,MLP,Il est bien satisfaisant,11/03/2011,discours,,Bompas,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110312.txt,MLP,,12/03/2011,discours,,Six-Fours,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110501.txt,MLP,Discours en l’honneur de Jeanne d’Arc et des travailleurs/Discours du 1er mai ,1/5/11,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110911.txt,MLP,,11/09/2011,discours,,Nice,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20111109.txt,MLP,Présentation du Projet Présidentiel/ Programme présidentiel ,19/11/2011,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20111130.txt,MLP,Discours auprès des forains ,30/11/2011,discours,,Pontoise,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20111211-1.txt,MLP,Discours devant le Sénat contre le droit de vote des étrangers ,8/12/2011,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20111211-M.txt,MLP,Discours de clôture ,11/12/11,discours,,Metz,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120105.txt,MLP,Conférence de presse ,5/1/2012,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120106.txt,MLP,Galette des rois ,06/01/2012,discours,,Saint-Denis,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120112.txt,MLP,Chiffrage du projet présidentiel ,12/1/12,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120115.txt,MLP,,15/01/2012,discours,,Rouen,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120122.txt,MLP,,22/01/2012,discours,,Palais des congrès de Bordeaux ,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120205.txt,MLP,,05/02/12,discours,,Toulouse,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20110212.txt,MLP,,12/02/2012,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120226.txt,MLP,,26/02/2012,discours,,Châteauroux ( Val-de-Loire) ,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120304.txt,MLP,,04/03/2012,discours,,"Marseille
Meeting sur « Autorité de l’état et sécurité des Français » 
",,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120313.txt,MLP,Déclaration candidature,13/03/2012,discours,,Hénin-Beaumont,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120325.txt,MLP,,25/03/2012,discours,,Nantes,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120420.txt,MLP,,20/04/2012,discours,,Merdrignac (Bretagne) ,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20120926.txt,MLP,,26/09/2012,discours,,La Baule Université d’été,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20130109.txt,MLP,Voeux à la presse,09/01/2013,discours,,Paris,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20130501.txt,MLP,,1/5/2013,discours,,Devant l’opéra Garnier à Paris ,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20130915.txt,MLP,,15/09/2013,discours,,Marseille,,,
,MLP-CLean-Txt/MLP Discours CLEAN .Txt/MLP-D-20140107.txt,MLP,Voeux à la presse,07/01/2014,discours,,Nanterre,,,
