resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20120501.txt,JMLP,Discours traditionnel à l’occasion du 600eme anniversaire de Jeanne d’Arc,1/5/12,discours,,"Paris, placede l’opéra",,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070303.txt,JMLP,Discours à Marseille,3/3/07,discours,,Marseille ,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070104.txt,JMLP,Voeux,4/1/07,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061105.txt,JMLP,Discours à Bordeaux,5/11/06,discours,,Bordeaux,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070306.txt,JMLP,Discours au Salon de l'agriculture ,6/3/07,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070406.txt,JMLP,Discours à Argenteuil,6/4/07,discours,,Argenteuil,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061008.txt,JMLP,Discours à Palavas-les-Flots,8/10/06,discours,,Palavas-les-Flots,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20120109.txt,JMLP,Discours lors de la commémoration du 600ème anniversaire de Jeanne d'Arc,9/1/12,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070211.txt,JMLP,Discours à Nantes ,11/2/07,discours,,Nantes,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070311.txt,JMLP,Discours à Lyon,11/3/07,discours,,Lyon,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061112.txt,JMLP,Discours du Bourget,12/11/06,discours,,Bourget,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070415.txt,JMLP,Discours à Paris ,15/04/2007 ,discours,,Paris,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070417.txt,JMLP,Conférence de presse dans le Pas-de-Calais,17/04/2007,discours,,Pas-de-Calais,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070419.txt,JMLP,Discours à Nice,19/04/2007,discours,,Nice,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061119.txt,JMLP,Discours à Metz ,19/11/2006,discours,,Metz,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070220.txt,JMLP,Discours au forum Chasse et Ruralité,20/02/2007,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20060920.txt,JMLP,Discours à Valmy,20/09/2006,discours,,Valmy,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20090920.txt,JMLP,Conseil national du FN,20/09/2009,discours,,Nanterre,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070121.txt,JMLP,Discours à la Plaine-Saint-Denis ,21/01/2007 ,discours,,Plaine-Saint-Denis,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070422.txt,JMLP,Discours au soir du premier tour,22/04/2007,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061022.txt,JMLP,Discours aux Herbiers,22/10/2006,discours,,Bretagne,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070323.txt,JMLP,Conférence de Presse - Anniversaire du traité de Rome,23/03/2007,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070324.txt,JMLP,Discours devant l'USDIFRA à Nîmes ,24/03/2007 ,discours,,Nîmes,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070325.txt,JMLP,Discours à Toulouse,25/03/2007,discours,,Toulouse,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070226.txt,JMLP,Convention présidentielle à Lille,26/02/2007,discours,,Lille,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061126.txt,JMLP,Discours à Dijon,26/11/2006,discours,,Dijon,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070127.txt,JMLP,Discours à Yvetot,27/01/2007,discours,,Yvetot,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20091128.txt,JMLP,Discours à Carpentras,28/11/2009,discours,,Carpentras,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20060929.txt,JMLP,Intervention au Parlement Européen,29/09/2006,discours,,Bruxelles,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20061029.txt,JMLP,Discours à Parcay-Meslay,29/10/2006,discours,,Parcay-Meslay,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20070331.txt,JMLP,,31/03/2007,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20080501.txt,JMLP,1er mai,1/5/08,discours,,Paris,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20090501.txt,JMLP,1er mai,1/5/09,discours,,Paris,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20070501.txt,JMLP,1er mai,1/5/07,discours,,Paris,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20060501.txt,JMLP,1er mai,1/5/06,discours,,Paris,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20040501.txt,JMLP,1er mai,1/5/04,discours,,Paris,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20060103.txt,JMLP,Conférence de presse,3/1/06,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/JMLP20060303.txt,JMLP,,3/3/06,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20060617.txt,JMLP,,17/6/2006,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20080624.txt,JMLP,,24/6/2008,discours,,,,,
,JMLP-CLean-Txt/JMLP discours CLEAN .txt/jmlp20080628.txt,JMLP,,28/6/2008,discours,,,,,
