resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860101.txt,JMLP,,01/01/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860115.txt,JMLP,,15/01/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860201.txt,JMLP,,01/02/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860215.txt,JMLP,,15/02/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860301.txt,JMLP,,01/03/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860315.txt,JMLP,,15/03/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860401.txt,JMLP,,01/04/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860415.txt,JMLP,,15/04/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860501.txt,JMLP,,01/05/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860515.txt,JMLP,,15/05/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860601.txt,JMLP,,01/06/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860615.txt,JMLP,,15/06/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860701.txt,JMLP,,01/07/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860715.txt,JMLP,,15/07/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860901.txt,JMLP,,01/09/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19860915.txt,JMLP,,15/09/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
,JMLP-CLean-Txt/Lettre de JMLP CLEAN/1986/lettreJMLP-19861001.txt,JMLP,,01/10/1986,éditorial ,Lettre de Jean-Marie Le Pen,,,,
