resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
26,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP19970519.txt,JMLP,Jean-Marie Le Pen,19/05/1997,DL Radio ,France Inter,Paris,00 :09 :00,Questions par A+B,
34,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP19970601.txt,JMLP,Déclaration de Jean- Marie Le Pen,1/06/1997,DL Radio ,France Info,Paris,00 :02 :34,Soirée spéciale élections législatives 2ème tour,
3,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP19980213.txt,JMLP,Jean-Marie Le Pen,13/02/1998,DL Radio ,France Inter,Paris,00 :39 :00,Dernière édition,
31,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP19981117.txt,JMLP,Jean-Marie Le Pen,17/11/1998,DL Radio ,France Info,Paris,00 :08 :43,L’invité,
6,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP19990319.txt,JMLP,Jean-Marie Le Pen,19/03/1999,DL Radio ,France Inter,Paris,00 :39 :00,Dernière édition,
14,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP19990603.txt,JMLP,Jean-Marie Le Pen,3/06/1999,DL Radio ,France Inter,Paris,00 :09 :00,Question directe,
12,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020220.txt,JMLP,Jean-Marie Le Pen,20/02/2002,DL Radio ,RMC,Paris,01 :00 :00,Le Forum RMC Info Le Point,
17,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020315.txt,JMLP,Jean-Marie Le Pen,15/03/2002,DL Radio ,RMC,Paris,00 :40 :00,L’invité de Jean- Jacques Bourdin,
20,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020321.txt,JMLP,L’invité du petit déjeuner,21/03/2002,DL Radio ,France Inter,Paris,00 :37 :20,Journal 08h00,
30,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020402.txt,JMLP,Jean-Marie Le Pen,02/04/2002,DL Radio ,RTL,Paris,00 :43 :39,Face aux Français,
33,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020408.txt,JMLP,Jean-Marie Le Pen,08/04/2002,DL Radio ,Europe 1,Paris,00 :12 :00,L’interview de Jean-Pierre Elkabbach,
49,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020422.txt,JMLP,Déclaration Jean-Marie Le Pen,22/04/2002,DL Radio ,France Info,Paris,00 :01 :37,Journal 19h00,
66,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020429-E1.txt,JMLP,Jean-Marie Le Pen,29/04/2002,DL Radio ,Europe 1,Paris,00 :12 :00,L’interview de Jean-Pierre Elkabbach,
67,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020429-FI.txt,JMLP,Campagne officielle pour le second tour de l’élection présidentielle,29/04/2002,DL Radio ,France Inter,,00 :04 :00,Inter treize quatorze,
78,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020501-FI.txt,JMLP,Jean-Marie Le Pen ; Jacques Chirac,01/05/2002,DL Radio ,France Inter,Paris,00 :05 :00,Campagne officielle pour l’élection présidentielle,
81,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020501-RT.txt,JMLP,Jean-Marie Le Pen,01/05/2002,DL Radio ,RTL,Paris,00 :22 :00,L’invité de RTL,
82,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020502.txt,JMLP,Jean-Marie Le Pen,02/05/2002,DL Radio ,France Inter,Paris,00 :26 :00,Question directe,
105,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20020602.txt,JMLP,Jean-Marie Le Pen,02/06/2002,DL Radio ,RTL,Paris,01 :00 :00,Le grand jury RTL Le Monde LCI,
10,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20030421.txt,JMLP,Le Front National,21/04/2003,DL Radio ,France Culture,Paris,01 :10 :00,Pot au feu,
5,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20040208.txt,JMLP,Jean-Marie Le Pen,08/02/2004,DL Radio ,RTL,Paris,01 :00 :00,Le grand jury RTL Le Monde LCI,
11,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20040218.txt,JMLP,Jean-Marie Le Pen,18/02/2004,DL Radio ,France Inter,Paris,00 :37 :30,Res Publica,
22,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20040317.txt,JMLP,Jean-Marie Le Pen,17/03/2004,DL Radio ,RMC,Paris,00 :24 :00,L’invité de Jean- Jacques Bourdin,
30,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20040324.txt,JMLP,Le Pen,24/03/2004,DL Radio ,Europe 1,Paris,00 :12 :00,L’interview de Jean-Pierre Elkabbach,
43,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20040607.txt,JMLP,Jean-Marie Le Pen,07/06/2004,DL Radio ,France Info,Paris,00 :08 :00,L’invité,
7,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20050417.txt,JMLP,Jean-Marie Le Pen,17/04/2005,DL Radio ,RTL,Paris,01 :00 :00,Le grand jury RTL Le Monde LCI,
8,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20050418.txt,JMLP,Jean-Marie Le Pen,18/04/2005,DL Radio ,RMC,Paris,00 :24 :00,L’invité de Jean- Jacques Bourdin,
15,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20050517.txt,JMLP,Jean-Marie Le Pen,17/05/2005,DL Radio ,France Inter,Paris,00 :10 :00,Question directe,
33,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20051113.txt,JMLP,Jean-Marie Le Pen,13/11/2005,DL Radio ,RTL,Paris,01 :00 :00,Le grand jury RTL Le Figaro LCI,
1,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20060210.txt,JMLP,Jean-Marie Le Pen,10/02/2006,DL Radio ,France Inter,Paris,00 :38 :30,Le franc parler,
7,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20060420.txt,JMLP,Jean-Marie Le Pen,20/04/2006,DL Radio ,RMC,Paris,00 :53 :00,L’invité de Jean Jacques Bourdin,
30,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20060924.txt,JMLP,"Jean-Marie Le Pen, Président du Front National",24/09/2006,DL Radio ,Europe 1,Paris,00 :50 :00,Le grand rendez- vous Europe 1 TV5Monde Le Parisien,
42,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20061218.txt,JMLP,Jean-Marie Le Pen,18/12/2006,DL Radio ,RTL,Paris,00 :09 :16,L’invité de RTL,
22,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070223.txt,JMLP,L’imaginaire historique des candidats à l’élection présidentielle,23/02/2007,DL Radio ,France Culture,Paris,00 :54 :00,La fabrique de l’histoire,
67,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070411.txt,JMLP,Jean-Marie Le Pen,11/04/2007,DL Radio ,Europe 1,Paris,00 :29 :00,L’interview de Jean-Pierre Elkabbach,
74,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070416.txt,JMLP,Campagne officielle pour l’élection du Président de la République,16/04/2007,DL Radio ,France Inter,Paris,00 :10 :30,Campagne officielle pour l’élection du Président de la République,
