resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
58,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19970525France2.txt,JMLP,Duplex Jean-Marie Le Pen,25/05/1997,DLTV,France 2,,00 :14 :59,Législatives 1er tour (2ème  partie),
68,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19970527France2.txt,JMLP,Campagne officielle Elections législatives 1997 2ème tour,27/05/1997,DLTV,France 2,Paris,00 :01 :39,Campagne officielle,
10,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19980208TF1.txt,JMLP,Jean-Marie Le Pen,08/02/1998,DLTV,TF1,Paris,00 :54 :57,Public,
29,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19980302TF1.txt,JMLP,Plateau invité : Jean- Marie Le Pen,02/03/1998,DLTV,TF1,Paris,00 :06 :59,TF1 20 heures,
,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19980315C+.txt,JMLP,,15/03/1998,DLTV,Canal +,,,,
124,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19981213TF1.txt,JMLP,Jean-Marie Le Pen,13/12/1998,DLTV,TF1,Paris,00 :54 :15,Public,
6,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19990124France2.txt,JMLP,Interview Jean-Marie Le Pen,24/01/1999,DLTV,France 2,Paris,00 :43 :00,Polémiques,
22,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19990411France3.txt,JMLP,Jean-Marie Le Pen,11/04/1999,DLTV,France 3,Paris,00 :49 :31,Politique dimanche,
35,JMLP-CLean-Txt/JMLP TV CLEAN .txt/19990530France2.txt,JMLP,Invité : Jean-Marie Le Pen,30/05/1999,DLTV,France 2,Paris,00 :15 :00,Polémiques,
8,JMLP-CLean-Txt/JMLP TV CLEAN .txt/20000425France2.txt,JMLP,Jean-Marie Le Pen,25/04/2000,DLTV,France 2,Paris,00 :06 :34,Les 4 vérités,
15,JMLP-CLean-Txt/JMLP TV CLEAN .txt/20000912TF1.txt,JMLP,Plateau invité,12/09/2000,DLTV,TF1,Paris,00 :04 :47,TF1 20 heures,
2,JMLP-CLean-Txt/JMLP TV CLEAN .txt/20010209France2.txt,JMLP,Jean-Marie Le Pen,09/02/2001,DLTV,France 2,Paris,00 :06 :18,Les 4 vérités,
3,JMLP-CLean-Txt/JMLP TV CLEAN .txt/20010213TF1.txt,JMLP,Jean-Marie Le Pen,13/02/2001,DLTV,TF1,Paris,00 :07 :15,Répondez nous,
