resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
7,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110117Bourdin.txt,MLP,Marine Le Pen,17/01/2011,DL Radio,RMC,Paris,0:23:37,Bourdin direct,
17,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110220FranceInter.txt,MLP,Marine Le Pen,20/02/2011,DL Radio,France Inter,Paris,0:43:49,Dimanche soir : politique,
45,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110322RTL.txt,MLP,Marine Le Pen,22/03/2011,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
46,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110323Europe1.txt,MLP,Marine Le Pen,23/03/2011,DL Radio,Europe 1,Paris,0:09:27,L’interview de Jean-Pierre Elkabbach,
57,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110429RTL.txt,MLP,Marine Le Pen,27/04/2011,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
72,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110526RFI.txt,MLP,Marine Le Pen,26/05/2011,DL Radio,Radio France Internationale,Paris,0:07:34,Invité matin,
79,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110604FranceInter.txt,MLP,Invitée Marine Le Pen,14/06/2011,DL Radio,France Inter,Paris,0:13:44,L’invité d’Inter,
92,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110824FranceInfo.txt,MLP,Marine Le Pen,24/08/2011,DL Radio,France Info,Paris,0:16:03,L’invité,
94,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110902RTL.txt,MLP,Marine Le Pen,02/09/2011,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
98,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20110908BFM.txt,MLP,Marine Le Pen,08/09/2011,DL Radio,BFM La radio de l’éco,Paris,0:25:06,L’invité 13h00,
114,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20111030RTL.txt,MLP,Marine Le Pen,30/10/2011,DL Radio,RTL,Paris,1:00:00,Le grand jury RTL Le Figaro LCI,
122,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20111108RFI.txt,MLP,Marine Le Pen,08/11/2011,DL Radio,Radio France Internationale,Paris,0:49:11,Mardi politique,
132,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20111127FranceInter.txt,MLP,"Marine Le Pen, présidente du FN et candidate à l’élection présidentielle de 2012",27/11/2011,DL Radio,France Inter,Paris,0:49:11,Radio France politique,
137,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20111208RTL.txt,MLP,Marine Le Pen,08/12/2011,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
143,MLP-CLean-Txt/MLP radio CLEAN .txt/2011/20111220Europe1.txt,MLP,Marine Le Pen,20/12/2011,DL Radio,Europe 1,Paris,0:11:58,L’interview,
22,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120131BFM.txt,MLP,Marine Le Pen,31/01/2012,DL Radio,BFM la radio de l’éco,Paris,1:28:22,Face aux entrepreneurs,
24,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120202RTL.txt,MLP,Marine Le Pen,02/02/2012,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
35,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120216FranceInfo.txt,MLP,Marine Le Pen,16/02/2012,DL Radio,France Info,Paris,0:09:14,L’invité,
54,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120229Europe1.txt,MLP,Spéciale présidentielle 2012 : Marine Le Pen,29/02/2012,DL Radio,Europe 1,Paris,0:08:33,L’interview,
69,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120307RTL.txt,MLP,"Marine Le Pen, candidate du FN",07/03/2012,DL Radio,RTL,Paris,0:48:34,Les auditeurs ont la parole,
,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120315Europe1.txt,MLP,,15/03/2012,DL Radio,Europe 1,Paris,,I>TELE,
101,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120405RTL.txt,MLP,Marine Le Pen,05/04/2012,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
106,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120409FranceInter.txt,MLP,Campagne officielle pour l’élection du président de la République,09/04/2012,DL Radio,France Inter,Paris,0:15:00,Campagne officielle pour l’élection du président de la République,
109,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120411FranceInter.txt,MLP,Campagne officielle pour l’élection du président de la République,11/04/2012,DL Radio,France Inter,Paris,0:14:50,Campagne officielle pour l’élection du président de la République,
111,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120412Europe1.txt,MLP,Marine Le Pen,12/04/2012,DL Radio,Europe 1,Paris,0:09:20,L’interview,
127,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120417FranceInter.txt,MLP,Campagne officielle pour l’élection du président de la République,17/04/2012,DL Radio,France Inter,Paris,0:15:00,Campagne officielle pour l’élection du président de la République,
132,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120418RTL.txt,MLP,Marine Le Pen,18/04/2012,DL Radio,RTL,Paris,0:09:00,L’invité de RTL,
162,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120503RMC.txt,MLP,Marine Le Pen ,03/05/2012,DL Radio,RMC,Paris,0:34:50,Bourdin 2012,
184,MLP-CLean-Txt/MLP radio CLEAN .txt/2012/20120530RadioClassique.txt,MLP,Marine Le Pen ,30/05/2012,DL Radio,Radio Classique,Paris,0:15:08,"En route vers la
présidentielle,
l’invité ",
