resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
4,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20110112 canal.txt,MLP,Plateau invitée : Marine Le Pen,12/01/2011,DLTV,Canal +,Paris,00 :10 :26,La matinale,
20,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20110130 Canal.txt,MLP,Marine Le Pen,30/01/2011,DLTV,Canal +,Paris,01 :06 :26,Dimanche +,
31,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20110228 France2.txt,MLP,Marine Le Pen,28/02/2011,DLTV,France 2,Paris,00 :08 :38,Les 4 vérités,
148,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20110915 TFI.txt,MLP,Marine Le Pen,15/09/2011,DLTV,TF1,Paris,00 :24 :59,Parole directe,
166,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20120309 Canal.txt,MLP,Marine Le Pen : 1ère partie,09/03/2012,DLTV,Canal +,Paris,00 :56 :31,Le grand journal de Canal +,
289,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20120411 France2.txt,MLP,Marine Le Pen,11/04/2012,DLTV,France 2,Paris,00 :01 :40,Campagne officielle élection du Président de la République,
329,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20120422 France2.txt,MLP,Déclaration de Marine Le Pen,22/04/2012,DLTV,France 2,Paris,00 :04 :14,Election présidentielle 2012 1er tour,
367,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20120506 France2.txt,MLP,Déclaration de Marine Le Pen,06/05/2012,DLTV,France 2,Paris,00 :02 :29,Election présidentielle 2012 2ème tour,
484,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20121007 France5.txt,MLP,C politique,07/10/2012,DLTV,France 5,Paris,01 :09 :58,C politique,
503,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20121125 Canal.txt,MLP,Marine Le Pen,25/11/2012,DLTV,Canal +,Paris,00 :45 :45,Dimanche +,
48,MLP-CLean-Txt/MLP TV CLEAN .txt/2013/20130428 Canal.txt,MLP,Marine Le Pen,28/04/2013,DLTV,Canal +,Paris,00 :47 :36,Dimanche +,
82,MLP-CLean-Txt/MLP TV CLEAN .txt/2013/20130710 France5.txt,MLP,Interview de Marine Le Pen,10/07/2013,DLTV,France 5,Paris,00 :03 :13,C dans l’air,
60,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20110317 France24.txt,MLP,"Marine Le Pen : 2ème
partie",17/03/2011,CabSat,France 24,Paris,00 :19 :00,Politiques,
94,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20110513 LCI.txt,MLP,Marine Le Pen,13/05/2011,CabSat,LCI,Paris,00 :09 :24,L’invité de Christophe Barbier,
,MLP-CLean-Txt/MLP TV CLEAN .txt/2011/20111007 LCI.txt,MLP,,10/07/2011,CabSat,LCI,Paris,,,
15,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20120112 LCI.txt,MLP,Marine Le Pen,12/01/2012,CabSat,LCI,Paris,00 :42 :46,Une heure avec,
81,MLP-CLean-Txt/MLP TV CLEAN .txt/2012/20120225 LCI.txt,MLP,Marine Le Pen,25/02/2012,CabSat,LCI,Paris,00 :15 :07,Les mots politiques,
