word,raw_frequency
neuilly,1
idéal,2
1958,1
gesticulations,1
1952,1
police,14
1950,1
opposent,1
citoyenne,1
noble,3
brillant,1
comité,1
scandinaves,1
financera,1
troisième,4
favorisant,3
qualifiés,1
américaine,5
serbie,1
vivons,1
installent,1
furent,1
américains,5
régularisé,1
démesurément,1
oreilles,1
combattants,5
13ème,1
pesanteurs,1
1951,1
subliminal,1
intensifier,1
décadentes,1
conditionne,1
coups,6
performants,1
demandant,1
communautés,1
maitres,2
dodu,1
affrontement,3
quel,3
performante,2
désarmement,1
ouvert,1
productif,1
pétroliers,1
arriver,1
soldats,6
patriotique,9
symbolique,2
restrictif,1
équitable,1
mondiste,1
déshérités,1
place,21
ouvre,1
courage,10
réinsertion,7
noyer,1
soucieuse,2
conscients,1
rebelle,1
impartial,1
selon,18
huilé,1
science,2
demandent,1
diplômé,1
cruciaux,1
méchants,1
prend,1
mènerai,2
sucre,6
médiation,1
castes,1
forages,1
rabattre,1
obèse,1
insulte,1
mener,5
millions,34
structures,4
structurer,1
bruno,1
devez,1
établis,1
entendent,1
chacun,13
salaires,7
coupé,1
mieux,10
inserm,1
fermement,1
arriverais,1
patrie,8
administratif,2
quitteront,1
complexification,1
racisme,2
enlacent,1
instauré,1
idéologiques,1
jolie,2
abusés,1
rangent,1
médaille,1
cathédrales,1
positionnements,1
mécanisme,3
5ème,1
oranges,1
mena,1
établie,1
retard,2
choquante,2
cantonné,1
international,9
incitatives,1
girouette,1
appuyer,1
onera,1
destructions,1
syndicaux,1
familiales,2
prétoires,1
chine,9
massificateur,1
perpétuelle,2
pardi,1
star,1
crédits,6
régionale,1
réforme,11
active,4
montée,3
individuellement,1
reculera,1
faisaient,2
reconstruire,2
douter,1
habite,1
répressif,1
apporter,3
appuyés,1
reflet,1
rentrent,1
cadres,3
avertissements,2
dissuasif,1
fonctions,1
puisse,2
refuse,1
appuyée,1
exposerai,1
entrepreneurial,1
désespérance,2
aventureux,1
enorgueillit,1
disant,4
restaurer,1
étude,1
fausse,3
naïf,1
remplie,1
écraser,1
nunuche,1
hostilité,1
cantines,1
antichars,1
incarnation,1
voyait,2
parlement,4
communautaire,6
machine,3
effets,7
disent,7
criminelle,2
civile,7
gris,1
réserverons,1
ingérence,5
écraseur,1
limites,1
infraction,2
prouve,1
soins,2
monarchie,2
perçoit,1
préservée,1
oserai,2
déclare,1
exploitants,1
broutilles,1
multilatéral,1
interprétation,1
marigot,1
allé,1
trente,9
scandales,1
alarme,3
machin,1
insupportable,1
policières,1
donnerai,1
représentatives,1
réussi,3
adressé,1
animal,2
drôle,1
corrompues,1
bordelaise,1
kopa,1
identiques,1
honorait,1
eues,1
multiples,3
faces,1
confins,1
nombreux,10
resocialisation,1
débarqué,1
communautaires,1
angélus,1
aspirent,2
transmission,4
entamer,1
décentes,1
premièrement,1
pékin,1
conciliation,1
retraité,5
installation,2
école,53
complément,1
séduction,1
irakienne,1
1940,1
1942,1
encourager,1
rétablissement,5
1945,5
1947,1
affirmant,1
pêcheur,1
académie,1
vache,1
classées,1
répartition,16
paroles,1
censeurs,1
génie,3
essentielles,3
crétins,1
personnel,3
fondamentales,5
incurie,1
lacoste,1
philosophie,1
adresse,5
régime,5
arrêter,4
séances,1
réalisée,1
faveur,1
rappelle,3
intérieur,2
idéologues,3
renchéris,1
renouvelé,1
périls,1
matérielle,1
vanté,2
personnage,1
arrêt,2
abord,43
commencent,1
apparaisse,1
camarades,3
chevènement,1
croyez,2
éducation,26
retraite,35
brest,2
moyen,13
stimulée,1
ethniquement,1
coeurs,2
instituteurs,2
foncière,1
stratégiques,1
approvisionnement,1
impérieux,1
exode,1
compare,1
embelli,1
agraire,2
blessés,3
autorité,9
interdire,1
corrompue,1
douane,4
enseignants,7
concentrer,1
débouche,1
insuffisante,1
capitulation,2
