first,second,third,likelihood_ratio
tour,france,oubliés,188.36394204421876
madame,commissaire,politique,255.6824264347394
millions,demi,entre,123.20365257367592
nous,sommes,rejoints,288.90345377560345
promesse,mettre,œuvre,121.96346389648397
jean,marie,chevallier,289.77854150391687
demi,entre,avaient,117.48986226953932
assume,assez,bien,138.7628155533186
nicolas,sarkozy,françois,308.36697521353756
chambre,régionale,comptes,148.77818465173627
sarkozy,françois,hollande,324.890075829797
lutte,contre,mondialisation,151.13804063921538
cette,mondialisation,ultralibérale,167.55191850959866
mettre,place,protectionnisme,159.24543527881815
mettre,œuvre,atteindre,127.68110440931831
faut,mettre,place,127.6991148016899
contre,mondialisation,sauvage,263.25597438604177
place,protectionnisme,intelligent,164.68969401804213
immense,majorité,homosexuels,146.41137001226883
plus,millions,demi,108.02883432175267
gouvernement,union,nationale,118.9715071862441
