first,second,likelihood_ratio
parité,franc,37.09692930333811
finance,internationale,27.35891063164957
producteur,consommateur,54.90835530907683
carcan,euro,24.68414038049697
cantonales,mars,92.5164875933935
cantonales,élections,23.038428575044794
homme,politique,76.29311911053671
homme,femme,67.32325752539667
homme,gauche,48.2283359857588
homme,citoyen,30.246727152534397
homme,libre,19.054858724770305
homme,homme,17.555586024519148
siècle,dernier,23.631407661990156
siècle,après,15.351641397209882
goulot,étranglement,64.77784952554335
injustice,celle,17.36461138069711
injustice,sociale,16.63357943255854
injustice,france,6.609091625058035
normes,règles,30.901139352719362
normes,sociales,29.014830143467144
voulait,faire,13.101277585405503
fonction,publique,387.1250719061172
fonction,présidentielle,29.68875729035991
fonction,président,10.54164326468361
martine,aubry,54.14834285028498
demandeurs,asile,43.60903187214709
demandeurs,emplois,31.643052783571235
réduit,rôle,27.775067139441106
collusion,entre,24.13769650290675
brésil,argentine,62.14312706533676
couleur,peau,104.6026510217106
dimanche,prochain,101.52735580950278
commencé,faire,12.41266691511466
sécuriser,nucléaire,65.27880640278802
affaire,karachi,40.05434953403585
affaire,mantes,33.972732633682284
affaire,merah,29.124690127643284
régularisé,clandestins,38.51142921387902
compatriotes,métropole,70.10471635081568
compatriotes,outre,57.404810921486465
compatriotes,zones,19.90819199758245
compatriotes,chers,15.681339323552393
compatriotes,dont,5.878802228860104
compatriotes,faut,2.9369425433529743
compatriotes,politique,2.1868873178332517
compatriotes,france,0.7284142548894792
compatriotes,plus,0.6504757276662363
porté,plainte,40.67955059974375
échec,nicolas,31.754420362901893
échec,élections,25.663468324642228
guerre,civile,185.0282215937621
guerre,mondiale,126.68440057638179
guerre,froide,37.91707606585348
guerre,algérie,27.55392865834025
guerre,libye,23.388307537701227
guerre,menée,22.954695091486737
guerre,avions,18.68852350006809
guerre,guerre,12.040044593875976
guerre,contre,9.829928171142864
guerre,économique,9.116594106777642
élection,présidentielle,831.0033271036087
élection,législative,84.72758867248294
élection,conseillers,22.84364119285348
élection,proportionnelle,20.808111921573378
élection,françois,14.942774409523082
élection,européenne,13.216664287095107
élection,président,10.612485716267361
élection,élection,10.125895603898076
élection,mais,2.1325665724875775
police,gendarmerie,89.8559682510747
police,justice,33.90774979897415
police,pensée,24.7202514291744
sera,pire,28.132903694288686
sera,probablement,26.298147235271422
sera,décisive,25.307666946235212
sera,pacifique,24.761512788975594
sera,fier,21.92022790110662
sera,bientôt,18.953648732516655
sera,plus,16.703584402423253
sera,candidat,13.853336055435346
sera,mise,11.325155278994497
sera,possible,11.129776942096019
sera,enfin,9.753898647395111
sera,évidemment,6.184871949690728
sera,jamais,4.9108708132224175
sera,france,2.6163775895080112
sera,bien,0.001679238303024938
écurie,présidentielle,37.17978429825921
priorité,nationale,143.18139120940134
priorité,accès,58.89420220090584
priorité,absolue,30.10558482294845
priorité,français,16.937854668425757
coups,milliards,19.648646573257892
déclaration,droits,26.94349576736018
comprend,mieux,50.11746893763144
matières,premières,107.00456970544417
activité,économique,60.34431994272218
activité,humaine,39.9775506492402
activité,professionnelle,28.86239591386948
grosses,capitalisations,58.01196910629363
juridique,social,55.47900284860435
rupture,contrat,48.11872821142052
rupture,changement,38.723136630642706
corruption,politico,35.2022620696855
coupe,réglée,93.98782373777784
partie,intégrante,43.069909152903506
partie,électorat,28.538312562258422
partie,population,17.451903470101467
partie,entre,16.43568071901197
partie,dette,14.078540386219457
partie,peuple,5.612105718685661
locales,faut,14.084998518564436
commis,erreur,61.61887782490426
cour,comptes,154.75242801489628
cour,cassation,60.71394137495056
cour,justice,60.70028615473818
cour,appel,27.706159324637863
campagne,électorale,403.45443292839644
campagne,présidentielle,373.379451202882
campagne,interne,74.88582923492298
campagne,officielle,25.374501825072866
campagne,européenne,22.504886556481225
campagne,monsieur,4.229638474130918
campagne,mais,3.4494538871657623
campagne,bien,0.22602963426586498
coup,pouce,62.7092289283658
coup,coup,30.32304057567978
coup,arrêt,29.785642518264872
coup,etat,12.219937760879034
coup,était,9.330629677157223
crise,financière,67.00486585411564
crise,économique,44.98292302757705
crise,morale,17.158189214548873
crise,sociale,17.006826349926953
