word,raw_frequency
championnat,1
octroient,1
gesticulations,4
présentées,1
jugerez,1
règlement,6
police,77
beytout,1
ententes,11
avoue,11
stallone,1
troisième,31
déprécierait,1
rustines,1
profiteront,1
diplôme,3
repos,2
amandiers,1
furent,8
découvriront,1
ajouté,1
puisera,1
marinistes,1
animale,3
respectait,1
édition,3
dortoir,1
dockers,1
mince,1
dodu,1
citoyenne,3
dégringolade,1
barque,2
flagrante,3
rarification,1
soldats,23
tableaux,2
infaisable,1
pulvérisée,1
fatuité,1
sœurs,3
restrictif,1
gouvernementales,3
embelli,1
déshérités,1
coulent,1
débouche,1
avoué,3
réinsertion,9
protégions,1
lourdeur,1
impact,4
noyer,4
nonchalance,1
impartial,1
augmentations,2
chaussure,3
retransmission,1
diplômé,2
chevalier,5
aménagements,1
rentrons,1
utile,26
sucre,8
castes,1
obsession,8
harlem,3
cultiver,1
rabattre,1
promenade,1
bruno,31
jego,1
inapplicables,1
redoutait,2
bruni,1
absolues,3
salaires,124
bruns,2
mentirai,1
fermement,8
isabella,1
passionnantes,1
patrie,101
jolis,1
racisme,31
débouché,1
pâte,3
jolie,8
bouddhistes,1
rejette,7
soldé,1
aliènent,1
bilalian,1
cessèrent,2
mensuels,1
gérant,1
cosmopolites,1
retard,6
choquante,2
ressasser,1
international,41
éditorialiste,1
traduisent,2
préfèrent,13
prisonnier,5
balayer,5
briois,5
vagissais,1
démesurément,1
montés,1
habits,3
sagement,1
flambeau,2
montée,30
commémoration,1
doutez,5
sexes,1
doutes,7
douter,7
habite,6
tristes,2
répressif,1
apporter,48
persécutées,1
étiez,7
déclaré,19
caution,2
kusheida,2
démolition,1
jack,2
solidement,2
entrepreneurial,1
commettraient,1
cédait,1
bords,4
mafieux,3
muse,1
délimité,1
160000,1
hostilité,10
désobéissance,1
cantines,7
bassesse,3
parlement,49
barguigner,2
condamnant,1
contribuait,1
dégradants,1
portefeuille,5
rement,3
crier,5
entête,1
luxueuse,1
écraseur,1
soins,27
précède,4
monarchie,5
argumentaire,1
préservée,2
mers,5
ralliera,1
déclare,8
exploitants,2
broutilles,2
interprétation,6
israël,18
bagad,1
alarme,9
folkloriques,2
pauses,2
insupportable,39
engagera,1
hauts,29
malraux,1
mentionne,1
soumets,2
identiques,4
dague,1
capoter,1
imagée,1
meurtrier,1
linguistique,1
précédente,2
marmorisation,1
nombreux,73
débarqué,3
galet,1
barroso,1
entamer,1
décentes,2
riposter,2
précédents,7
compréhensibles,1
plombera,1
étrangler,5
flamands,2
agricultures,2
rétablissement,15
vissée,1
pêcheur,5
fêtent,2
académie,1
ruinent,4
contredites,1
fiches,1
impérialismes,1
phocéenne,1
protéger,93
attirées,1
attendues,1
violée,2
miné,2
hein,139
précipite,4
bégaye,1
tibet,1
susceptibles,4
appauvrissent,3
poète,3
entchernobyl,1
-√†-,2
décrépitude,2
arranger,1
rappelle,99
ardente,3
renchérit,1
misérables,9
idéologues,9
renchéris,1
vanté,2
maintiennent,4
syrien,1
abord,337
pauvrement,1
rétribution,1
croyez,89
ulysse,1
brest,7
travesties,1
agressées,1
apercevrez,1
brandi,1
instituteurs,2
frais,19
défavorables,1
intercommunalités,1
alliot,8
libellée,2
agraire,2
crochet,1
mailler,1
imbroglio,2
minc,3
minh,1
mini,3
régularité,2
sanhedrin,1
contraignantes,2
confiture,1
semblez,1
bouée,2
examinera,1
sembler,2
proposerais,2
guardian,1
capitulation,3
remboursables,6
ozone,3
uniformisateur,1
atypique,1
seaux,1
surgir,1
référendums,8
bidasse,1
histoire,230
accueilli,11
penchée,1
1764,1
accueille,6
paillé,1
déduction,1
madame,202
glissés,1
contestés,4
caducité,1
raspail,1
illégalité,1
contestée,2
pompidou,11
étranger,82
enrichissent,3
décidé,28
déchu,2
fleurs,4
refroidi,1
clés,9
flatté,2
arcelor,2
solidarités,6
équipe,17
proposée,5
