first,second,likelihood_ratio
agriculture,exportatrice,55.38788726920798
agriculture,pêche,30.66495903118021
agriculture,européenne,29.283008369979918
humbles,travailleurs,30.99461728350765
humbles,plus,29.13339247941529
devenus,français,19.646039501176016
grâce,chirac,13.33793050458491
nouvelle,calédonie,174.48165629354727
aile,extrémiste,58.35943149168461
condamnée,mort,69.86182039841164
mesure,assumer,25.00239018834581
mesure,intérêt,18.129174975967267
mesure,sera,17.622870048037136
mondiale,commerce,56.706587103358714
mondiale,passée,40.011416267126
régions,france,6.515584313424041
matin,paysans,195.55974648428787
accidents,travail,27.21955895221305
zapatero,berlusconi,70.80144650652336
canard,enchaîné,64.10101841162968
lucides,courageux,43.73776571114027
lucides,plus,31.87764360505238
conférences,presse,63.36038374502698
sièges,parlement,28.558491512639517
oublié,gouvernait,49.1148318436752
simplement,faire,20.86579652547298
simplement,plus,2.5242446237396283
chère,madame,62.047275991407005
ciel,tombe,39.61797036220272
ciel,terre,25.898394106116793
conscience,universelle,36.912735648554836
conscience,personnelle,31.05327611205039
conscience,français,9.1999379002221
aucune,raison,47.8188266565184
aucune,relation,45.56452098373581
aucune,chance,43.21823709277115
aucune,garantie,40.39931475885685
aucune,importance,34.654548834133706
aucune,promesses,22.03465375421241
aucune,responsabilité,17.552827234385084
fardeau,obligation,51.70005566705097
vais,dire,239.16023672286929
vais,répondre,64.25837586287686
vais,faire,45.847762262198785
vais,donner,41.9311078817211
vais,prendre,15.841796123518106
arriver,pouvoir,31.700758437778745
arriver,tête,22.418899959769856
succès,candidat,32.77396194454347
solidarité,nationale,100.73067472971135
solidarité,demain,81.53680126310688
solidarité,sociale,17.718686294460262
strauss,kahn,136.51970953491175
commerce,extérieur,56.008668315074004
commerce,mondial,51.45829025181573
commerce,international,39.555486850643454
cons,quences,65.68866790825648
brûlée,vive,84.74747274486583
sarkozy,bayrou,63.17458029327883
sarkozy,royal,57.463759427787274
sarkozy,ségolène,26.739836917890464
sarkozy,réussi,16.990768132047258
sarkozy,propose,14.141177038494913
sarkozy,ministre,10.740846716338712
sarkozy,rien,9.941681952652356
sarkozy,veut,8.102310782954945
sarkozy,ecoutez,7.009212109151769
sarkozy,quelque,5.6039496065750365
sarkozy,avait,5.538730374454283
sarkozy,effet,4.556905288857743
sarkozy,bien,3.6899084973234633
sarkozy,soit,3.075334865340933
sarkozy,mais,2.154996097886226
sarkozy,était,1.8393617536424895
sarkozy,faut,1.5559170658556662
sarkozy,crois,1.0505987826765626
moment,donné,203.30966125556105
moment,décisif,29.980555977256188
moment,sera,12.954401539780733
moment,était,10.216672493686
moment,président,9.093593345892215
moment,avait,4.908964178146137
moment,france,0.8973992627009126
questions,essentielles,43.17206107725409
questions,posent,34.968320768193976
pleine,figure,35.55613198903204
cinq,minutes,39.85133889793934
cinq,dernières,23.00957526652368
cinq,prix,18.24889601218506
cinq,années,14.39553660105383
cinq,plus,7.158602324845222
ceci,près,26.757621425123478
disposant,toute,27.860206072522185
coups,boutoirs,53.35079698395629
portugal,grèce,70.27580766736097
attendez,attendez,52.81650674028569
attendez,mais,15.895861492753344
lourde,responsabilité,29.726076364695913
lourde,plus,12.204390264669408
peuples,européens,68.87385836690393
peuples,disposer,31.63351930938319
peuples,europe,22.190418872848237
peuples,souveraineté,18.44678371870448
peuples,nations,16.49788713075333
peuples,monde,12.724041060165462
élément,fondamental,41.11284109027038
enseignement,supérieur,86.65922329645285
enfin,voyons,29.197971877022002
enfin,bref,27.795708612429287
enfin,écoutez,27.059460858230366
enfin,disons,17.656714721791072
enfin,petit,10.527519216950534
enfin,sommes,6.704293439981058
enfin,europe,3.6337477770978124
enfin,français,1.002489440887404
personnage,historique,58.693907760714666
relations,entre,17.462700332293483
jusqu,présent,201.04542543805343
jusqu,bout,89.94096506904417
jusqu,smic,42.09114338404448
jusqu,soir,21.10899858665489
jusqu,mort,20.92718531154787
jusqu,moment,16.70741128639864
jusqu,aujourd,6.892383720256675
revanche,suis,19.61563271761455
plutôt,front,9.997479173000118
plutôt,france,6.017903072116398
plutôt,plus,1.3025910027718393
scolaire,universitaire,44.0230419658926
comptes,sociaux,36.45223478557204
pseudo,élites,56.2536288729323
goût,effort,31.876471393673622
recherche,emploi,54.51396279084827
recherche,fondamentale,33.761592042698034
tribunal,ecclésiastique,93.09626035543228
chanter,marseillaise,54.42415340795726
lorraine,excusez,46.03253117800451
démocrate,républicain,50.076220587236406
feignons,organisateurs,64.10101841162968
ennemis,france,12.253772038042195
compensation,dette,43.897144533768085
orléans,écrase,68.64818298695518
pensez,gens,24.10271601590986
pensez,bien,10.23228983989959
acquis,sociaux,29.252146495551383
députation,paris,87.53182311265837
2007,2013,29.7868479806812
gauche,extrême,38.39809651581889
gauche,plurielle,33.19057403168835
gauche,centre,24.59562043968994
gauche,française,14.312987846826744
gauche,pouvoir,11.507212417540439
gauche,parti,6.960599127082976
gauche,serait,6.814379453161924
gauche,pense,4.659220782643878
gauche,gauche,4.293049518909346
gauche,crois,2.5379171546904375
gauche,mais,2.028595756013953
gauche,était,1.7400819917542254
gauche,ailleurs,1.5649541924998411
gauche,faut,1.462588550744484
gauche,bien,0.009864848518625569
enfants,adolescents,33.72660929043162
enfants,école,28.270284304870355
enfants,écoles,23.732275303318506
enfants,femme,19.936148078032012
enfants,petits,18.846821939996104
enfants,français,2.0593138566930564
crise,économique,76.0938332850428
crise,financière,35.62405521977338
crise,précédent,30.888527851298157
crise,démographique,24.04454645060893
crise,sociale,14.753573961603362
crise,politique,9.90570236981851
priorité,embauche,37.30446805609165
priorité,nationale,24.775283978236875
priorité,français,10.45352733498419
présenté,candidature,47.0633485621174
puisque,sommes,74.7520190033929
puisque,avons,60.47437711706061
puisque,suis,27.07342982158092
puisque,parlez,20.339737075265163
puisque,père,15.973399073463865
puisque,constitution,15.594907588716822
puisque,êtes,11.94482089387904
puisque,étais,11.205193100488149
puisque,élection,9.080483978674842
puisque,gouvernement,6.431030062344649
puisque,jamais,5.985948865253591
puisque,bien,1.9413072977976746
successions,ligne,71.8575743879044
exportations,agricoles,37.02246867817704
faisons,confiance,29.11318353669573
education,nationale,39.47757177865593
changé,avis,37.24325319462363
mantes,jolie,161.13627772131954
rocard,premier,18.34102170638936
existe,plus,20.194141650286255
existe,entre,17.05300220486454
existe,aujourd,10.87771851242249
existe,autres,10.337572017703753
nationalité,française,89.52393531391125
nationalité,hérite,42.18389575948903
nationalité,turque,38.33068307608792
quand,vois,30.316042809714084
quand,jospin,25.19090922864756
quand,sait,14.695378095293599
honneur,jeanne,20.513980391573693
esclavage,colonisation,41.466878749419244
agricole,commune,38.69677736503248
agricole,français,7.368976348624373
départ,retraite,24.825884142093066
départ,leurs,15.951630723552025
économique,sociale,181.52012910370837
économique,social,141.72765309810444
économique,financier,40.23001851126241
économique,monétaire,24.42233925086775
économique,mondial,18.818057518092083
économique,équilibre,18.00724935045524
économique,retour,16.578755030425814
économique,laquelle,13.525570777173261
économique,monde,8.880127403309176
économique,puisque,8.56007749932646
économique,politique,2.155599912268303
économique,français,1.6188594878423959
économique,plus,0.13563271049239622
résister,dumping,46.916844906288624
gouverné,pays,28.135703666300333
gouverné,france,25.018622734978617
encourageant,travail,26.350984715470236
défendre,liberté,20.179780631059995
défendre,intérêts,18.164226037429117
défendre,programme,17.812493350984724
défendre,frontières,14.994405854101505
défendre,pays,9.232889855079137
défendre,français,7.31051256476277
défendre,france,3.584192057845325
mauvaises,nouvelles,38.27060994246335
vème,république,223.12607538398387
année,dernière,95.76001776213701
année,prochaine,44.0037700370118
année,consécutive,41.86947689611105
année,suivante,29.665135402618287
année,après,24.5917024340879
année,2007,16.27807055876624
année,france,12.140801143771231
permettez,rappeler,52.18684658241783
permettez,abord,39.92488944599643
permettez,citer,33.15567392817436
permettez,dire,9.169234195883643
misère,monde,15.27468153144989
conduit,france,26.009618481930616
conduit,pays,17.039847949175304
brest,vladivostok,125.06245450560513
trahi,leurs,20.285600774592275
point,sommes,11.459282160348767
point,plus,1.8262878750189935
bruno,mégret,241.44767608893326
bruno,gollnisch,164.16090910878086
lance,appel,31.100224851876845
immense,majorité,96.61454461316923
immense,patrimoine,31.253066958532024
liberté,pensée,94.11393333506786
liberté,équité,62.303705178891015
liberté,expression,51.88933151335159
liberté,esprit,46.15719634869005
liberté,sécurité,42.26679744956814
liberté,individuelle,38.976491374367406
liberté,soucieuse,32.351420413542826
liberté,égalité,32.084772328520074
liberté,circulation,31.022150665841796
liberté,entreprendre,29.218726621672328
liberté,indépendance,25.94227692167489
liberté,prospérité,24.073375970405802
liberté,choisir,21.218571707578544
liberté,penser,17.173917682859074
liberté,peuple,14.478671579984452
liberté,travail,6.8301017882768695
liberté,politique,3.8488852582840174
commission,européenne,86.86447603174861
commission,investiture,59.458288347859934
commission,bruxelles,21.17249406594231
languedoc,roussillon,59.60236840663439
porte,avions,43.299937582178266
porte,bien,21.368267845744164
chevalier,blanc,139.04792032174964
certain,nombre,2602.2218298916823
certain,temps,8.453078696685628
responsables,situation,57.40331908573076
responsables,coupables,46.20243414979585
responsables,politiques,45.63178890605785
responsables,politique,11.499118244648429
entend,aujourd,16.392036376814236
ecoutez,crois,85.64152162206979
ecoutez,vais,35.341426914486206
ecoutez,sais,26.425786329094016
ecoutez,instant,24.37674176663261
ecoutez,fais,21.619765833284223
ecoutez,suis,17.964805164117273
ecoutez,abord,16.884084166934663
ecoutez,avez,11.30994389129469
ecoutez,ecoutez,9.654141469672563
ecoutez,sommes,7.301490496534113
ecoutez,beaucoup,5.724979608019353
allemagne,italie,31.388922256424
fureurs,révolutionnaires,57.33514353109166
effort,commun,36.16840786812014
effort,hommes,16.21391501103073
deuxième,tour,868.1804638908436
deuxième,guerre,92.42288605467508
deuxième,position,44.27134615804121
deuxième,liste,43.46193973603152
deuxième,place,11.946721098454216
puisqu,bien,42.23915518168769
puisqu,avait,21.682833076834008
puisqu,faut,8.916095770261498
autres,pays,80.58170869461891
autres,partis,78.36579885805797
autres,gens,36.82257618546647
autres,domaines,36.07287707980486
autres,mouvements,25.935236660204563
autres,candidats,25.347227368389994
autres,nations,23.972563392093008
autres,choses,21.283014330724672
autres,raisons,20.129048043698553
autres,sujets,18.495032564623333
autres,guerres,16.22458888469346
autres,mais,15.554757935115845
autres,peuples,13.185841617554221
autres,veulent,9.042444774541064
autres,problèmes,7.244281073751145
autres,avons,2.0401061003075758
autres,aujourd,1.7904563948813457
autres,suis,1.6909451403416131
autres,français,1.6866905222319541
autres,autres,1.4620023881727255
autres,bien,1.2033698091679002
autres,plus,0.9155438254851562
autres,ailleurs,0.571033764178269
autres,crois,0.2117214409347954
demi,voix,98.30683573815313
demi,siècle,75.70685435931314
demi,clandestins,25.388083751285073
longtemps,seuls,20.708666251223764
longtemps,aurait,14.966983304218148
heure,vérité,42.836460459907194
heure,europe,8.834048924443493
disposent,moyens,32.84745743571297
constitution,européenne,462.8622823095639
constitution,française,36.512544599270456
constitution,vème,25.72975545657232
xxième,siècle,132.67725374412453
national,vive,53.704047196731764
national,républicain,24.614531828498084
national,empêcher,20.85980219660714
national,démontré,16.673051263200314
national,adhérents,13.615734204736695
national,avait,13.018486794805941
national,combattants,12.950927020122457
national,serais,12.950927020122457
national,avons,12.510078436527358
national,opposition,11.446579378530483
national,demandé,11.037136357565128
national,congrès,9.863328923621676
national,populaire,9.863328923621676
national,veut,9.512319976048785
national,sera,8.862368144603789
national,arrive,8.81351044320045
national,jean,8.589393851143406
national,parti,7.974839370632554
national,ayant,7.284170037886357
national,front,7.0824277689693425
national,était,6.935910970810946
national,simplement,6.826563484325837
national,aura,6.555269759598031
national,assemblée,6.084207440484537
national,raisons,5.980486985760007
national,rappelle,5.683790681322937
national,alors,5.514176806196967
national,peuvent,5.406912733442924
national,conseil,5.362540952769213
national,dont,5.355630556474788
national,jamais,4.775327600106199
national,famille,4.71292947152407
national,seront,4.675738874398977
national,évidemment,4.628582595687541
national,union,4.12660220738481
national,mouvement,3.8807832401030806
national,nous,3.5955044347364122
national,autres,3.585522757696313
national,vous,3.533725433249553
national,élections,3.533725433249553
national,mais,3.2910053122656997
national,celui,3.1400018880308895
national,écoutez,2.807002329291338
national,france,2.7611159989472718
national,aujourd,2.4916459635678203
national,ecoutez,2.4346190042465334
national,serait,2.398315657671079
national,soit,2.230055787984039
national,problème,1.9548295002419382
national,bien,1.5802618801927864
national,faut,1.4524812034210974
national,beaucoup,1.2108194894986202
national,toutes,1.184945797494668
national,président,1.0864017835271067
national,conséquent,0.9237161080694594
national,français,0.848281449318173
national,toujours,0.7993505403928771
national,pouvoir,0.7630938723205145
national,crois,0.7435027210134306
national,gens,0.39742403075692234
national,contre,0.1485695324591656
national,suis,0.06279653401742524
national,ailleurs,0.05304705122619191
national,faire,0.014982949720628858
national,plus,0.008231140158398209
groupes,pression,32.330641618828935
coûts,salariaux,54.333816838040065
coûts,production,31.772142417411235
coûts,prix,26.71935848060338
soucieuse,humbles,51.2103100294553
demain,voulu,47.66420896819144
demain,rase,45.17575971773432
demain,soir,21.874102403857716
demain,enfin,11.182627951444232
demain,plus,0.7021470528724896
vient,livré,43.454958438550726
vient,faire,15.000906806069544
vient,monde,9.334779509862337
socialistes,communistes,71.18631407372408
boîte,postale,86.61873207089155
faut,dire,246.33820669863732
faut,bien,177.1015317606155
faut,savoir,134.0252725458268
faut,faire,131.32205049061292
faut,aller,58.36016790155738
faut,revenir,46.405244302104805
faut,abord,42.80558325486918
faut,noter,40.71611296268456
faut,mettre,40.50811592439738
faut,reconnaitre,38.56609992466396
faut,modifier,37.64766738241405
faut,rétablir,36.61121853773635
faut,regarder,31.879486339465764
faut,laisser,30.15522123410834
faut,confondre,26.774243766492607
faut,supprimer,26.484472887281903
faut,donner,25.110275128039905
faut,arrêter,23.18139807960853
faut,poser,23.18139807960853
faut,remettre,21.019333554690885
faut,prendre,18.078451927731397
faut,rendre,17.636175199130975
faut,oublier,17.452633056574278
faut,sortir,17.28800064459086
faut,ajouter,17.035646458349056
faut,changer,16.664306394364885
faut,traiter,16.399994994080345
faut,cesser,16.10690018323515
faut,reconnaître,16.10690018323515
faut,penser,15.95336649735057
faut,libérer,15.56251122480621
faut,essayer,14.713705745537192
faut,agir,14.609623389830102
faut,construire,14.394679656944355
faut,attendre,14.187698825422128
faut,retrouver,12.921674190106565
faut,extrêmement,12.762433672484129
faut,créer,12.45725374249534
