word,raw_frequency
consommateurs,10
vénération,1
attaquant,1
décline,4
plaisantez,14
ails,1
discrets,1
toucherons,1
fonctionné,3
danse,3
germano,1
inéluctables,1
oublié,19
salari,12
étend,4
infondé,1
conscience,41
désertent,1
déplacé,1
facile,21
intactes,1
versatilité,1
brûlée,8
également,51
garaud,1
admonestation,1
panne,4
brûlés,1
disposant,8
encaisser,2
soviétiques,6
vestimentaire,1
interdise,2
raux,1
diffamatoire,1
mesquinerie,1
promettre,2
mobilisé,7
goût,16
compenser,5
quint,1
brevet,3
mainmise,1
cameron,1
proclama,1
gauchistes,6
jupe,1
mourut,2
contradictoire,4
fonctionne,2
gaucho,1
gauche,362
proclame,4
forçons,1
extenso,1
ignorent,3
sauvant,1
disant,56
monstre,3
raide,1
lampions,1
oublie,4
fibre,1
infondée,1
déplace,2
adenauer,2
ruinées,2
arrangera,1
infondés,1
oukases,3
véritables,22
barricade,1
divisions,7
universitaire,8
empêchant,3
municipalité,4
éliminait,1
admiratrice,1
marges,6
malik,1
tranches,5
trancher,2
mimétisme,1
sottise,2
désole,1
tranchez,1
considèrent,13
parité,7
augustin,1
énonce,1
stocker,1
traduirai,1
industriels,19
piéger,8
values,3
villepin,18
révolte,13
soucieuse,6
gallo,1
a319,1
approfondissement,2
patrie,149
régiments,1
voient,1
doigts,5
flacon,1
imperméable,2
rieusement,1
unanime,9
midi,27
favorisé,2
impliqués,4
brillante,4
prison,80
crèches,2
mobilisés,4
chienlit,3
brillants,1
daflon,1
énoncé,2
troublent,2
désire,3
pouliche,1
courbe,5
dénions,1
kosovars,2
diversifier,1
désirs,3
douane,18
révolté,1
embarquée,1
cubes,2
paralytique,2
banlieusards,1
clémenceau,8
antiquité,1
courons,2
sophistiqués,1
horloges,1
prioritaires,4
opportun,1
poste,31
cruciale,2
paritaires,1
assassiner,1
nobel,13
vidée,1
étrangères,29
traditions,24
identifié,2
assimilées,1
bafouent,1
senti,4
favorise,4
versez,1
distrait,1
redonner,12
verser,10
interlocuteur,2
fraternelle,8
comparait,1
néanmoins,11
compétitifs,1
idées,90
évasion,2
tremblent,2
rembarquer,1
résultat,72
mensuelle,1
réformer,14
réformes,66
crach,2
élisez,1
préjugent,1
niquent,2
adulte,2
gèrent,1
prétendaient,1
liminaires,1
prévision,6
rouges,1
sedan,1
emballé,1
déployés,1
obligeait,1
spéciale,1
postuler,1
appétit,1
durcirons,1
monténégro,1
1470,1
couronne,4
instituteur,2
relayé,2
consacrera,1
pédagogisme,4
excommunier,1
instiller,2
esquivés,1
meetings,15
ronronnait,1
bloquer,7
entêté,1
longues,6
belligérance,1
litham,1
longuet,2
économies,13
poitiers,1
crainte,11
zélé,1
acquièrent,4
démonstration,13
montagne,8
incomparables,1
héros,10
banales,1
homosexuel,1
anarchiques,1
reconnaissant,2
filiation,5
énergiques,1
maçonniques,2
perfides,1
électoralistes,2
normandie,7
abonnés,7
mobilisons,2
génétiques,1
contractées,2
cinquante,10
édiles,2
revêtir,2
aboutira,2
pourcentages,2
marches,5
marcher,5
saccagés,1
mois,220
enfonce,6
mercantour,1
pressenti,1
avertissements,5
agrandissement,1
ennui,3
docile,1
aériennes,1
asseoir,6
casque,1
ensuite,53
constitutionnalisant,1
innovation,4
recentrant,1
musical,1
peoples,1
compacte,1
produise,2
iniquité,1
favorable,32
hargne,1
représentent,24
renonce,2
conservé,6
monarchique,4
tiendrais,1
mondialisées,1
tiendrait,3
renard,1
orage,2
castellane,1
skieur,1
circuit,2
anciens,36
entièrement,11
singulier,2
gâteaux,2
réserverions,1
moyennes,13
ratification,6
palatin,1
vivement,3
normaux,2
irrégulièrement,1
sérénité,2
méningite,1
amie,5
trouvés,4
grandeur,28
piqûres,1
mobilisa,1
provisoire,4
amis,167
rocroi,1
côtoyer,1
feuilletons,1
réside,5
