first,second,third,likelihood_ratio
pouvoirs,publics,successifs,629.6784676927864
petites,moyennes,entreprises,169.62924090534028
faudrait,mettre,entrée,103.77436901098208
revenu,impôt,revenu,742.1732343676506
tout,monde,sait,520.8836449921868
tout,monde,voit,433.32561681666954
tout,perdu,presque,154.1875245213239
tout,sauf,réprimer,130.15521287861296
plusieurs,assistances,irrésistiblement,161.92306511714708
tour,élection,présidentielle,1418.1826085238527
tour,élections,présidentielles,624.1038250933918
tour,passe,passe,134.21261154130133
dizaines,millions,morts,197.839569826973
libération,train,anciens,128.27035238156276
avez,oublié,gouvernait,162.16654609374586
monsieur,président,république,2744.645911018468
productivité,concurrence,effet,112.8391796467711
fardeau,obligation,dont,130.88517153296615
jacques,chirac,avait,2314.103314334232
jacques,chirac,sera,2279.6027867490657
travailleur,emploi,charge,121.57435153528954
mesure,intérêt,général,317.02719048579024
furent,principes,objectifs,163.79100820849044
contre,front,national,12889.89984487376
contre,constitution,européenne,715.7532809121801
contre,traité,rome,349.29696751861223
contre,immigration,clandestine,247.4149580909468
contre,insécurité,contre,196.73108995792458
contre,rassemblement,national,195.23498009178763
contre,vents,marées,162.38954076683694
contre,ennemi,avenir,102.77083471234772
évêque,pierre,cauchon,152.8092529487033
rupture,contrat,préférence,141.9451959500444
matin,paysans,arrive,408.2597788459806
suppression,impôt,revenu,718.4615668169795
suppression,double,peine,204.491739094005
puissance,économique,monde,138.62230003720214
devenu,restera,durant,131.07735083390514
bureau,politique,bureau,674.0988823062697
bureau,politique,unanimité,670.1436656989003
bureau,politique,front,624.9037570423343
prix,nobel,économie,377.4023390992395
prix,peuvent,aboutir,115.21755354365703
alors,mesdames,messieurs,2690.6763683153763
alors,dois,dire,1181.7914894770065
alors,vais,dire,420.5381275638119
candidature,arabe,députation,423.57290496052855
peuvent,aboutir,supprimant,132.1731906103277
étais,somme,toute,553.5233401063709
réduction,temps,travail,144.3511985336127
représentés,assemblée,nationale,1032.7069897951642
financière,fiscale,plus,105.52527883192835
était,quelque,sorte,3196.7874589792114
était,jean,marie,1528.8234884326348
était,premier,ministre,1204.61556702239
était,ministre,agriculture,114.21692873919068
indépendance,france,identité,129.71411252881006
ciel,tombe,tête,126.11182053799615
injuste,effort,hommes,104.79503253323881
pouvoir,achat,consommation,655.3246405488846
pouvoir,socialo,communistes,217.47817707230502
choix,temps,travail,130.32551941955563
avait,deuxième,tour,1319.9116836433795
vais,dire,chose,409.83099996300456
voyez,mesdames,messieurs,2680.0246755671997
voyez,bien,mesdames,71.96330698664116
succès,candidat,peuple,120.50327369796851
solidarité,nationale,travail,187.096342564511
générations,baby,boom,184.83420502642792
devant,assemblée,nationale,936.8828011582727
brûlée,vive,1431,240.41869794148175
paris,plus,tard,551.1081328094681
paris,blessée,troisième,189.23032409282865
paris,1957,premier,164.61232374387265
paris,espace,charenton,140.84890486363008
réduire,coûts,prix,118.60901196586953
échappera,techniques,pourrait,155.16401111762764
miraculeux,faire,croire,225.5662422783852
peste,ravagent,pays,142.95515045837516
cinq,plus,tard,569.4367665071147
cinq,dernières,années,371.05703155432553
cinq,prix,nobel,340.6646764435051
cheval,accomplir,plus,104.07309013556926
disposant,toute,modification,132.12769487378964
française,union,européenne,1222.6339664302582
française,article,disposant,124.74602695916052
immortelle,abandons,trahisons,240.08162672924126
simplement,faire,remarquer,137.74320056475148
ministre,président,république,2746.6126049694794
ministre,jacques,chirac,2280.6955213391234
ministre,intérieur,président,722.123351004009
ministre,éducation,nationale,455.8547841455728
ministre,commissaire,européen,293.0815737884584
lourde,plus,plus,387.57668893665567
utile,votez,utile,203.59950437381832
modification,traités,européens,161.2193639883199
racisme,anti,français,194.94808593606405
personnage,historique,parcours,169.3936827082372
boréal,brest,vladivostok,299.3166588619684
supprimant,postes,travail,116.2903132832005
vivent,euros,mois,263.54881793948175
plutôt,front,national,12808.783232360738
fallait,affranchir,moyen,131.40679745534027
fabius,strauss,kahn,273.0372482565765
voulait,faire,grosse,118.82235841620474
homme,politique,présenter,277.33125059848714
laxisme,judiciaire,moral,136.46017926308758
recherche,emploi,plusieurs,139.60253590703928
rappelle,élections,européennes,586.1235206678632
député,front,national,12822.775883669454
effet,bénéfique,réduire,118.26348385406719
organisation,nations,unies,259.6150151341615
organisation,mondiale,commerce,242.10337201679988
madame,royal,monsieur,371.3508501852958
écrase,anglais,jargeau,245.93911063499218
révolutionnaires,caboche,capeluche,227.38806843227243
terrestre,sépare,jamais,133.15108132719826
contrôles,laisse,entrer,127.17156434441986
compensation,dette,agricole,148.62292605530482
tard,portes,paris,164.06590991525917
tard,nôtres,rien,103.56524809009126
tard,jeanne,sait,98.05449018056697
messieurs,chers,amis,478.7359258511617
messieurs,sarkozy,bayrou,171.43578628976542
messieurs,permettez,abord,113.70940038172984
orléans,écrase,anglais,221.87341140857671
grave,crise,économique,183.8636819370108
techniques,pourrait,croire,123.64577144185066
banque,centrale,européenne,208.68748325181167
députation,paris,1957,291.9436737552013
somme,toute,assez,563.3878983637032
gauche,extrême,gauche,387.24408131254677
impôt,revenu,impôt,775.8642218231769
impôt,revenu,travail,746.2937682349306
impôt,successions,ligne,276.8121865503091
enfants,petits,enfants,136.59359967861616
décidons,plus,mêmes,149.07308774339919
priorité,nationale,absolue,112.88755411415038
appel,offre,alimentaire,311.4611076823293
présenté,candidature,arabe,264.9155525094752
assistances,irrésistiblement,catastrophe,175.05143728695637
réservées,familles,françaises,220.6902021178796
regarde,suis,modeste,143.56993059947143
exportations,agricoles,certes,129.97040577270172
pendant,campagne,électorale,1119.6184951282542
pendant,années,années,318.4683465043069
pendant,quinze,jours,186.68497236554356
pendant,deuxième,guerre,184.67069308131173
pendant,toute,campagne,124.87687038741944
mesdames,messieurs,chers,2690.9082278016144
mesdames,messieurs,permettez,2657.9169227825405
mesdames,messieurs,faut,2656.419960129123
mesdames,messieurs,sommes,2641.217224613026
contact,appelle,voix,110.31934263809032
2013,delà,date,124.23999951408206
2013,pour,assurer,109.57901214609538
barrer,route,front,307.0161651757406
principe,préférence,nationale,797.0275156020847
principe,souveraineté,états,111.89637865336181
rocard,premier,ministre,1220.1804040473585
insécurité,chômage,fiscalisme,246.32137616217108
angleterre,proclamé,france,118.9437700024675
élection,président,république,2737.0611685095537
élection,présidentielle,élection,1336.517675177632
élection,présidentielle,effet,1281.2245284433106
