first,second,likelihood_ratio
cabinets,ministériels,76.64256796741661
intéresse,intéresse,25.805428017463715
intéresse,plus,8.631396954768054
grâce,etat,13.174249065766833
adultes,responsables,40.43014838126999
violation,grave,36.47100133702945
subventions,associations,66.95210454126472
aile,gauche,40.087085897398524
train,passer,61.14044180291604
train,préparer,49.74842508457056
train,faire,45.23923664911341
train,détruire,38.30052193994136
train,mettre,33.462458373155954
train,tuer,27.77588630550125
train,expliquer,25.89110513196788
train,vivre,22.13134062383539
train,créer,17.85810922608997
train,dire,16.308969674018137
mesure,rétorsion,36.84103922718962
mesure,temps,34.28034568104921
avancée,fondamentalisme,42.98904590048594
agricole,française,36.21912740432197
agricole,france,14.892242715421844
religions,différentes,36.518135635714515
municipaux,front,32.66188157498721
conscience,politique,9.003791997873982
facile,vous,14.682872443976743
facile,dire,13.470371916299168
aucune,communauté,49.31470464613217
aucune,raison,45.12217818261479
aucune,différence,39.13505095302409
aucune,garantie,36.40947732619771
aucune,aide,27.46466940162643
aucune,circonstance,27.31348565905173
aucune,fatalité,26.25356371639579
aucune,responsabilité,17.162594090213425
aucune,vision,15.107685651138699
dissolution,assemblée,49.62579562258024
descenseur,social,151.86794965313055
vais,dire,279.1243007566736
vais,répondre,94.81334421335868
vais,mettre,49.28923640271161
vais,donner,45.54216753073289
vais,demander,34.61804492564124
vais,faire,24.442964845214362
vais,proposer,20.97870502674361
vais,arrêter,16.94438649215679
vais,créer,16.154444950689033
vais,expliquer,15.947469317013718
vais,aller,15.863986577776053
vais,parler,12.020491659660268
abandonner,partie,39.783637097121954
solidarité,nationale,64.26111376124904
solidarité,âgées,43.929237662888845
solidarité,bien,8.148792791955824
strauss,kahn,685.6187497298953
dizaines,économistes,38.6514954243898
dizaines,milliers,35.7226747154847
moment,donné,383.6731023708541
moment,dise,23.916504699238253
moment,faut,13.5411735531023
moment,français,6.826109369648153
moment,ailleurs,5.2404880925325426
moment,bien,1.3138352894576686
questions,auxquelles,47.16069910000043
explique,faut,12.197181711321157
réarmer,face,44.51162341106246
choisi,france,14.547785649146633
mondialisme,modèle,30.329563251530413
mondialisme,dire,8.695873440860606
attendez,attendez,79.62153357586743
attendez,excusez,24.118363239685216
lourde,responsabilité,42.728735054714406
peuples,européens,43.21415175245095
peuples,europe,25.081942388333943
peuples,peuples,15.66023368189579
peuples,monde,14.734002460889243
peuples,union,12.799905852797373
élément,essentiel,32.410110856340154
élever,leurs,29.12820768444687
centaines,milliers,184.8756374914024
centaines,milliards,19.729634760133912
directives,européennes,126.06255706220439
bachar,assad,204.76890488164562
jusqu,smic,78.04940399941424
jusqu,dernier,53.641418124320495
jusqu,présent,40.144356501640644
jusqu,bout,23.256089191043774
revanche,faut,21.508414933966876
plutôt,subir,30.065478708919954
arme,politique,18.61576746023222
immédiates,concrètes,49.45686262746683
compter,clandestins,27.535014112205577
endettement,perpétuité,51.54404818916652
intentions,vote,48.855338226621384
culte,musulman,69.73836513935831
goldman,sachs,112.66709517833081
imaginez,bien,10.91231777110715
désindustrialisation,massive,37.307315060132964
rassemblement,bleu,168.7386408031393
rassemblement,patriotes,24.85766407864792
rassemblement,allons,22.815574662680152
rassemblement,peuple,10.544951304356799
gauche,centre,50.84929109921509
gauche,confondues,38.36064467095552
gauche,droite,37.72383374407645
gauche,gauche,16.067686483843566
gauche,socialiste,10.739932572634842
gauche,ailleurs,9.661026918905828
gauche,parti,8.284984566677167
gauche,crois,5.907138867726865
gauche,bien,4.717168810669925
gauche,pouvoir,3.4362209805552295
gauche,monsieur,2.0417006166327325
oubliés,invisibles,34.582085167987024
oubliés,politique,15.340070399254401
oubliés,contre,13.292441745879975
internationale,déloyale,170.82875931388932
priorité,nationale,188.86660757591642
priorité,accès,118.21563745839397
priorité,français,13.570684479479397
présenté,projet,33.63898634568176
ayons,courage,33.05476727287713
ayons,plus,19.987211101451788
puisque,définition,65.63743352378839
puisque,normalité,33.73444647735952
puisque,parlons,25.47587183905274
puisque,savez,21.277701470726967
puisque,sommes,16.769264465039605
puisque,objectif,15.128004797640388
puisque,aujourd,6.8549146993564065
puisque,avons,6.682926065861455
présence,nombreuse,64.93162627193966
présence,conférence,38.8257137584759
inscrire,constitution,73.37696539083773
important,parce,15.16324357875325
important,monsieur,9.479884538427097
obstacle,commerce,41.013991938202416
premiers,bénéficiaires,60.46489589786088
revenir,monnaie,18.979967390788502
fondamentalisme,islamique,79.0321892383144
fondamentalisme,islamiste,54.301745326270236
existe,entre,32.34890431057892
existe,plus,27.501007568775076
disent,administration,26.776163569291114
disent,chose,23.35326026993276
disent,veut,14.358470232030484
nationalité,française,318.37411323658677
quand,disons,25.42250879918593
quand,autres,20.790397543640523
quand,monsieur,5.837594916640044
métropole,outre,114.51439786023845
esclavage,dette,26.021501046412617
économique,social,117.88326550155519
économique,sociale,66.74809036818539
économique,patriotisme,61.65633007296857
économique,financier,26.07192043590656
économique,ultralibéral,21.579849943911988
économique,plan,11.695984771719683
économique,celui,7.426347668767193
économique,dont,5.017368345938704
économique,veux,4.099630929536764
économique,faut,3.304957234485811
économique,suis,2.5884830025239616
économique,aujourd,1.9255562122668057
économique,politique,1.3234214997268139
économique,pays,1.136114897675017
économique,bien,0.9358658191433844
économique,france,0.8580472694549326
économique,dire,0.8545874542785397
promesse,mettre,20.590800926187715
défendre,intérêts,41.05107248737708
défendre,principes,21.824796053978343
défendre,identité,19.518755987569282
défendre,intérêt,16.12999317453962
défendre,nation,13.496584122389864
avis,peuple,15.380066456355102
avis,français,4.5782814871591775
mauvaises,habitudes,49.647617900631175
vème,république,99.48140246259885
permettez,dire,109.14957286527853
permettez,hein,13.857691113996449
permettez,monsieur,9.660740552916387
meilleures,conditions,46.47648149566092
bruno,gollnisch,112.82226379595816
rendus,compte,57.767047254561604
2011,contre,14.979214712549792
immense,majorité,308.97081175649794
immense,responsabilité,22.17473507292018
liberté,monétaire,81.63122490807419
liberté,égalité,51.878047136124515
liberté,presse,46.052312663831394
liberté,peuple,43.25928848685991
liberté,syndicale,30.97716956004649
liberté,expression,29.894009377000927
liberté,entreprendre,29.393237200205427
liberté,internet,28.038064364579842
liberté,individuelle,26.264899903202053
liberté,législative,24.237263260143433
liberté,liberté,18.89256214267713
liberté,prospérité,17.89539209859585
liberté,peuples,16.237792559033355
liberté,souveraineté,15.765743633063142
liberté,décider,15.423147245659925
liberté,débat,15.02262731676241
liberté,totale,14.189693366070099
liberté,aller,13.591447545134708
liberté,chacun,10.620930465487307
liberté,démocratie,9.417922219051455
liberté,celle,9.336138577590543
liberté,face,8.183096589954891
liberté,nation,7.02193206881876
liberté,france,3.709739571711168
liberté,bien,0.14548296789310844
grosses,capitalisations,54.709399843495895
commission,européenne,131.38619464949196
commission,discipline,52.3854584346809
commission,enquête,33.79974422696799
porte,projet,42.28532404768646
porte,voix,20.544835840048677
porte,exactement,18.30979628730699
porte,monnaie,16.223217462103772
porte,france,4.096925285141676
certain,nombre,2328.4138687321883
certain,montant,35.16931243152188
certain,temps,7.868120820171445
responsables,politiques,386.137889066581
responsables,situation,20.605177289431502
responsables,front,10.574017233244232
commencé,faire,13.724869154228214
tribunaux,fermeture,42.07323944537167
petit,commerce,33.71647663187638
petit,monde,32.06980153467385
petit,coup,26.566523543614476
petit,pays,11.283312471442082
petit,plus,7.588810693386932
petit,faut,4.648867472343402
effort,faire,11.88440815202673
deuxième,tour,66.18344315423661
deuxième,chose,18.499983636614825
puisqu,aujourd,30.292777700581027
puisqu,avait,12.663031806509684
puisqu,plus,3.028339789803333
autres,pays,134.7607431076321
autres,candidats,80.81922954393416
autres,mouvements,73.28939644072452
autres,domaines,34.657006015347974
autres,partis,33.17361424490122
autres,sujets,12.786927869123385
autres,grands,11.173254935784627
autres,campagne,7.084227504565641
autres,ailleurs,6.813597927493625
autres,bien,3.8013645474590323
autres,politique,0.6284212189069058
autres,mais,0.508061053754854
demi,seconde,52.54111654507381
demi,entre,17.963219555342548
demi,français,15.06641560662817
longtemps,puisque,16.574287281645873
heure,grave,22.60106371832752
trésor,intérêt,61.119273154491204
constitution,européenne,137.65706264083582
constitution,république,37.074859493484425
attends,réponses,40.401827839055876
xxième,siècle,89.61437102996105
national,extrême,31.970570163896213
national,parti,27.972633810952637
national,vive,26.15593626444086
national,rassemblement,24.58322904097824
national,apporte,20.289052300709606
national,demande,19.040325667194715
national,aurait,18.284099573638137
national,monter,15.637936118640415
national,solution,13.392606829941812
national,sera,10.436521662336606
national,avait,9.384720848263193
national,était,8.963133008963418
national,gens,6.2513832041103266
national,contre,3.7533273860888627
national,voilà,2.3727181342385126
national,bien,2.040930857798007
national,plus,1.371053445264339
national,pense,1.1523444814957684
national,ailleurs,1.1341899274184524
national,suis,0.896964940318187
national,aujourd,0.47822728841625484
national,monsieur,0.3401234006698557
national,faire,0.01998562841973678
groupes,politico,106.5511744863419
groupes,payent,26.209211928145816
groupes,presse,22.129956261419522
tourne,vers,72.59176947078689
foire,trône,59.436482566182036
demain,pourrait,19.8212669080292
demain,france,5.30897910019841
vient,demander,25.71089952198692
vient,dire,18.44175518290411
équivalent,ville,46.32504777774938
faut,bien,146.66912095030273
faut,arrêter,134.5848706499338
faut,mettre,81.12226851619343
faut,faire,78.57228954170698
faut,admettre,41.990942130140716
faut,revenir,40.8392421527624
faut,sortir,40.32760312599157
faut,savoir,39.11180945423364
faut,dire,34.56829436869581
faut,rappeler,33.932877218069976
faut,supprimer,30.117505270033774
faut,attaquer,29.82677901513008
faut,réserver,27.900440044607777
faut,anticiper,27.818176333425615
faut,prudent,24.911550290226767
faut,abord,24.852342549375074
faut,remettre,21.29115351310849
faut,attendre,20.399175326778217
faut,changer,20.040224641346093
faut,autoriser,18.81245777343163
faut,reconnaître,18.81245777343163
faut,souvenir,18.21766355900441
faut,finir,18.08891468274315
faut,retrouver,17.496991620418704
faut,assumer,16.732509715672613
faut,prendre,15.660440022947062
faut,demander,15.59189671480695
faut,réduire,15.211582251080806
faut,baisser,15.082842606116348
faut,apprendre,14.887679331407924
faut,envisager,14.581449775169048
faut,écouter,14.581449775169048
faut,aller,13.873338252911724
faut,nature,13.752244732689402
faut,sachent,13.26118540590458
faut,choisir,13.031157273048537
faut,tourner,13.031157273048537
faut,commencer,12.197181711321157
faut,convaincre,12.197181711321157
faut,essayer,11.823865912672826
faut,donner,11.4774810673251
faut,régler,11.474842081910683
faut,poser,10.271604007124209
faut,absolument,9.636718947607639
faut,change,9.186148250370348
faut,créer,8.671011965871791
faut,règles,8.671011965871791
faut,parler,8.579707372676932
faut,surtout,8.459908824802216
faut,courage,8.116722223404858
faut,rendre,7.699125116125526
faut,soit,6.481990781666326
faut,plus,5.840176064955182
faut,soient,5.62090688651728
faut,peur,4.849521367874485
faut,enfin,4.3765530229209135
faut,évidemment,4.171862984247552
faut,français,1.0488415889177567
faut,aujourd,0.029938805424983395
ainsi,ailleurs,9.584124611929433
ainsi,sera,9.332751465490173
coûte,milliards,66.61219254012337
coûte,cher,30.785353663402287
coûte,plus,10.543302731913773
faux,faux,26.602389849426306
faux,ailleurs,12.268945558693787
milliards,euros,925.6792812205524
milliards,bénéfices,35.1370087274919
milliards,supplémentaires,33.98984406593879
milliards,économie,28.519643601401373
milliards,milliards,25.168871679657727
milliards,coût,23.976311940571136
milliards,intérêts,23.540952173950068
milliards,dette,11.264939368930442
commerçants,artisans,37.18650429641234
europe,bruxelles,174.8845909277749
europe,nations,37.924624651084706
europe,fédérale,32.57986552801651
europe,ultralibérale,18.919581100966997
europe,peuples,18.28771392811704
europe,euro,15.04788093613475
europe,sait,11.823470131677642
europe,politique,2.2328735681910787
europe,bien,1.9365969626655977
europe,plus,1.792898266975829
europe,france,0.5746011944127267
cette,situation,59.61922773218289
cette,mondialisation,38.46590665699534
cette,france,20.393760842981244
cette,mesure,16.34954886404885
cette,affaire,15.19168582720745
cette,vision,13.73483447402251
terminer,phrase,69.4986091120254
modèle,économique,296.8387354688753
modèle,ultralibéral,63.65674900457787
modèle,social,44.675351156922005
modèle,société,24.590207235988142
près,milliards,45.078043934836856
près,loin,39.41728368445066
près,millions,23.31579213879369
près,niveau,17.551506770825483
énergies,nouvelles,85.2893890696653
prend,charge,45.94784583669056
prend,importance,30.16980828176378
évidemment,objectif,20.185477769721288
évidemment,accord,10.0918041617716
évidemment,bien,0.41100195331224376
évidemment,plus,0.006514598242635061
frédéric,mitterrand,105.45861740182339
intelligentes,frontières,62.69977950426982
consiste,donner,19.061617434464786
consiste,prendre,19.01650986590355
consiste,faire,12.817330842859455
consiste,dire,8.02744957026411
marché,travail,141.3014577687037
marché,financier,84.41602770916735
marché,intérieur,69.05721668464942
compétences,égales,89.09146970030875
hymne,national,30.27787009298376
prison,peuples,22.308928485699468
nouvelles,règles,28.340456179865008
population,française,55.674232083435896
écurie,présidentielle,40.18317406996877
donne,argent,31.75933155494002
gagner,temps,39.705072108658044
gagner,argent,36.13274465935219
gagner,nous,12.691258337222132
gagner,france,6.2781084960907885
exception,culturelle,37.571717521099444
proposer,français,9.338855075328429
imposé,français,14.745765052084035
professionnel,chacun,32.614538574834754
maires,petites,26.333748067131683
maires,france,6.944550178060246
durant,quinquennat,58.60844467790256
chèque,premier,34.55319297677744
exècre,gens,33.11621659104504
vague,bleu,34.6948135253575
tant,mieux,74.34192246979654
tant,aura,36.30337993282642
tant,talents,24.667997636316137
tant,autres,17.722685562530366
tant,années,12.341662112407658
tant,temps,9.568486899427544
tant,sera,9.52390420400505
tant,ailleurs,5.865570424031716
rien,change,105.53517707877185
rien,offrir,42.4902613317071
rien,dire,37.6193877455268
rien,changé,31.217488274353812
rien,faire,29.733958467751187
rien,changera,25.928660243462623
rien,extraordinaire,17.496279677827637
rien,attendre,17.24040252900123
rien,plus,16.110277987381384
rien,changer,15.036632069947563
rien,semble,13.144668570471994
rien,surtout,13.041213795968892
rien,compris,8.517550901243702
rien,enfin,4.890302733819263
rien,sera,4.302715027740538
rien,autres,2.886730371091013
rien,monsieur,1.8332540574610654
rien,mais,0.2655621072636676
rien,bien,0.0651543627040736
tourné,vers,48.855338226621384
utopie,européiste,43.125153267328145
arriver,pouvoir,18.433408587043775
montée,puissance,35.39586697912931
possible,faire,5.676251312996525
mémoire,courte,47.60899637439715
tenu,situation,33.72274032481414
français,doivent,94.66117170800777
français,attendent,61.51121557901858
français,soient,54.31976167118493
français,savent,52.501613279378795
français,peuvent,35.695693565522724
français,sachent,34.19446250466045
français,connaissent,30.739258643189878
français,culte,25.608482309171215
français,origine,25.057880066578917
français,aperçoivent,20.77138096441585
français,payent,19.606746538258292
français,commencent,17.982111876491174
français,veulent,17.630161137122897
français,musulmans,17.401640924898842
français,comprennent,16.126898598705864
français,dupes,15.38753194645113
français,décider,14.583402018849862
français,traité,14.583402018849862
français,afrique,12.286325092671495
français,prennent,12.286325092671495
français,souffrent,12.286325092671495
français,privés,11.549934545185309
français,réclament,11.549934545185309
français,besoin,11.274254137601353
français,quand,11.075445457020443
français,viennent,10.717548916537208
français,commence,10.327288562707206
français,précisément,10.061698549286927
français,vous,9.864181709428102
français,proposer,9.338855075328429
français,souverain,9.338855075328429
français,arrivent,9.119201027808607
français,perdu,8.51315711362346
français,aider,7.974155706372386
français,auront,7.80717069470325
français,nous,7.790299123677931
français,disent,7.717377935795147
français,savoir,7.6432943089876595
français,avec,7.489951266186908
français,fais,7.218702728858766
français,avaient,6.940112576417402
français,vivent,6.914058894449725
français,rester,6.780797196031392
français,parents,6.1687063606473655
français,intéresse,5.9461714763992095
français,vive,5.9461714763992095
français,intérêt,5.741752496684341
français,faut,5.647191055988332
français,delà,5.6329373720113765
français,écoutez,5.589700661163093
français,cesse,5.070312098045365
français,toute,5.048746591265475
français,travailler,4.899193320017279
français,liberté,4.565226194407252
français,compris,4.439659969666605
français,soit,4.433385149845085
français,confiance,4.2828227377602905
français,égard,4.14367300686767
français,face,4.104627759817078
français,vois,4.009796263713378
français,pour,3.7091188278939784
français,conséquent,3.370313907102882
français,bonne,3.2495961869957384
français,celui,3.159561642370212
français,cette,3.1360299576655892
français,reste,3.0972909281591168
français,mêmes,3.0247336370562374
français,probablement,2.769824958699389
français,train,2.745506440237441
français,toutes,2.716584462751797
français,enfin,2.4610415996447754
français,dire,2.389170915940525
français,voit,2.360624186617349
français,dans,2.2136285170308936
français,élections,2.2136285170308936
français,crois,2.019206748409685
français,peur,1.881911410594296
français,sera,1.8141460847323865
français,abord,1.7939529498918416
