first,second,third,likelihood_ratio
nathalie,kosciusko,morizet,529.3401004242538
objet,enquête,minutieuse,157.23470241506607
contribution,sociale,importation,323.4432580739289
centaines,milliers,clandestins,337.6901004346177
tour,élection,présidentielle,1002.7418190576293
tour,élections,cantonales,349.47906232224875
tour,france,oubliés,129.20614304314648
tous,enfants,france,104.57221225818245
monsieur,aphatie,monsieur,1098.3124581936363
monsieur,strauss,kahn,1087.2819663617745
monsieur,aphatie,mais,894.6460167818316
monsieur,aphatie,français,886.052280736991
monsieur,mais,monsieur,591.4663351191856
monsieur,hollande,monsieur,572.871605523163
monsieur,bourdin,monsieur,564.1236192496124
monsieur,bachar,assad,351.18910407668443
monsieur,monsieur,monsieur,307.9394852238737
monsieur,dupont,aignan,225.634748223548
hommage,mohammed,merah,286.22877844279355
déloyale,pays,coûts,129.13377780804944
seront,premiers,bénéficiaires,148.86334399294145
contre,front,national,6169.515877000365
contre,jean,marie,1327.5100597353662
contre,concurrence,déloyale,856.531630457636
contre,mariage,homosexuel,560.7825534455974
contre,mondialisation,sauvage,351.89936281781604
contre,vote,étrangers,347.3906800739302
contre,plans,renflouement,336.7718383710304
contre,trafic,drogues,167.82544062793033
suppression,aide,médicale,563.1951530143159
pendant,campagne,présidentielle,632.8410029286817
pendant,trois,mois,170.7854769790667
semaines,quelques,mois,365.26171298632573
semaines,plus,tard,251.70425527697645
dont,sait,pertinemment,300.5861480771935
dont,puisse,dire,279.88674653048133
dont,sait,bien,254.12414646869377
dont,espère,faire,83.28999042752221
clique,umps,niveaux,190.96349687357815
alors,chers,amis,2049.4543481239652
alors,chers,compatriotes,759.1352602020709
alors,vais,dire,490.43293201577507
candidature,élection,présidentielle,952.7448168678546
étais,contre,intervention,152.80563548305864
choix,économiques,choix,248.13523239303447
choix,oubliés,contre,80.9050535476459
municipaux,front,national,6187.766027263584
était,nicolas,sarkozy,6195.68282427357
était,trompé,porte,103.63166895081272
responsable,politique,administratif,222.23283059727444
etat,collectivités,territoriales,539.4822901493983
etat,fort,etat,361.41475599953895
etat,etat,fort,321.93479892314485
donc,veux,dire,754.3430207074911
aucune,aide,sociale,145.70686884173102
pouvoir,achat,français,1590.5963868048275
pouvoir,achat,chômage,1554.5929498353341
notamment,faut,bien,250.67260541803284
dissolution,assemblée,nationale,631.3236790704757
avait,certain,nombre,3511.586536705011
vais,mettre,place,806.6724477234155
vais,dire,clairement,496.5934690876444
vais,dire,chose,460.9857245078467
vais,dire,parce,455.53740572538624
vais,dire,monsieur,442.0422861291957
vais,donner,exemple,151.17311916298752
vais,mettre,droits,136.71575052345526
emploi,pouvoir,achat,1555.0654409057242
toutes,aides,sociales,634.4797217355268
toutes,forces,toute,283.4404854109946
toutes,forces,france,274.66143860620383
toutes,nations,monde,175.17587904016813
devant,caméras,télévision,225.46273108681908
devant,commission,discipline,145.23119045148775
outre,étranger,chers,120.11498762639579
chômage,pouvoir,achat,1554.6003871602247
moment,donné,faut,634.9423875626353
cinq,millions,chômeurs,577.6005115956114
systèmes,protection,sociale,823.7968758535842
faire,front,national,6143.242425380971
faire,objet,publication,325.26941903009504
faire,objet,enquête,261.61974718209865
faire,croire,français,251.53792081526075
faire,grand,rassemblement,126.13025773415433
faire,cesser,concurrence,90.44268951091314
racisme,anti,français,109.24746647063274
chine,etats,unis,1298.906660789569
morale,publique,plus,522.953739812534
élever,leurs,enfants,411.2666419091545
jusqu,dernier,moment,178.9298947068583
gouvernement,nicolas,sarkozy,6240.659680525334
gouvernement,union,nationale,134.3801472526679
aura,préparé,sortie,140.20095367643614
madame,commissaire,politique,275.75257691979306
madame,mais,madame,228.09842342456523
madame,nathalie,kosciusko,211.80120847113034
fabriquer,esclaves,vendre,181.62209617098654
messieurs,chers,amis,2089.4656766449993
messieurs,remercie,présence,188.19051348870875
réarmement,face,mondialisation,208.0598615815931
banque,france,prêter,294.6133175471806
banque,france,prérogative,269.49475866489666
banque,france,prêtait,269.49475866489666
banque,centrale,européenne,190.93817430458844
rassemblement,peuple,français,1489.14115345035
rassemblement,bleu,marine,669.1218919541643
oubliés,politique,française,212.21798203003402
crise,économique,sociale,178.9308624902122
priorité,accès,logement,343.7669269502339
priorité,accès,emploi,266.0727681939981
colère,légitime,peuple,148.90531956123533
hollande,nicolas,sarkozy,6260.379164424579
hollande,monsieur,sarkozy,138.7768376430049
inscrire,constitution,république,178.72003073370814
mesdames,messieurs,chers,588.9699786572603
mesdames,messieurs,remercie,570.6516041412093
relancer,pouvoir,achat,1568.5017632145236
sert,plus,rien,205.3923034567971
empêcher,front,national,6211.703130452988
économique,patriotisme,social,290.31833094640746
bien,peuple,français,1465.0940473132853
bien,chers,compatriotes,719.4987559878921
bien,vais,dire,445.16518294687677
bien,entendu,mais,310.37991127609786
bien,faut,faire,160.365070344965
laisser,faire,laisser,129.94483549420465
avis,peuple,français,1491.0001876358515
gestion,argent,public,449.27681630423007
voilà,vous,voyez,565.67240195655
avons,front,national,6148.251289278223
avons,certain,nombre,3509.2709977446925
avons,millions,chômeurs,552.5385498237845
avons,plus,moyens,202.39021295952344
avons,payé,milliards,110.07022318221787
augmenter,pouvoir,achat,1563.1267876874995
suis,candidate,élection,281.58642692156
suis,présidente,front,187.36960709937017
suis,femme,libre,137.00436463500367
permettez,monsieur,aphatie,908.9936124401257
permettez,dire,considère,209.59505157245638
budgets,conseils,généraux,818.7480861533425
banques,marchés,financiers,1378.4998206475643
banques,dépôt,banques,325.0844817817906
intérêts,france,français,76.79025864655682
vous,président,république,1514.2420278086206
vous,savez,monsieur,820.2410498375496
vous,savez,suis,785.5770558451893
vous,voyez,bien,673.0089205517727
vous,voyez,différence,581.4580310714969
