first,second,likelihood_ratio
souvent,occasion,29.29444374749083
souvent,issus,22.76323079972351
souvent,femmes,13.053980723805925
souvent,ailleurs,12.0154680729602
souvent,plus,1.7979674835448654
cabinets,ministériels,76.79228100816898
agriculture,exportatrice,57.65730965611641
agriculture,pêche,43.322605769317825
agriculture,européenne,25.692217881624522
humbles,travailleurs,32.10375646051587
humbles,plus,28.99389138840455
grâce,chirac,12.845512375660528
grâce,etat,11.196415961882307
derrière,lequel,17.555030121236957
derrière,candidats,14.787186342267157
amoureux,france,12.6032120613378
subventions,associations,62.398227873795115
proportion,nombre,23.428576507916183
aile,extrémiste,51.68397386682746
aile,gauche,35.35874669709479
mondiale,commerce,53.201629919226114
mondiale,passée,38.89171591357724
matin,paysans,187.28345449108963
religions,différentes,57.809400520530545
oublié,gouvernait,46.591180809552284
mesures,immédiates,68.94884317660825
mesures,prises,37.74213402158456
mesures,prendre,35.16156673594651
chère,madame,64.96221285447982
éclaté,grand,31.56000213531794
ciel,tombe,36.80450217504838
ciel,terre,26.003173437344305
conscience,universelle,35.218714074699214
conscience,personnelle,27.376507869469044
conscience,intérêt,17.565624199845768
conscience,nationale,17.258193892628107
conscience,politique,5.695180982422836
conscience,français,3.8217802093955093
aucune,raison,93.0220910208682
aucune,garantie,73.41078030049005
aucune,chance,44.580201908623316
aucune,communauté,42.61490028947089
aucune,aide,41.74316107316595
aucune,relation,39.64706299804197
aucune,différence,35.26482042470367
aucune,responsabilité,34.64808880108163
aucune,importance,29.333151009959373
aucune,fatalité,26.05525811553034
aucune,circonstance,23.93810730678628
aucune,difficulté,22.38219047139922
aucune,manière,18.163140424349827
aucune,religion,17.91432761353022
aucune,idée,16.50933745748879
aucune,promesses,16.45970652307288
aucune,preuve,15.985782756096485
aucune,vision,15.464724483715521
fardeau,obligation,47.34154811254647
descenseur,social,158.3713426947431
vais,dire,518.9687700846889
vais,répondre,159.7566460722777
vais,donner,88.07189096887718
vais,faire,67.64302529792954
vais,mettre,48.0851993590541
vais,demander,40.902358286033774
vais,apprendre,31.64462492693239
vais,prendre,20.380153649798046
vais,proposer,18.558847131567646
vais,arrêter,16.986371487659987
vais,expliquer,16.748540811338195
vais,parler,15.615050235125189
vais,créer,15.374960739673956
vais,aller,14.814691228762204
vais,passer,13.56529615487075
vais,changer,13.099811723194254
facile,dire,21.702068119926963
facile,vous,13.725269825455765
facile,faire,7.102465175391782
prévenir,conflits,43.16305543159348
solidarité,nationale,165.03286459216102
solidarité,demain,71.25144236168667
solidarité,âgées,41.12961291462597
solidarité,naturelle,33.24626351124055
solidarité,entre,16.09847704921347
solidarité,sociale,13.842660401997797
solidarité,bien,3.6291701895170174
strauss,kahn,856.9739168243578
commerce,mondial,62.620681714135166
commerce,international,61.20895112752541
commerce,extérieur,55.42793809752703
brûlée,vive,85.6826687656127
moment,donné,571.3138124391365
moment,décisif,40.7360946189955
moment,venu,24.918651649800495
moment,dise,21.18590277276421
moment,faudrait,13.844049882984311
moment,faut,9.377134937153574
moment,sera,8.397339326288993
moment,président,6.557906502621324
moment,était,6.320134666538234
moment,avait,2.9734380284969433
moment,français,2.0422271562126033
