word,raw_frequency
consommateurs,30
amendable,1
vénération,2
attaquant,3
lobbying,3
décline,4
plaisantez,16
précipitée,1
ails,1
discrets,1
toucherons,1
récidiviste,4
fonctionné,5
consentants,1
impressions,1
euromaniaques,1
danse,4
germano,1
inéluctables,1
oublié,48
reconstitués,1
shirts,1
salari,12
étend,5
infondé,1
conscience,93
désertent,2
déplacé,1
facile,70
intactes,1
versatilité,1
kilomètre,1
brûlée,8
également,114
redressée,1
garaud,2
admonestation,1
panne,6
brûlés,3
disposant,8
gamins,1
encaisser,2
soviétiques,7
vestimentaire,1
interdise,2
raux,1
diffamatoire,1
externe,2
mesquinerie,1
promettre,4
mobilisé,8
goût,24
compenser,9
quint,1
engourdissement,1
brevet,7
mainmise,3
cameron,4
proclama,1
gauchistes,6
jupe,2
mourut,2
fêtant,1
contradictoire,11
fonctionne,25
gaucho,1
gauche,604
proclame,4
forçons,1
extenso,1
ignorent,4
sauvant,2
raids,1
disant,122
jugeons,1
monstre,5
raide,2
lampions,1
oublie,15
fibre,1
infondée,2
écoutait,1
ravie,8
déplace,2
adenauer,2
ruinées,3
arrangera,1
infondés,1
boys,1
oukases,4
ravit,1
intercommunalités,1
véritables,36
barricade,1
divisions,12
universitaire,8
prédatrice,2
empêchant,4
municipalité,9
éliminait,1
passeports,2
émergentes,1
admiratrice,1
marges,17
malik,1
tranches,6
trancher,7
mimétisme,3
sottise,4
désole,1
tranchez,1
considèrent,27
parité,24
augustin,1
énonce,1
stocker,1
traduirai,1
faïence,1
industriels,41
piéger,8
valorise,1
values,5
villepin,21
révolte,21
soucieuse,6
désunie,1
gallo,1
a319,1
approfondissement,2
enchères,4
patrie,191
régiments,1
voient,1
doigts,6
flacon,1
imperméable,3
rieusement,1
unanime,10
midi,34
favorisé,2
impliqués,5
brillante,5
prison,117
crèches,4
mobilisés,6
chienlit,3
atterriront,1
voute,2
brillants,2
antisociale,1
daflon,1
énoncé,2
sident,3
troublent,2
désire,5
pouliche,1
courbe,5
dénions,1
descenseur,11
kosovars,2
diversifier,2
châteauroux,2
désirs,7
douane,49
révolté,1
embarquée,1
cubes,2
bastilles,1
paralytique,2
banlieusards,2
clémenceau,8
valorisé,1
antiquité,2
courons,2
sophistiqués,2
horloges,1
prioritaires,9
opportun,1
seigneuries,1
poste,57
cruciale,2
paritaires,1
assassiner,1
nobel,17
hériter,2
vidée,2
étrangères,38
effectuera,1
validés,1
traditions,44
identifié,2
assimilées,1
bafouent,1
senti,6
favorise,5
validée,3
versez,1
distrait,1
redonner,45
verser,19
interlocuteur,3
fraternelle,11
comparait,1
néanmoins,12
compétitifs,13
idées,170
évasion,3
tremblent,6
rembarquer,1
résultat,103
mensuelle,1
houille,1
réformer,18
réformes,74
crach,2
élisez,1
préjugent,1
niquent,2
adulte,4
gèrent,4
emeraude,1
prétendaient,1
multiséculaires,1
liminaires,1
prévision,7
rouges,2
sedan,1
emballé,1
sente,2
déployés,1
obligeait,2
varié,1
spéciale,2
postuler,1
rassurions,1
appétit,2
durcirons,1
monténégro,1
floyd,1
1470,1
couronne,8
instituteur,6
carpe,1
relayé,2
consacrera,1
pédagogisme,4
excommunier,1
instiller,2
esquivés,1
meetings,27
inaccessible,3
ronronnait,1
bloquer,10
entêté,1
dirigeront,1
longues,9
belligérance,1
psychiatre,1
litham,1
longuet,7
économies,60
monarchiques,1
poitiers,2
crainte,17
zélé,3
édifier,1
charria,6
acquièrent,5
amusée,1
cupidité,6
démonstration,15
montagne,10
incomparables,1
héros,12
banales,1
férié,2
corsetage,1
homosexuel,22
pontifiantes,1
anarchiques,1
reconnaissant,2
commencerai,1
filiation,5
énergiques,2
maçonniques,2
perfides,1
électoralistes,15
normandie,9
abonnés,7
impréparation,1
mobilisons,2
génétiques,1
contractées,2
cinquante,12
édiles,2
revêtir,2
relaye,1
aboutira,3
pourcentages,5
potaches,1
demandait,3
marches,5
marcher,8
saccagés,2
répercute,1
mois,381
refroidir,1
marchez,1
enfonce,16
mercantour,1
pressenti,1
avertissements,5
peureuse,1
instrumentalisation,3
agrandissement,1
ennui,3
recommandables,1
docile,1
dictées,1
aériennes,3
pétainiste,1
abonder,1
gentille,1
asseoir,7
remisera,1
multitude,2
insinuez,2
casque,2
ensuite,66
constitutionnalisant,1
innovation,13
recentrant,1
musical,1
peoples,1
compacte,1
insidieusement,1
produise,2
étranglent,1
iniquité,1
favorable,39
hargne,1
représentent,34
rétention,1
niées,3
imaginait,1
renonce,8
existions,1
brouillonne,1
conservé,9
monarchique,4
tiendrais,1
mondialisées,1
tiendrait,4
renard,2
orage,3
bondir,1
castellane,1
skieur,1
circuit,5
anciens,53
entièrement,13
singulier,2
gâteaux,2
réserverions,1
moyennes,69
