first,second,third,likelihood_ratio
objet,enquête,minutieuse,157.11684074712454
objet,consultation,obligatoire,140.55909101594665
écrasé,chevalerie,française,255.09240042932143
dernier,souffle,acte,120.98894475807063
dizaines,millions,morts,204.83832767909195
libération,train,anciens,118.93604155866271
monsieur,président,république,4106.402131465595
monsieur,strauss,kahn,1353.8136143167353
monsieur,aphatie,monsieur,1250.4715068224696
monsieur,aphatie,mais,989.5694292374303
monsieur,aphatie,français,982.0744429235083
monsieur,hollande,monsieur,692.3051809557385
monsieur,mais,monsieur,664.4901659297955
monsieur,bourdin,monsieur,659.2448190973407
monsieur,monsieur,monsieur,398.67447150185274
monsieur,bachar,assad,377.98472445891275
monsieur,dupont,aignan,315.2303019877721
monsieur,sarkozy,était,304.01673818860013
hommage,mohammed,merah,290.3191535795192
hommage,annuel,jeanne,156.77892837783077
espagne,portugal,grèce,262.0722096231395
condamnée,mort,brûlée,226.4506448601431
mesure,intérêt,général,522.6378536815112
rupture,contrat,préférence,135.58762336321254
matin,paysans,arrive,394.6124918540632
identité,sécurité,français,98.43123720229748
rouen,cage,ferrée,314.09034238879724
rouen,dernier,souffle,142.46702282299208
cheval,accomplir,plus,102.77532117502633
peuvent,aboutir,supprimant,132.24015881916077
étais,somme,toute,688.1373653311937
étais,contre,intervention,140.20132611154196
simplement,faire,remarquer,134.53503404942632
municipaux,front,national,19071.07489138401
financière,fiscale,plus,88.83394607003257
était,nicolas,sarkozy,6895.723049306711
était,quelque,sorte,4192.129516784395
était,président,république,4103.287247598424
était,jean,marie,2840.524802018947
était,premier,ministre,1463.7188118446825
était,ministre,agriculture,171.79662484116983
était,trompé,porte,105.13866257139101
responsable,politique,administratif,221.94956569982534
ciel,tombe,tête,122.13358019695471
injuste,effort,hommes,106.21783539010613
aucune,aide,sociale,279.07964583920653
fardeau,obligation,dont,125.24046072583809
notamment,faut,bien,515.0972212819643
dissolution,assemblée,nationale,1494.687971008645
vais,mettre,place,1028.3255319842478
vais,dire,chose,869.432945901201
vais,dire,clairement,863.5065698997632
vais,dire,vais,822.0406597952233
vais,dire,parce,816.6365497357285
vais,dire,monsieur,807.3440598737961
vais,donner,exemple,240.4732240378784
vais,donner,chiffre,217.36613394520123
vais,mettre,droits,132.05102924034378
succès,candidat,peuple,113.38197471917334
solidarité,nationale,travail,280.5765805595119
laisse,entrer,droits,102.83389650052185
outre,étranger,chers,118.65552577966918
brûlée,vive,1431,248.51306745783938
paris,plus,tard,752.4817917402105
paris,blessée,troisième,198.49912742449078
paris,1957,premier,175.24071798259524
paris,espace,charenton,144.48807831267868
moment,front,national,19020.5687776999
moment,donné,faut,920.0644693530301
réforme,code,nationalité,292.4011820242074
cinq,dernières,années,847.6511798863872
cinq,millions,chômeurs,801.1447475837995
cinq,plus,tard,765.9284045219774
cinq,prix,nobel,418.14844145901327
emploi,pouvoir,achat,2225.6261963093584
emploi,logement,aides,216.1365773943623
emploi,charge,collectivité,157.31138891172475
emploi,plusieurs,assistances,130.96705695424873
française,front,national,19021.416546346914
française,union,européenne,4329.177572719553
française,article,disposant,127.09745322907297
observatoire,national,délinquance,115.46639848545914
marché,travail,marché,308.7036257713203
lourde,plus,plus,563.4239575208022
peuples,européens,plus,194.7893173630954
peuples,disposer,mêmes,186.79346902543517
élever,leurs,enfants,765.997733115718
personnage,historique,parcours,167.30822054134987
malheur,charles,devenu,138.1845118570647
supprimant,postes,travail,113.67446925625012
jusqu,dernier,moment,180.1617444683729
plutôt,front,national,19029.81225701301
nouvelle,remercier,présence,131.45747269384685
vingt,dernières,années,839.6572771835005
empêche,toute,réforme,101.7759089706795
recherche,emploi,plusieurs,127.41016371631966
subventions,associations,communautaristes,234.1821752679025
organisation,nations,unies,275.84266186197385
organisation,mondiale,commerce,241.0545576839001
écrase,anglais,jargeau,252.1442818205789
révolutionnaires,caboche,capeluche,236.65057454829582
forfaiture,quatre,plus,100.56679500424941
compensation,dette,agricole,144.31798359083703
tard,portes,paris,159.6238913076279
tard,jeanne,sait,99.53863635967457
tard,nôtres,rien,95.89125056040398
prospérité,solidarité,nationale,357.9149760960052
orléans,écrase,anglais,227.02231038197166
politiciens,français,gauche,138.31767611699553
techniques,pourrait,croire,149.5981774525866
rassemblement,peuple,français,2448.7979687564607
rassemblement,bleu,marine,684.2846779835692
rassemblement,forces,nationales,116.27984680265604
2007,2013,delà,120.8456214436612
gauche,parti,socialiste,2029.7867615711757
gauche,extrême,gauche,472.06870483149095
oubliés,politique,française,596.5010423379803
crise,économique,sociale,526.2523906262285
différents,partis,politiques,628.1810304557696
différents,pays,européens,366.26658091167656
présenté,candidature,arabe,247.4853202923623
cautère,jambe,bois,252.118564888449
assistances,irrésistiblement,catastrophe,180.58348294454373
présence,conférence,presse,514.1960957440469
exportations,agricoles,certes,127.14097480782557
pendant,campagne,électorale,1309.2242947033542
pendant,campagne,présidentielle,970.1483605088504
pendant,années,années,517.4601154617835
pendant,nombreuses,années,395.64634603477305
pendant,trois,mois,388.0534512580584
pendant,quinze,jours,229.0485963194996
pendant,deuxième,guerre,196.26013483277484
pendant,toute,campagne,135.80537894665795
pendant,certain,temps,79.4411021731937
nathalie,kosciusko,morizet,575.2363387009103
rocard,premier,ministre,1478.3536603588982
angleterre,proclamé,france,134.28732629147163
nationalité,hérite,mérite,252.6858716862311
dirigeants,front,national,19039.081795931823
honneur,front,national,19030.09895560115
économique,social,culturel,443.40296397660194
économique,social,france,405.6516849781516
économique,sociale,politique,379.85070255903986
économique,sociale,pays,377.5280274231417
économique,patriotisme,social,354.06914478076646
économique,équilibre,social,252.7332135705946
économique,retour,croissance,95.31925709178685
promesse,mettre,œuvre,509.7282101062821
défendre,leurs,intérêts,157.48156718832553
défendre,liberté,sécurité,118.60697418728306
défendre,france,français,114.16398318588624
défendre,français,abord,95.09360040755229
agriculteurs,termine,professionnelle,139.8670952609665
avis,peuple,français,2446.1710710325333
gestion,argent,public,481.39377110808584
voulait,faire,grosse,118.02191494920538
avons,front,national,19024.734603278674
avons,certain,nombre,7349.571240677107
avons,millions,chômeurs,807.7560977629555
avons,places,prison,564.4768342408646
avons,plus,moyens,290.61527933372514
avons,supprimé,frontières,173.96863671755702
avons,perdu,millions,161.50820857551304
avons,payé,milliards,108.68675971554566
peuple,peuple,français,2571.634571878366
peuple,français,peuple,2521.733079240354
peuple,français,liberté,2459.5549647050548
peuple,français,puisse,2445.868362416816
peuple,français,savoir,2445.114569009189
peuple,français,mais,2433.2086968025933
peuple,français,crois,2432.004830253263
peuple,français,suis,2426.602770550695
peuple,français,faire,2424.631799467249
peuple,français,plus,2424.540056053189
peuple,peuple,peuple,338.83366261725837
peuple,amour,patrie,307.20388231369566
budgets,conseils,généraux,854.9463388525235
ministère,affaires,étrangères,244.00451644813273
lettre,jean,marie,2895.22627709154
parti,front,national,19020.698588496067
parti,socialiste,voilà,2020.3663093987989
présidente,front,national,19117.946323982338
liberté,peuple,français,2511.8467044549107
liberté,égalité,fraternité,531.9543089153725
liberté,équité,fraternité,336.21833952335857
liberté,expression,liberté,323.8420144520477
liberté,pensée,liberté,312.0454758035024
liberté,sécurité,prospérité,291.42295915187856
liberté,individuelle,dignité,175.3991550785927
liberté,soucieuse,humbles,140.67638427635836
grosses,capitalisations,boursières,235.64007612411356
forces,nationales,action,110.65780350929512
mêmes,charges,fiscales,222.51086075277362
quatrième,puissance,économique,172.5464552399185
certain,nombre,gens,7647.530458497707
certain,nombre,sujets,7483.686175329067
certain,nombre,autres,7452.817100677232
certain,nombre,choses,7422.417179040638
certain,nombre,années,7396.60464246936
certain,nombre,mesures,7375.448124829731
certain,nombre,candidats,7372.29518222115
certain,nombre,propositions,7372.010361114953
certain,nombre,qualités,7370.589571563124
certain,nombre,journalistes,7369.424092749747
certain,nombre,pays,7365.973195516851
certain,nombre,divergences,7364.22918406783
certain,nombre,conditions,7360.885940330295
certain,nombre,activités,7360.716781902991
certain,nombre,problèmes,7359.307138275367
certain,nombre,dirigeants,7355.4655778458755
certain,nombre,domaines,7352.530422586971
certain,nombre,aides,7351.61692554689
certain,nombre,groupes,7349.967269648244
certain,nombre,temps,7346.790022197147
certain,nombre,responsables,7346.24487275094
certain,nombre,services,7344.725830761916
certain,nombre,droits,7344.039043571493
certain,nombre,jeunes,7342.162160106355
certain,nombre,hommes,7341.647363752414
certain,nombre,amis,7339.968185110103
certain,nombre,français,7337.162761298013
certain,nombre,avait,7335.628317562707
manière,dont,peuple,462.52137068456096
manière,plus,générale,90.23369811981851
présidentielle,nicolas,sarkozy,6904.81378956646
présidentielle,élection,législative,256.32367994806407
responsables,politiques,français,621.0675259156003
david,contre,goliath,142.50779599872766
2013,delà,date,117.39977951088697
2013,pour,assurer,102.23205545183711
professionnel,chacun,commencer,122.96753208129462
égard,front,national,19043.896695466123
2010,conseil,général,511.8594778521368
petit,pays,millions,72.21353932404453
deuxième,tour,élection,1605.4390700236436
deuxième,tour,élections,1541.1988060424965
deuxième,guerre,mondiale,683.6774109156661
deuxième,liste,élections,133.40632404288502
deuxième,liste,était,107.62084591635751
autres,certain,nombre,7336.211986574989
autres,partis,politiques,739.6898339267605
autres,pays,européens,655.2338621134529
autres,pays,monde,518.8028232758652
autres,mouvements,politiques,357.7770113159542
autres,grands,candidats,110.41469572691312
pourrons,plus,décider,96.19229065548566
notes,frais,doivent,282.0811182923816
charles,devenu,restera,145.44198943733994
vite,elle,rencontre,118.15719056829965
constitution,européenne,2005,979.0730631337126
constitution,vème,république,537.828714441474
constitution,française,article,149.49638434934718
constitution,république,reconnaît,118.4840696364759
congrès,front,national,19060.771831021237
national,front,national,19042.053342048745
national,assemblée,nationale,1439.773033839757
national,veut,dire,1317.5466462848808
national,vive,france,446.86785678497455
national,conseil,régional,382.4609610213335
national,vive,république,343.9475234388424
national,rassemblement,bleu,306.78301523158666
national,union,patriotique,292.2126476101837
1422,henri,meurt,188.26364218971293
acquisition,automatique,nationalité,405.7945050286885
commence,rendre,compte,461.7184224626433
réduction,temps,travail,131.14824081680337
coûts,prix,peuvent,108.18174532104852
européen,2009,sera,93.0077203363443
anglais,jargeau,juin,208.6438885266967
anglais,bourguignons,emprisonnée,186.95770957498985
anglais,débarqué,normandie,179.36679269394017
anglais,france,1453,125.5578176521708
vient,livré,étranger,124.84997227479678
équivalent,ville,rennes,251.8874144506604
faut,bien,dire,1441.453476728423
faut,mettre,place,1141.9778369850385
faut,bien,évidemment,999.9048467673065
faut,mettre,œuvre,648.9022235617568
faut,dire,vérité,554.443825184083
faut,bien,reconnaître,551.9990706128636
faut,bien,admettre,534.8745430678051
faut,faire,respecter,524.6654083893545
faut,poser,question,508.3473395960584
faut,faire,cesser,472.2029551798256
faut,faire,choix,434.5347670679865
faut,dire,répéter,433.6801324406761
faut,faire,faut,416.6823107070585
faut,tenir,compte,298.9801517304137
faut,français,sachent,163.4463173788451
faut,rétablir,frontières,162.92831942467404
faut,français,soient,161.92939040210655
faut,aller,plus,143.32789049139325
faut,abord,faire,141.83477963755269
faut,changer,modèle,133.7341739514947
faut,traiter,problème,110.14626068390055
faut,permettre,français,54.958562524392825
jospin,homme,gauche,135.4543922196874
jospin,avait,deuxième,97.08084210383629
échappera,techniques,pourrait,157.52754709430315
coûte,milliards,euros,2503.854922023302
coûte,plus,plus,565.7613495141411
milliards,euros,dette,2551.539507382438
milliards,euros,année,2453.102414386778
milliards,euros,soit,2452.1284585926896
milliards,euros,fraude,2445.613097259278
milliards,euros,vous,2428.922161710313
milliards,euros,2005,2426.4996706913353
milliards,euros,intérêts,2419.7000071449465
milliards,euros,mais,2398.4157505571097
milliards,euros,aujourd,2394.7839720935153
milliards,euros,france,2391.4737048560855
algérie,gouvernement,français,160.63913783392167
rend,compte,productivité,192.3535920799426
rend,bien,compte,97.06546448457408
europe,union,européenne,4313.066793476826
europe,fédérale,dont,410.81851495225465
europe,nord,celle,176.6440910305343
cette,mondialisation,ultralibérale,172.20210461838943
cette,situation,plus,125.65892022263378
véritable,terrorisme,intellectuel,216.47011107624672
ignobles,calomnies,elle,239.2329053184351
politiques,front,national,19024.34508111035
politiques,économiques,sociales,428.7722404560128
politiques,économiques,sociaux,243.48482126001204
modèle,économique,ultralibéral,504.37842791128685
fureurs,révolutionnaires,caboche,195.47244605812529
voulez,faire,club,95.29456165208614
euros,vous,voyez,865.4788455076468
euros,mois,millions,314.26845722766745
euros,fraude,sociale,248.57468686498953
euros,intérêts,dette,239.50083054886346
nationales,action,vigoureuse,145.7453261142535
faudrait,mettre,entrée,100.81999408815027
nationale,emploi,logement,158.96463953014134
nationale,érigé,fête,119.80306729614436
nationale,malgré,millions,92.70882020268812
nationale,travail,cause,69.05481494890904
nationale,politique,gouvernement,51.47725716758593
marque,point,départ,129.95787082972228
autorité,indépendance,france,108.3639321398287
vaste,zone,libre,130.3222864286859
partie,pouvoir,achat,2199.826676197673
partie,électeurs,gauche,95.89376412804907
bonnet,rose,rose,171.4369563668231
prison,ferme,prison,319.1747734875774
