first,second,likelihood_ratio
gouvernement,socialiste,45.033288255334135
peine,mort,77.12417714602327
plus,plus,5.895266602036927
nous,voici,29.581524530937244
élection,présidentielle,48.12908834481116
front,national,241.88923884761923
mitterrand,rocard,46.298661635856334
jean,pierre,48.220232437725336
second,tour,63.27269127056229
président,république,50.85340581393223
roger,hanin,44.84911076867875
façon,plus,20.47955841825356
préférence,nationale,37.89053689632441
rétablissement,peine,56.538519903102866
france,europe,52.57587442991562
france,français,9.598586131942316
premier,tour,46.98908866811592
premier,ministre,31.357444731504422
combat,france,19.373940246045578
nouvelle,calédonie,116.94458051586707
référendum,nouvelle,23.37442993962664
tiers,monde,40.350915520383325
revenu,maternel,44.84911076867875
