word,raw_frequency
aligné,1
gratuites,1
1958,1
finance,1
talent,1
commencé,1
sifflets,1
financièrement,1
police,3
satisfecit,1
querelle,1
ensuite,1
facilement,1
voulait,1
mesures,5
troisième,1
maintenu,1
réduit,1
scoop,1
poil,1
américaine,1
venir,3
merveilleux,1
bénéficie,1
brésil,1
commerciale,2
dimanche,3
repos,2
allaient,1
atteint,2
amandiers,1
exigent,1
furent,1
affaire,3
américains,1
régularisé,1
laxisme,3
échec,2
guerre,5
habitant,1
racistes,1
opinion,2
cependant,1
séculaire,2
aboutira,1
violentées,1
passionnels,1
matières,1
activité,2
battant,1
alentours,1
consistait,1
aveuglés,1
afghanistan,2
étendu,1
réalisé,1
volonté,1
partie,4
survivre,1
provençales,1
commis,1
cour,2
campagne,6
soldats,1
patriotique,1
règle,1
indien,1
climatisme,1
partir,4
préfectures,3
territoire,2
duflot,1
familier,1
sorte,7
croupions,1
venus,3
litham,1
raisons,1
protestation,1
souffrent,1
affaires,3
gagnants,2
préférence,3
fonction,2
candidats,2
actionnaires,1
yeux,3
branle,1
cortège,1
archéo,1
selon,4
quelque,9
table,1
normal,6
augmentations,1
nous,10
science,1
entreront,1
électronique,1
installer,1
régression,1
chevalier,1
précédent,1
fêtes,1
combat,1
pendant,5
voiler,1
complicité,1
borgne,1
pistes,1
constituer,1
porte,2
allocations,1
tsunami,1
derrière,2
prennent,1
profonde,1
organisateur,1
mener,1
millions,9
sommes,4
bruno,1
frappent,1
passée,1
1956,1
notons,1
chacun,1
salaires,1
spirituelle,1
enlève,1
secteurs,2
mieux,2
verbale,1
contrainte,1
joindre,1
simplement,1
deuxième,1
partiel,1
vide,1
déçus,1
ravi,1
impuissante,1
dépassent,1
chefs,1
otan,1
conséquences,2
culottes,1
bureaucratie,1
instauré,1
réchauffement,5
terrain,3
résoudre,1
prépare,1
mosquée,2
considérable,2
faits,1
apprend,1
parlementaire,2
morts,2
ouverture,2
concitoyens,1
forces,3
créatrices,1
banlieues,1
parmi,2
dégainez,1
tentaculaire,1
formule,1
éclatante,1
inutile,1
quatrième,1
baisse,1
buridan,1
touche,2
dûment,1
rapports,1
absolution,1
propose,4
ajoutée,1
cocteau,1
international,1
déroule,1
théorie,1
languedoc,1
recherche,1
doutaient,1
aligner,1
habitants,3
sarkosisme,1
tire,1
