first,second,third,likelihood_ratio
nicolas,sarkozy,françois,734.773291792491
concurrence,internationale,déloyale,306.6538681049175
dissolution,assemblée,nationale,247.03684136532178
place,protectionnisme,intelligent,150.95001430431518
nous,sommes,rejoints,392.94350090281614
groupes,politico,religieux,164.75957152208878
rester,union,européenne,1055.793523832276
idées,front,national,1714.604309747495
assume,assez,bien,129.07233488453406
seconde,guerre,mondiale,135.54783892209662
plus,front,national,1698.4979013581988
plus,millions,demi,99.78942267377386
beaucoup,autres,pays,113.51501596767216
promesse,mettre,œuvre,179.80152385869212
bourdin,monsieur,bourdin,245.00640800924572
jean,marie,chevallier,416.0148016705221
jean,françois,copé,105.0483049536434
mettre,œuvre,atteindre,186.86364943820325
mettre,place,protectionnisme,179.02309860692648
conseillers,municipaux,front,194.07174763374638
lutte,contre,mondialisation,212.90540166757123
millions,demi,entre,109.04185278495453
œuvre,patriotisme,économique,198.97406112111167
secrétaire,parti,socialiste,452.873206696051
projet,front,national,1714.1186376545397
parle,journalistes,parle,134.13716991789238
madame,commissaire,politique,263.2620541467218
tour,france,oubliés,173.91533907022176
sarkozy,françois,hollande,607.4360430303996
pays,union,européenne,1036.485875135871
veut,dire,veut,259.8133023948721
referendum,initiative,populaire,258.0292944930285
ouverture,totale,frontières,121.33618933879328
certain,nombre,années,582.7940601202607
certain,nombre,autres,577.1018057928574
chambre,régionale,comptes,146.38213321417058
demi,entre,avaient,109.04185278495453
cette,mondialisation,ultralibérale,180.59305015159217
contre,front,national,1701.562355412866
contre,mondialisation,sauvage,282.1288286712443
front,national,extrême,1732.5591108985686
front,national,avait,1707.0001246123325
gouvernement,union,nationale,107.19076932060764
bien,entendu,mais,215.2017710500508
municipaux,front,national,1737.2134880523008
monsieur,bourdin,monsieur,236.41421226825764
faut,bien,dire,213.29726561028542
faut,mettre,place,151.46237406798275
armes,destruction,massive,129.60718996558728
entre,citoyens,français,108.88400438658368
premier,secrétaire,parti,120.15887859938539
celles,allons,gagner,127.05945529581334
immense,majorité,homosexuels,208.56009805598674
rassemblement,bleu,marine,154.02759926751955
candidat,front,national,1723.4162623850941
