first,second,likelihood_ratio
représenté,assemblée,43.400858648979344
parmi,priorités,35.05014576639227
parmi,jeunes,27.23890704959769
parmi,lesquels,25.9400762174332
parmi,plus,13.910488899700207
parmi,millions,13.746148867310755
parmi,autres,11.671589162237524
parmi,pays,7.6722054459771725
aides,sociales,537.4841741971698
aides,européennes,30.242589384635878
performante,assurer,34.03582566117006
mouvements,politiques,117.72289644035892
années,années,119.37930239891364
années,viennent,77.52958784460122
années,précédentes,59.058330228024474
années,1980,49.20158779595003
années,1970,43.29842615053683
années,1990,21.099365509959675
années,décennies,15.60379448439522
années,gouvernements,13.341946647225331
années,venir,10.631027011315544
années,voit,10.029731050071582
années,aujourd,6.668388587089047
années,déjà,5.1740219939845735
années,alors,4.813217275318131
années,était,4.060256001943715
années,avons,3.2312069719026013
années,faut,0.9757196181593244
années,bien,0.837731235964494
années,plus,0.052861246573570164
etats,unis,1827.6878421001027
etats,nations,46.30353151586499
etats,membres,43.144594118869676
etats,généraux,22.929183122129952
falloir,faire,18.798541512538755
frein,immigrés,37.58918044244603
utilisé,contre,16.139369449892527
répondu,question,51.31072317182223
stopper,immigration,25.114566573547464
serons,submergés,58.15061369352472
serons,toujours,22.48370839675624
serons,plus,8.18362883668104
présidente,république,77.04937864269242
présidente,front,66.30861061499066
présidente,retour,24.84860660650969
bachar,assad,217.65601272117124
aider,aider,27.93765009455141
aider,sortir,23.57764946792462
seront,supprimées,30.680991990093617
seront,libres,30.12141439139619
seront,mises,25.776952496713616
seront,candidats,23.142720716387302
seront,condamnés,20.929709059205702
seront,premiers,20.13035236057661
seront,seront,17.803548024354043
seront,doute,14.886053598986043
seront,plus,8.258296452531315
garantie,sécurité,23.16562106106714
extérieur,commun,30.270075232150937
fonctionnaires,territoriaux,52.55585505722516
fonctionnaires,assimilés,38.149169390368264
fonctionnaires,salariés,21.0096693226225
fonctionnaires,police,20.475526980510203
nettement,plus,13.127151797141803
peuple,français,1614.1818491634826
peuple,souverain,134.0190935676283
peuple,peuple,85.89815777406712
peuple,france,85.87658475704872
peuple,libyen,76.07098095530543
peuple,libre,30.839660201334247
peuple,trompe,27.426592169401655
peuple,russe,26.86977479247644
peuple,serbe,25.632519303079984
peuple,décider,22.831039730996523
peuple,souveraineté,22.11497647066642
peuple,toujours,18.621102218778464
peuple,entier,17.565009016591958
peuple,soit,13.802936070965
peuple,exprime,13.636969319225633
peuple,paysans,12.608445029532298
peuple,privé,10.783001793944724
peuple,siècles,9.236947910852795
peuple,nation,8.880931456954439
peuple,amour,8.300809752166298
peuple,vive,7.390874685729059
peuple,celles,6.956963579543031
peuple,aura,6.537505737886748
peuple,porte,6.5267191614016244
peuple,histoire,5.631634754052274
peuple,veut,4.20820605883834
peuple,nous,2.4765962421838426
peuple,réalité,2.0782290288365872
peuple,celle,1.76693684891563
peuple,puisque,1.6195783818057676
peuple,liberté,1.3814356884034007
peuple,gouvernement,1.3045219670127617
peuple,alors,0.9936775326131175
peuple,dont,0.9111900491244871
peuple,pouvoir,0.8729508950388132
peuple,bien,0.7958638157906828
peuple,contre,0.6630668354531677
peuple,mais,0.22465089933191074
peuple,pays,0.17480023054081983
peuple,faire,0.02563451553042917
peuple,plus,0.004286571844533682
peuple,crois,0.0012074341464861638
coûte,cher,77.58585967155483
