word,raw_frequency
réservé,28
parmi,67
évaluée,4
réellement,39
escamoter,1
recueillies,2
défavorisées,3
joaquin,1
bodin,1
oiseau,4
impuissants,7
objection,3
frontières,330
muselière,1
empare,5
référendums,10
chercheur,1
extérieur,36
hygiène,2
commandée,2
gifle,1
chômeurs,122
sauveurs,2
renégociation,8
employeurs,4
compensant,2
exagéré,1
radars,8
déracinement,4
unifiée,1
revotait,1
phénomènes,17
crédités,2
sollicitait,1
ecole,13
micro,6
13000,1
dynamisme,10
propices,1
ficelle,1
délèguent,1
perestroïka,1
accords,27
boitiers,1
amitiés,4
torturant,2
albanie,5
malhonnêtes,5
cagouillard,1
malika,4
harcelé,1
rites,1
jupes,1
blablate,1
accorde,20
normandie,9
caniculaire,1
manichéenne,1
glencore,1
visiter,6
entrouvrir,1
dinosaure,2
breloque,2
béton,3
appoint,2
renaitre,1
pesanteurs,3
puériles,3
emparé,1
ratifié,3
popularités,1
pédagogiques,3
ampleur,18
malmenée,2
créées,4
révolutionnaires,10
respectées,3
parlée,1
polygames,4
devenons,1
prééminence,2
tenable,3
ponte,3
chispino,1
absurdités,3
importantes,37
incohérence,8
ponts,4
amélioration,14
successifs,40
généralement,58
substitueront,1
hordes,2
attache,13
annoncerai,1
appréhendé,1
prendre,278
trouvaille,1
édifice,8
simplifiant,1
ferentes,1
blablaté,1
accordé,25
urgemment,3
solennisés,1
martiaux,2
roubez,1
défendaient,2
rénovation,5
passive,1
circuits,3
pensée,90
promoteur,3
plier,18
enterrer,3
lequel,170
auvergne,1
claires,37
naissait,2
détresses,1
bouton,3
sauvageons,1
convenus,3
alibi,6
sceaux,7
congratule,1
historiques,18
élevages,9
culpabiliser,6
convenue,1
recul,26
sultan,1
estimions,1
observé,5
gratitude,8
fortuite,1
inondations,4
ouest,27
soviétiques,7
galement,4
outragé,2
alexandre,3
nettoyées,1
contraignez,1
prostate,5
reflètent,2
commissaires,8
intraitables,1
sultat,2
rétracte,1
exprès,2
encombrent,1
rapproché,4
agent,5
lisibles,2
poète,7
amont,5
séparons,1
devenaient,2
erika,2
urne,5
discutez,1
multiplierons,1
rares,12
immémorial,1
juristes,4
imposition,7
implications,1
bicentenaire,3
traiterais,1
éloquents,3
ferrari,3
personnalisée,2
ancienneté,1
wagon,3
manifestations,56
ouvertement,6
scolariser,1
souhaiterai,1
scénario,2
outrage,1
fondamentaux,47
impliquent,2
étoffé,1
symboliquement,5
dire,1935
dira,15
contredisant,1
libérateur,4
cary,1
sorciers,10
nécessaires,56
pacifique,23
stigmatisantes,1
pessimisme,2
cars,2
féodales,1
23eme,1
débuter,1
commentaire,8
carl,5
massivement,41
cara,1
cicatrices,1
rapproche,4
agira,7
engrais,2
bénédiction,5
licenciements,4
ulysse,1
polyhandicapés,1
subirions,2
diderot,1
galois,1
virgule,1
demanderaient,4
marges,17
consommation,41
séniors,2
péage,1
disqualifier,5
distorsion,4
mururoa,1
casting,7
salade,1
pinaillez,1
choisiront,3
loyalement,3
ultraviolents,1
loisir,6
éludées,1
vendre,42
viendrait,7
rattachés,1
couperet,2
ostentatoire,3
arnaud,1
éduquer,13
acuité,3
appelions,1
suffisant,24
hésitation,2
agir,55
enseignaient,1
clubs,5
efforcerons,2
disposant,8
barreau,3
menacer,7
menaces,33
embrasent,1
transmettre,21
fécondé,1
placebo,1
stratégique,20
parcourir,3
karl,3
paralysèrent,1
sorcier,4
ockrent,3
régions,75
aliénations,1
partons,4
lieu,130
radiophoniques,2
intervenons,3
cirque,4
arbitrairement,5
énerve,1
parsemée,1
sangatte,2
bergeal,1
présentent,18
alléluia,2
recentrant,1
cruciale,2
converti,4
ateliers,4
schweitzer,1
irrésistible,8
relations,54
console,1
ténèbres,5
hideuse,1
5859,1
diffusé,1
ethnique,12
demander,84
demandes,6
virgules,1
réélus,3
descendante,2
demandez,17
encourager,19
asphyxier,2
administrations,13
annulation,1
mourir,23
descendants,2
polis,1
liminaires,1
monnayeurs,2
illégitime,8
incarner,13
crue,3
cordons,1
faussé,1
apocalyptique,2
velléitaire,1
redressées,1
apolitiques,1
crut,1
neutralité,24
crus,1
botté,2
émerger,9
loucheur,1
geste,29
vanneste,2
engageront,1
habitants,64
toits,2
desquels,8
bisbilles,1
minuscules,1
cherchent,39
espérez,3
menace,77
espérer,28
institutionnelle,11
surfer,2
oriental,2
plaisirs,2
éveilleurs,4
tatouages,1
sachez,9
omnisport,1
remettrais,1
réticente,1
foires,2
transformé,18
politisation,6
acquiert,3
saisie,2
gâché,2
enfumages,1
anciennes,16
amodiation,1
dénis,1
généraliste,1
empruntés,1
révolutions,8
dirais,120
étudiera,1
dirait,17
préoccupaient,1
empruntée,1
recevons,3
charnelle,6
dénie,1
blanchir,1
navette,1
fêterons,1
brutalement,13
constituaient,2
auteur,5
établissant,3
déviants,1
fausse,29
douceur,7
donnerions,1
groupe,80
bedonnants,3
religieuses,20
insoutenables,2
botte,11
tapis,9
habitués,8
révèlera,1
rient,1
œillères,4
assourdissant,1
thème,19
enliser,2
circulation,48
apprend,24
office,5
épierré,1
trahissent,7
menacé,19
ruralité,22
servilité,6
vélo,3
efforts,42
transforme,8
floue,3
postée,1
fins,13
repos,2
anticipé,6
humanitaire,3
tombaient,3
raffarendum,1
départements,42
tendant,3
doter,5
salafistes,4
gramsky,1
vallons,1
renvoi,5
surhumaine,1
boulimie,1
indiscutable,5
lolan,1
expulse,5
ruralités,1
versait,1
jarnac,2
emplacements,1
prêchant,1
justifié,7
copinage,9
iraniennes,1
éloignés,2
votons,4
extraits,3
ultralibéralisme,31
mendier,3
pugnace,4
balle,14
raréfaction,4
rude,7
esclavages,1
guidé,2
manifester,19
bains,1
paranoïa,3
reformaté,1
hiérarques,2
autophobie,1
othily,3
boycott,2
pauvreté,42
irrépressible,3
diaires,1
muse,1
nosocomiales,1
envisagerais,1
évalue,2
brille,1
1500,5
coubertin,4
lechevallier,1
renoncera,2
pleurniche,1
commerçants,39
dense,2
bâtiments,16
bonaparte,5
sortent,13
forger,3
assigné,2
patentés,1
dépecée,2
inventive,1
algérianiste,1
observant,1
minaret,3
décisives,5
bordeaux,8
nomenclature,3
importer,13
réindustrialiser,7
canonique,2
promis,37
importez,3
inscrivant,1
justifie,13
sculpture,2
pressantes,1
retenez,4
prétendus,3
attendant,17
capitalisations,4
manne,2
construire,50
barri,2
construira,1
égorgés,1
insultez,2
guide,6
amitié,15
barre,35
insulter,8
prétendue,5
espèce,74
ferveur,7
repartir,8
prescription,1
truire,1
équivalente,2
isolent,1
proportionnalisme,1
considérables,16
aperçevois,1
évalué,5
récupérons,2
urbain,3
préjuge,1
équivalents,1
benghazi,1
empreintes,1
bordelaise,2
entrés,19
pécresse,1
volontairement,19
loire,5
auctoritas,1
agriculture,98
goulots,3
autosatisfaction,1
entrée,49
permettre,147
capitalistique,1
permettra,32
semant,1
décodent,1
taxes,41
taxer,15
indemnisation,3
africains,13
ivan,1
explique,52
prospérant,1
véto,3
prospères,3
apportés,2
fréquemment,1
constamment,12
réaliseraient,1
minimale,3
apportée,4
bataille,67
supérieurs,12
orbite,3
fabriqueront,1
administrateur,1
défavorable,3
collier,2
dégénéré,1
meurt,16
1405,1
gênes,1
gêner,7
centaine,4
audible,2
production,78
estimeront,1
meure,3
intensif,2
effort,101
changions,1
inscrites,1
correspond,29
tibéri,4
ramassent,1
achetant,1
ruisseaux,1
suez,3
henri,25
lamentables,1
malmené,1
sues,1
réfutons,1
collaboration,4
west,1
altier,1
nulle,19
massifier,1
terrorisme,68
transféré,6
expliqué,24
hersang,1
gazza,1
censurent,1
tombeau,2
cristallerie,1
couleur,16
copieusement,1
allégés,1
oxygénation,2
champ,17
procèdent,1
conclu,6
slovènes,1
habit,3
têtus,2
avocats,13
supérieure,25
dégageant,1
partions,1
formons,1
sélecteur,1
fantassin,1
dentifrice,1
payant,6
fâchent,4
puce,1
étouffantes,1
boucle,3
consortium,1
périneau,1
limitent,2
implacable,4
crises,5
pouls,2
ouais,5
nauséabondes,1
honnête,13
renchérit,1
gerard,1
instable,2
faune,3
caisse,21
oligarque,1
islamisation,5
meneurs,1
qualificative,2
exécuteur,2
maintenez,1
franchi,5
susurrées,1
smic,34
quitter,11
conquérants,2
retrouvé,16
toux,1
projectiles,1
partiaux,2
cachant,2
représenté,17
clôt,1
exorbitantes,1
alourdissement,3
suspendre,8
frotn,1
pâte,3
prince,4
désarmé,3
face,302
déremboursé,1
contenir,2
surmontée,1
christian,12
galinier,1
frère,5
écrouler,2
fout,2
temporelles,1
fondamentalismes,1
battants,1
montant,17
four,1
fous,5
impartiale,3
mépriser,2
parachuté,1
avenu,1
exclusifs,3
contentés,1
argent,229
malek,2
miteux,1
reloger,1
prébendes,13
volée,1
présiderai,1
désobligeant,1
exaspérés,3
distribuées,4
consacrée,1
urss,20
gaullistes,8
ruptures,4
bloquées,2
disparaitraient,1
retrouve,32
protection,141
consacrés,3
retrouva,1
encouragent,4
exaspérée,1
excel,1
défroque,2
pharmacies,2
régularisant,2
échapperont,1
payée,7
rançon,3
composée,2
bandés,2
rappellera,3
travaillent,49
pâté,1
payés,28
puissiez,2
20h00,1
vestiaire,1
brûlent,2
pleinement,15
démantèlement,10
détournant,1
méthodique,3
désarme,1
créative,2
contrainte,15
pilotée,1
brasse,1
contraints,10
russe,6
représentativité,7
enfumeurs,2
opposées,3
infernales,1
volume,2
valoriserons,1
insufflée,1
messie,1
considéreraient,1
sources,16
brain,1
haider,4
rousseau,3
interprétariat,1
propre,127
gravissimes,2
supportait,1
affirmation,13
oubliant,7
étrangère,86
hobbies,1
réprimées,1
ouvrage,4
accouchements,1
satisferons,1
1973,34
écoutait,1
détenus,12
dotées,1
aventure,15
jouait,4
dorment,2
soldat,8
piston,1
évoquerai,2
surproduction,3
détenue,2
financera,3
suscitait,1
emblématiquement,2
pieds,58
plastifiée,1
accomplit,1
finançait,1
accomplis,2
accomplir,25
bedford,2
prospérité,99
accomplie,1
malnutrition,1
activement,7
contacts,10
chiraquien,11
culotte,1
chanteront,1
développées,4
chatel,1
ouchick,1
bordure,1
matamoresques,1
vitrine,2
regardants,1
illettrisme,4
hémicycles,1
absurdité,6
accuse,20
chroniques,2
nazie,1
appliquées,17
dérobade,2
travailleur,14
bruay,1
étiquetages,1
revalorisant,2
étoffe,1
refroidi,1
sistance,1
nazis,2
accroît,10
doutaient,1
acceptiez,3
université,31
contrebalancer,1
envoler,1
purgent,1
derniers,56
caricators,1
traque,3
évident,141
faillir,2
orphelin,3
ambitieux,10
développions,1
camaraderie,1
attaquaient,1
suicident,1
lassante,1
grief,7
baleinier,1
paires,1
verticalement,1
2300,2
concédé,7
tirèrent,1
expulsions,8
réviser,4
instaurerons,5
monologues,2
contracter,1
sécularisé,1
rabougri,1
exploiteurs,1
désunion,6
prochaine,34
nihilisme,1
booste,1
culotté,1
accusé,17
crûment,3
indemnise,1
arcboutons,1
répréhensibles,2
mondial,59
urticaire,1
cresson,3
prochains,12
dépensent,2
bradant,1
flétris,1
raboté,1
décolonisation,1
musiciens,1
déranger,2
subventionnés,3
impliquait,2
assourdissante,1
dimittis,1
digéré,1
négatives,1
rapide,25
doigt,18
accumulés,5
répondaient,2
mesurés,1
justifiaient,1
dissuadée,1
étudiants,23
sombrent,2
idéaux,5
écrasement,10
impérial,1
dissuadés,2
murmurer,1
sondent,1
augier,1
vivants,9
provençales,1
fabriquée,3
poulets,2
semblée,1
manipulation,18
fabriqués,7
vivante,8
éliminait,1
château,4
retrancher,1
changement,92
verra,42
verre,3
hérité,6
opérateurs,1
soupçon,7
recapitalisée,1
numériquement,1
bâcler,1
farines,4
interprète,1
encouragés,6
annoncés,3
démoralisants,1
déférés,1
soleil,16
giresse,1
millionième,1
accompagner,6
lâchons,1
thorique,2
encouragée,4
annoncée,12
habile,6
dépouillement,1
existions,1
assemblées,21
dégradée,2
irradiées,1
logomachique,1
33000,1
conte,6
obtenue,6
mahorais,1
revente,1
dégradés,1
dramatique,47
comprenais,1
obtenus,6
chapeaux,3
refusée,1
désactive,1
relancer,45
rebours,5
mercantiles,7
fédération,13
fervent,2
sauvée,2
delmas,3
internationalistes,4
valda,2
poignée,6
approchait,2
insoutenable,1
médiatisé,3
retrouvons,4
chantage,11
mènerais,2
macadam,1
écriront,2
hérite,7
courons,2
comprennent,18
appréciation,2
dissidence,3
habitant,18
peinent,1
sentatives,1
consigne,16
revenu,70
affirmer,14
dénonçons,3
joue,52
paysannerie,2
joug,7
paras,1
affirmez,1
remboursables,7
messagers,2
marchands,4
parlaient,2
johnson,1
cadavres,1
objectivement,29
neuneu,1
artillerie,1
imposerai,1
révélant,1
méditerranéens,1
romancées,1
brise,3
menant,1
vécu,30
accident,8
préretraite,1
coulé,3
taux,78
légèreté,5
échoué,19
confèrent,1
voteraient,3
obligations,10
titré,3
illimitée,1
avance,47
stoléru,1
coudoient,1
attends,41
attendu,13
reconquière,1
tracerons,1
monopolisant,1
règlementaires,2
chargée,5
attaquez,1
saisirais,2
fraternités,2
établies,2
idéologues,10
relie,2
condoléances,3
thérapeutique,5
impuni,1
joué,29
percée,2
représentante,3
perdants,1
remit,1
quantités,1
perdante,1
pristina,1
représentants,47
impostures,2
appartient,42
qualifiés,7
souscrivait,1
susciterais,1
appartiens,1
fuirai,1
prononçaient,1
fruitière,1
qualifiée,8
tement,2
chars,11
substitution,8
carcan,21
rien,656
cigogne,1
glaçant,1
aboutira,3
rackets,1
sdis,2
échoua,1
fassions,3
observations,1
furieuse,1
surévaluation,3
coule,3
riposter,5
creusé,2
scandalisée,1
avancé,5
intact,5
boursiers,1
titre,88
germanophile,1
ovation,3
plantez,2
maroni,1
aplomb,4
émigration,5
cavalier,4
comités,2
antional,1
santiago,1
reviendrait,2
tortueuses,2
envahiront,1
captifs,1
remplaceront,1
appliqu,1
ressentons,1
rose,11
musicien,2
reid,2
rosa,4
briois,7
hantée,2
charnière,1
tournante,1
rentré,2
infligée,1
ramenés,2
défait,9
passeront,3
ecologie,1
reposant,2
passerons,4
ramenée,3
hardie,1
systémique,2
trivialité,1
procédure,19
tenants,10
affectivité,1
éclatante,8
inversées,2
oppositions,9
charria,6
comédien,2
hospitalière,2
courte,11
fournier,2
syrien,2
difficile,106
monoxyde,1
cassé,21
insupporte,1
clivages,3
jugé,13
savigny,1
encadrements,1
hiatus,1
impatience,1
trayant,1
hiver,10
énonce,1
confortées,1
théorique,2
salops,3
attaquant,3
basée,6
précipiter,5
demandera,6
manger,8
préférât,1
nanoseconde,1
intentions,16
étude,20
ressemblance,2
définitive,9
jalousie,2
infimes,1
protestante,1
vieux,72
basés,1
réputons,1
cosmopolitisme,1
cagnotte,1
douée,1
chenilles,1
raids,1
ridiculisée,1
mobilisations,1
rentre,20
dépossédé,1
essentiels,27
séguin,4
raide,2
ridiculisés,1
future,7
résultats,96
vacillante,2
chômait,1
partielle,7
régional,52
600ème,5
création,69
investigation,3
autorisant,3
détail,17
futurs,13
tuerie,3
observe,12
atteignaient,2
shenzhen,1
acte,69
désespérait,2
saisissons,1
creusant,1
ambiance,4
proportionnalistes,1
juge,56
marrage,1
dallas,1
défaisance,1
contemplations,1
permettent,38
constatées,1
nerf,1
barroso,7
inviterai,1
conjecture,1
rendue,11
waffen,2
démontrerait,3
projections,1
massent,1
émigré,1
hétéroclite,3
galet,1
femme,79
légitimes,18
légitimer,2
transes,1
oppose,26
exécutées,10
hégémonique,1
habiter,2
habites,1
fâché,2
opacité,5
reprend,11
craignant,1
luzerne,1
aberrant,2
poudre,6
assouplissement,1
parsèment,1
isère,2
provocation,11
disqualifié,4
préméditée,1
succ,2
ubiquité,3
immanent,1
rides,1
commodités,1
éducateurs,1
ratelier,1
réserverai,2
blasée,1
mammouth,3
différencier,1
morte,6
journalistique,1
surnom,3
inimité,1
blasés,2
cigarettes,1
contracte,1
trotskystes,3
