first,second,third,likelihood_ratio
salaires,travailleurs,français,324.8772892659367
salaires,manuels,salaires,296.20540097514163
salaires,travailleurs,manuels,287.20078187403
dizaines,millions,morts,204.8381867598564
suppression,impôt,revenu,741.5115188354865
suppression,aide,médicale,667.076056512595
suppression,double,peine,347.90062931317607
suppression,service,militaire,264.19745120090033
aides,européennes,exportations,124.05489587820495
belles,dents,pays,121.47660356109198
autorité,indépendance,france,108.36381224069436
retraités,chômeurs,exclus,130.1951512662964
etats,unis,amérique,2922.1697417695445
etats,unis,exemple,2761.557912570452
etats,unis,ailleurs,2758.300996955914
etats,unis,beaucoup,2755.3703966495596
etats,unis,pays,2749.7207573065384
france,front,national,19019.926043726704
france,nicolas,sarkozy,6895.161647054316
france,union,européenne,4307.712028292366
france,mesdames,messieurs,3239.4672110614038
france,etats,unis,2751.4829050380463
france,peuple,français,2425.5647391782168
france,vous,savez,1962.038357513762
france,nous,sommes,1811.6333631932584
france,chers,compatriotes,1225.9124769904304
france,vous,voyez,827.3131467261207
france,ores,déjà,544.2098929720521
france,plus,plus,534.0302710023174
france,année,dernière,312.41362669615717
france,prêter,trésor,275.7495513821008
france,pense,faut,233.34863252977547
france,toute,entière,218.18413495465407
france,nations,européennes,217.90937309305008
france,plus,grand,209.24216524153394
france,banni,pape,198.23001391058384
france,mais,madame,194.75937997044952
france,rurale,france,194.26995499245055
france,français,abord,139.4513842622231
france,aller,emprunter,132.2291784693984
france,mère,arts,129.7035855628027
france,mais,bien,129.4398096653064
france,5ème,puissance,108.77725314347313
france,passée,4ème,106.65456752966526
france,identité,sécurité,93.68173647181194
france,elle,croit,79.87602899733598
france,sera,plus,67.18796712627886
france,pays,plus,43.24576137119135
frein,immigrés,plus,103.72912383624293
continent,boréal,brest,191.50412011098362
présidente,front,national,19117.936572027807
coûts,prix,peuvent,108.1816846892016
augmentation,pouvoir,achat,2209.0615621080788
folle,politique,immigration,323.51345652539874
pire,jospin,crois,126.47592381722936
etat,collectivités,territoriales,634.6003246177598
etat,collectivités,locales,517.8948965110171
etat,fort,etat,373.29473462015727
etat,etat,fort,328.3190174214161
disparition,services,publics,1828.2766958327272
disparition,pure,simple,220.23977791253884
lundi,après,midi,293.18653712829285
peuple,peuple,français,2571.6318906885745
peuple,français,peuple,2521.7303799814863
peuple,français,liberté,2459.5523581445295
peuple,français,puisse,2445.8658495404043
peuple,français,savoir,2445.1120360020454
peuple,français,crois,2433.855870185498
peuple,français,mais,2433.206206728024
peuple,français,suis,2426.6002712339296
peuple,français,faire,2424.629320537375
peuple,français,plus,2424.537502981242
peuple,peuple,peuple,338.8330438041612
peuple,amour,patrie,307.20368464901287
coûte,milliards,euros,2503.8535766350237
coûte,plus,plus,565.7596669006168
voyez,mesdames,messieurs,3255.142055718366
voyez,veux,dire,863.3519907294384
voyez,bien,mesdames,167.8318310714547
conseillers,municipaux,front,363.5479405662943
proposé,république,référendaire,214.37816096123294
prière,jésus,marie,205.38190068188612
féodaux,déchirent,belles,238.33326766061344
renégociation,traités,européens,520.5824108228845
rendre,peuple,français,2468.3756021514973
rendre,français,liberté,70.5474339111736
rmistes,millions,titulaires,160.99733526056554
bleu,marine,candidat,430.8909548163907
bleu,blanc,rouge,330.97194817829904
excusez,aller,secours,114.97234666580323
subviennent,leurs,propres,294.1156269919747
vigoureuse,contre,ennemi,141.95955687871532
justes,contrôles,laisse,139.33533649839262
vendue,anglais,bourguignons,290.520601654224
enfin,chers,amis,2379.5716770945746
enfin,veux,dire,950.6748708896519
honneur,front,national,19030.089268023927
choses,soient,claires,429.39006891655816
choses,peuvent,changer,98.10342561351983
viande,abattue,france,132.55190815607912
excès,prélèvements,obligatoires,523.5994855794332
excès,injustices,considéré,148.28431205947066
verra,bien,verra,290.69226877852054
verra,bien,moment,271.1095719339109
moyen,prospérité,solidarité,152.91846827791719
moyen,liberté,individuelle,152.80402711632834
moyen,oppression,pauvres,122.45379902366972
bureau,politique,bureau,723.4887856355098
bureau,politique,unanimité,718.8648047181343
bureau,politique,front,674.0289399320941
aphatie,monsieur,aphatie,1026.1505457455291
temporaire,travail,immigration,99.29796630346578
gouvernement,nicolas,sarkozy,6937.575355003833
gouvernement,socialo,communiste,363.4650883346518
gouvernement,union,nationale,159.97570107496932
gouvernement,peuple,peuple,158.9574446115895
hommes,politiques,gauche,817.2802745774276
hommes,politiques,français,741.9909238405734
hommes,femmes,gauche,733.2297411199916
hommes,femmes,pays,723.3974470811722
hommes,état,doivent,123.70357951338002
fête,travail,travailleurs,330.0077405917231
écrasé,chevalerie,française,255.09230245163133
mettre,place,protectionnisme,1119.5177508132251
mettre,droits,douane,1069.952102839027
mettre,place,patriotisme,1001.7411362236974
mettre,place,priorité,1001.2397743524839
mettre,place,politique,990.362381802568
mettre,place,pays,974.4064268083946
mettre,œuvre,atteindre,512.7211782107734
mettre,oeuvre,grand,397.4051595710374
mettre,protections,frontières,227.3826934542259
mettre,france,abri,85.6296650438837
racisme,anti,français,300.7645471005439
candidat,front,national,19036.965349389626
candidat,peuple,français,2452.5808823548123
candidat,élection,présidentielle,2220.2673266840143
candidat,présidence,république,840.6328017226485
candidat,élections,présidentielles,695.9657957645339
candidat,rassemblement,bleu,301.0600305484704
candidat,démocrate,républicain,128.2835666030054
faits,divers,journaux,222.23562783398336
nicolas,sarkozy,françois,6975.313638217456
nicolas,sarkozy,avait,6926.161083511623
nicolas,sarkozy,ministre,6922.066247247725
nicolas,sarkozy,nicolas,6917.0515207185235
nicolas,sarkozy,était,6916.1540630854215
nicolas,sarkozy,vision,6910.952334159652
nicolas,sarkozy,veut,6910.699134340435
nicolas,sarkozy,besoin,6907.288757677838
nicolas,sarkozy,jamais,6906.417105331626
nicolas,sarkozy,soit,6904.809321046445
nicolas,sarkozy,ailleurs,6901.6179642475945
nicolas,sarkozy,pouvoir,6900.705692443898
nicolas,sarkozy,faire,6899.806112788221
nicolas,sarkozy,monsieur,6899.682302034605
nicolas,sarkozy,bien,6895.133629052631
nicolas,sarkozy,faut,6895.03315204986
normandie,écrasé,chevalerie,232.81516446285775
accueillir,millions,immigrés,228.96482367634482
accueillir,toute,misère,164.50484354538315
moyenne,zone,euro,804.8051414036634
moyenne,pays,européens,383.5818832006752
entreprises,pétrolières,gazières,285.7727846982251
