measure,first,second
10.69963178754317,sauf,réprimer
6.974538887640053,destin,histoire
3.983685980887204,destin,france
9.997099690440834,salariés,privé
3.8824520198642674,salariés,français
4.5557793281301535,capable,faire
10.00969972722047,présenté,candidature
4.467224436820571,revanche,suis
14.842589741385211,maurice,allais
3.216310324834609,domaines,bien
8.089790982949696,quoiqu,soit
12.672664739942899,parties,civiles
6.001156434577647,défendre,intérêts
5.27350551668798,défendre,liberté
5.241515402443545,défendre,frontières
3.1765599606027735,défendre,pays
2.758123884862062,défendre,français
2.1927815796101946,défendre,france
11.383158122747915,taxes,nouvelles
8.101122754984065,disposant,toute
12.57580320069031,regroupement,familial
9.732859521861647,commissaire,européen
12.857696633775422,oublié,gouvernait
8.8971459050073,protester,contre
9.508689004831774,exprimer,librement
6.417793592246742,manière,dont
4.665403819304654,faudra,faire
4.4602359077206994,faudra,bien
7.529706786100858,ravagent,pays
8.121490552678027,cohésion,nationale
4.356383208196679,patriotisme,français
11.820221928356757,perspectives,financières
9.358773964120955,enfants,adolescents
7.2998802750673875,enfants,écoles
6.420174508785099,enfants,femme
6.110846450677371,enfants,petits
5.692017372236151,enfants,école
1.6274549330958905,enfants,français
14.368658553052798,saddam,hussein
13.52066164649785,êtres,humains
12.450272318606451,ferrée,pieds
7.787307305884024,sens,terme
6.372269806605178,sens,effort
5.905951802382642,sens,devoir
5.144463889082367,sens,histoire
6.385208862312677,passés,millions
15.52066164649785,javier,solana
11.455434023722228,soyons,sérieux
6.909226934415502,différence,entre
6.378043991051271,sympathisants,front
7.461046790200628,condition,équilibre
4.373583948950289,condition,soit
5.0240075639043535,otan,dire
7.345735963997171,français,souche
7.1112707103601505,français,néerlandais
6.789342615472785,français,sachent
5.941345708917835,français,connaissent
5.475682136569022,français,rendent
5.467414520585425,français,vivent
5.111270710360149,français,papiers
4.863343196916562,français,subissent
4.693418195474248,français,savent
4.6518390917228505,français,essaye
4.526308209638991,français,croient
4.467414520585425,français,rassemblement
4.329910996835487,français,doivent
4.204380114751629,français,origine
4.066876591001694,français,musulmans
4.0153462903616095,français,notamment
3.9115983655237834,français,pensent
3.9018173447311977,français,priorité
3.8258684914978964,français,auront
3.2562190462712444,français,abord
3.248323462339222,français,veulent
3.1169172735012864,français,simplement
3.0668765910016944,français,amour
3.034455113309317,français,soient
2.98714939853096,français,chers
2.8595516177541853,français,seront
2.8370090491030986,français,européens
2.6436651602771484,français,avaient
2.453059227608353,français,intérêts
2.3563832081966787,français,françaises
2.3039157883025467,français,peuvent
2.0668765910016944,français,citoyens
1.6600595985278197,français,surtout
1.3614012829633033,français,premier
1.34971947791567,français,serait
1.3315513552167424,français,celui
1.2910917479449608,français,pendant
1.268920366946336,français,toutes
1.1864582067543665,français,problème
1.1599859953931748,français,pense
1.0833647137902638,français,dont
0.9564526013080439,français,quelque
0.9513993735817579,français,puisque
0.9497188899428401,français,crois
0.8633431969165599,français,déjà
0.8017943565190393,français,peuple
0.5995180565927676,français,faut
0.580864373261079,français,contre
0.40046427666079865,français,leurs
0.3929090842217917,français,ailleurs
0.33833761765479053,français,plus
0.16582687398223683,français,soit
0.13829092429385526,français,était
-0.35531562735909716,français,france
-0.3765693234629026,français,suis
-0.3857256892454899,français,bien
-0.46804522721986785,français,français
-0.48491904578426315,français,dire
9.888393430998338,septembre,1990
8.465379210996659,demi,siècle
7.749832600465359,demi,clandestins
7.427904505577999,demi,voix
5.7723569644180515,réalité,face
2.7335617142473367,réalité,politique
9.070000237488285,patrimoine,immense
5.294153116689166,patrimoine,national
9.827174688998523,nord,calais
5.0902090948323195,nord,celle
7.419999307492651,santé,publique
5.505246594111162,santé,président
9.609928984594935,commerce,extérieur
8.995219140479726,commerce,mondial
8.733412038029936,commerce,international
7.277805122601688,retour,croissance
7.944744285379702,pays,basque
7.944744285379702,pays,cèdre
7.944744285379702,pays,industrialisés
7.529706786100858,pays,émigration
7.459317458209457,pays,baltes
7.137389363322095,pays,développés
6.359781784658544,pays,détient
6.207778691213495,pays,connaît
6.207778691213495,pays,indépendant
6.179209539016721,pays,arabes
6.096747378824748,pays,accueil
6.07027516746356,pays,contrainte
5.457078986013457,pays,européens
5.137389363322095,pays,moderne
