word,raw_frequency
litanie,1
incarnaient,1
composante,1
sénégal,5
composants,2
garantir,11
absolu,6
instrumentalisée,2
iniquité,1
incarcération,1
retraites,51
testament,2
exclusive,5
chalutier,2
carreau,2
accorderons,2
diplôme,2
partiel,5
départementale,2
galaxies,1
supplétives,1
dérouler,2
poésie,5
fantassin,1
subissant,1
louis,26
troqué,2
exagérée,1
ravalée,1
protestataires,1
gazza,1
suppression,50
télégraphiste,1
réminiscence,1
créations,2
karmiz,1
mobilisation,11
falsification,1
italiens,4
croisade,1
grenades,1
cotta,1
cotte,1
répondit,1
incidents,8
machiste,1
récompensés,1
fréjus,2
prénatale,3
incidente,1
diversement,1
laitière,1
division,7
succédé,3
chacun,102
susceptibilité,1
déroulant,1
suffit,40
incongru,1
thèse,9
naïf,5
demandée,1
fabien,1
téléphone,7
demandés,1
partiellement,2
pschitt,1
brouette,1
sortiez,1
montent,3
urne,1
borel,1
guerre,258
parkings,1
palinodies,2
pardon,28
nafissa,1
malfaisance,1
assurer,56
consciente,4
surfeur,2
goût,16
temporel,5
cours,64
formalité,1
soufflait,1
sujétion,2
8000,1
conscients,8
court,35
triompher,7
triomphes,1
méritoire,1
associant,1
madena,1
concurrente,1
subventionnés,2
assurions,1
devraient,30
avançons,1
durement,9
pareils,1
concurrents,39
réussie,2
conférence,18
cosmopolite,4
scott,1
étals,1
attitude,25
intervention,28
conteste,16
structuré,1
profitait,1
réussit,4
pressentie,1
réussis,2
réussir,10
travaille,16
prévisions,9
ordinateurs,2
binationaux,1
fischer,1
habitué,4
pillés,1
respective,1
élections,275
cohérence,8
right,5
délivré,1
fréminet,1
démoralisation,2
seigneur,4
collective,9
eurocrates,3
intransigeant,3
raréfient,1
favorable,32
minimale,1
boudait,1
bénédiction,4
tricolores,4
précarisation,3
protecteurs,3
bourguignons,4
proprio,2
observe,12
naïfs,3
télévision,35
reviendrons,4
ferai,25
scélérate,1
géographie,12
fondée,7
soigner,18
finalistes,3
économiquement,7
civiles,16
remette,1
para,2
piégée,1
alimentera,1
constituaient,2
pénaliser,2
piégés,3
travaillé,8
horloges,1
éloquences,1
stupides,3
amputation,1
serviteurs,5
finiront,1
révisée,1
paravent,1
soignant,1
délivre,1
impotent,2
stagne,1
connaîtront,3
illustrera,1
publier,2
communistes,44
achat,43
solides,3
sachent,10
rendements,1
africaines,1
sonnera,1
figée,1
enraciner,1
consistent,2
oral,2
abandonné,16
oran,3
figés,1
réveillez,3
test,12
briguer,1
inexplicable,2
proférées,1
pirouette,2
répressif,1
sourcilleux,2
manifestaient,2
mystificatrice,1
traduction,3
vidée,1
durcir,1
archétypiquement,1
méditerranéenne,2
conjecture,1
voila,1
déshonorant,1
voile,7
affaiblissant,3
eventuellement,1
baeckroot,1
26000,1
irakien,5
épithète,1
cantons,2
transcendant,3
accapare,1
manifester,15
tantôt,9
vendant,1
subjectivement,1
bonnes,25
chevaliers,2
bonnet,9
discussions,4
coins,8
sanctionnées,1
épouvantail,2
slogans,2
légende,3
sortiraient,1
spectateur,4
partant,3
intransigeance,5
abandonne,5
façades,2
immobilière,1
abois,1
vigilance,1
brûle,1
sauront,11
cessait,3
ennuis,1
pénitencier,1
sapeurs,2
dimension,19
skis,1
voilà,245
douze,14
souverains,5
réclameront,1
destruction,31
souveraine,14
malthus,1
opposait,1
mondiste,8
irrationnel,1
maritimes,5
revenue,4
terroir,3
encore,544
revenus,16
semelle,3
plastronner,1
rivalités,7
idées,91
complétés,1
difficulté,14
admets,2
urgence,21
succédées,2
inspirent,2
golfe,17
accoure,1
accepté,29
artagnan,1
décrivant,1
visuel,1
manuelle,2
embûches,1
mésaventure,1
tenaient,3
victoires,10
rattache,2
fanatiques,3
sensiblement,2
anticoloniale,1
répondre,51
répondra,3
pièges,7
acharnent,2
corrigeaient,1
diffamatoire,1
rassurant,1
arbalète,2
refuge,1
recruté,1
rétractation,1
commandée,2
marseillaises,1
rééquilibrage,3
amer,2
commande,11
accepte,24
poudres,1
bafouent,1
condé,1
vitrine,2
proportionnelles,1
communie,1
critiquée,3
interprètes,1
défavorisés,2
section,1
cohabitent,1
exposerai,1
hospitalier,2
demandiez,1
soixantuitardisme,1
analystes,2
glorifient,1
inventeur,1
dégagement,1
opposition,82
plomb,3
criminogène,2
étaler,1
prébendiers,1
intermédiaire,2
annoncé,23
reparle,1
désagréger,1
instituerai,1
réussite,9
marne,6
filtre,1
milliers,76
germe,1
prêté,4
professionnellement,3
passent,10
énarque,3
oublier,48
impopulaire,1
longévité,1
adjoindre,1
magie,1
bercés,1
remplisse,1
soigné,2
admonestation,1
factions,1
caméléon,1
vladisvostok,1
prudence,8
présider,5
réactions,5
fondées,3
annuels,2
loges,2
loger,7
permettraient,3
arrêtée,4
bougé,1
défendu,9
verre,2
martine,3
modèle,47
défends,17
annonce,35
lâches,3
lâcher,1
bolkestein,4
fulmine,1
retourner,5
procédures,7
devions,1
prêts,22
retournez,2
jargeau,4
perpétuation,2
.....,1
proposerais,2
ériger,1
woerth,2
révélée,3
prête,15
imprégnés,1
interrogent,1
demandant,5
senteurs,1
diplômé,2
paiement,6
salops,3
mimétisme,1
funestes,3
débauche,1
sauvegardée,1
sortirons,1
