écarter candidatures fantaisistes
grosses capitalisations boursières
bernard henri lévy
compagnies pétrolières gazières
nathalie kosciusko morizet
couple franco allemand
fausses cartes vitales
signe religieux ostentatoire
chambre régionale comptes
hommage mohammed merah
objet enquête minutieuse
cartes vitales circulation
dépôt banques spéculatives
mesures immédiates concrètes
effectifs police gendarmerie
salariale cotisations sociales
grandes compagnies pétrolières
bleu blanc rouge
premier rang desquelles
équivalent ville rennes
qatar arabie saoudite
subventions associations communautaristes
transmission savoirs fondamentaux
dominique strauss kahn
plans renflouement répétition
baisse allocations familiales
acquisition automatique nationalité
droits douane ciblés
referendum initiative populaire
retour monnaies nationales
entreprises pétrolières gazières
groupes politico religieux
classes moyennes descendent
grèce irlande portugal
métropole outre étranger
compatriotes métropole outre
millions fausses cartes
combien mohamed merah
conseil régional nord
budgets conseils généraux
reconnait aucune communauté
reconnaît aucune communauté
conseil général corrèze
contre trafic drogues
traité lisbonne interdit
protections intelligentes frontières
protectionnisme intelligent raisonné
millions cartes vitales
notes frais doivent
suppression aide médicale
armes destruction massive
rassemblement bleu marine
régionaux conseils généraux
renégociation traités européens
élections cantonales mars
prix essence pompe
banques dépôt banques
professionnel chacun commencer
quotas importation droits
mauvaise dépense publique
référendum initiative populaire
utilisée grand patronat
seconde guerre mondiale
conseils régionaux conseils
proposé république référendaire
maires petites communes
delà certain montant
syndicat défense intérêts
aura préparé sortie
devant commission discipline
jean marie chevallier
viande abattue france
subviennent leurs propres
contribution sociale importation
vague bleu marine
chèque premier logement
devant caméras télévision
constitution république reconnaît
conseillers municipaux front
classes moyennes populaires
concurrence libre faussée
compatriotes zones rurales
concurrence internationale déloyale
emprunter marchés financiers
fonction publique territoriale
étranger chers internautes
vents mondialisation sauvage
projet radicalement différent
plus grosses capitalisations
peser baisse salaires
passé professionnel chacun
français culte musulman
accéder second tour
immense majorité homosexuels
importation droits douane
ouverture totale frontières
exception culturelle française
préparé sortie euro
classes populaires moyennes
république reconnait aucune
république reconnaît aucune
liberté égalité fraternité
défense intérêts électoraux
systèmes protection sociale
peser baisser salaires
chers compatriotes métropole
etat collectivités territoriales
immigration légale clandestine
réarmement face mondialisation
aller emprunter marchés
leurs propres besoins
monopole marchés financiers
aide médicale etat
réarmer face mondialisation
vive république vive
décider entre maintient
premier secrétaire parti
haute fonction publique
secrétaire parti socialiste
libre échange total
dissolution assemblée nationale
sommes capables fabriquer
parité franc euro
2010 conseil général
faire objet publication
soir second tour
structure plus performante
système bout souffle
1700 milliards euros
chine etats unis
bonne dépense publique
priorité accès logement
aurait permis éviter
système monétaire international
banque centrale européenne
banque france prêtait
jean françois copé
choses soient claires
ambassadeur france tunisie
candidat rassemblement bleu
grandes entreprises pétrolières
attendent logement social
contre plans renflouement
marchés financiers taux
contre mariage homosexuel
responsable politique administratif
bleu marine candidat
tour élections cantonales
faisons choix oubliés
services publics proximité
commencer celui ministres
outre étranger chers
place protectionnisme intelligent
entre maintient territoire
novembre 2011 contre
pression baisse salaires
france 5ème puissance
constitution européenne 2005
cinq millions chômeurs
bonne gestion argent
accès logement social
était trompé porte
france prêter trésor
sarkozy dominique strauss
accès logement emploi
national rassemblement bleu
grands groupes payent
gestion argent public
unes après autres
après affaire merah
bénéfice grands groupes
patriotisme économique patriotisme
taux intérêt extrêmement
toute série domaines
second tour élections
charge toute misère
protectionnisme intelligent frontières
priorité accès emploi
disparition services publics
dont sait pertinemment
obtenir nationalité française
étais contre intervention
référendum constitution européenne
protectionnisme frontières nationales
président conseil général
jusqu dernier moment
toute série mesures
petites moyennes entreprises
souverain légitime peuple
modèle économique ultralibéral
union européenne construite
système protection sociale
banques marchés financiers
soient leurs origines
toutes aides sociales
faire objet enquête
lutter contre corruption
simple bonne raison
conseil français culte
second tour élection
lutte contre corruption
fort etat stratège
coûte milliards euros
toute série propositions
communauté communauté nationale
banque france prêter
françois hollande allait
chacun commencer celui
pose question savoir
lutter contre délocalisations
candidate élection présidentielle
sécurité première libertés
mettre droits douane
égalité entre citoyens
coût sortie euro
françois hollande cherche
politique dissuasive immigration
charge communauté nationale
autres mouvements politiques
candidature élection présidentielle
racisme anti français
place politique dissuasive
marine candidat socialiste
élever leurs enfants
plus demandeurs emplois
contre mondialisation sauvage
euros fraude sociale
pourrons plus décider
économique patriotisme social
compte tenu situation
marche vers pouvoir
poser question savoir
semaines quelques mois
immense majorité entre
quelques semaines quelques
millions chômeurs millions
français prennent conscience
tour élection présidentielle
entre homme femme
intérêt marchés financiers
effondrement pouvoir achat
relancer pouvoir achat
millions demi entre
retour monnaie nationale
mettre protections frontières
toute misère monde
œuvre patriotisme économique
enfants petits enfants
choses peuvent changer
municipaux front national
pendant trois mois
pays respectent aucune
demander avis peuple
redressement économique social
pendant campagne présidentielle
aucune aide sociale
lutte contre insécurité
toute série choses
politique agricole française
union européenne devenue
avons millions chômeurs
budget union européenne
présidente front national
assume assez bien
perte pouvoir achat
milliards euros dette
semaines plus tard
changer modèle économique
avons payé milliards
jean marie avait
mettre place protectionnisme
certain nombre propositions
fonction publique etat
choix économiques choix
français attendent logement
lorsqu était ministre
suis femme libre
certain nombre journalistes
front national apporte
lutte contre mondialisation
certain nombre aides
augmenter pouvoir achat
france aller emprunter
doivent faire objet
quelques jours après
projet redressement économique
empêcher front national
franc euro veut
grande partie entre
ouvrir yeux français
adhérents front national
croissance plus faible
certain nombre années
mettre france abri
vive front national
avez monde meilleur
contre jean marie
toute série gens
transparence plus totale
jours plus tard
sarkozy françois hollande
principes république française
avez compris chers
plus grande fermeté
après élection présidentielle
république vive france
mettre place priorité
front national rassemblement
chers compatriotes chers
moment donné faut
mettre place patriotisme
toutes forces toute
choix oubliés contre
etat fort etat
train mettre œuvre
certain nombre responsables
échec nicolas sarkozy
place patriotisme économique
françois hollande président
certain nombre jeunes
laisser faire laisser
autres grands candidats
vais mettre droits
front national vive
front national monter
partie pouvoir achat
suis candidate élection
leurs conditions travail
autres partis politiques
savez quelque chose
certain nombre candidats
crise économique sociale
immense majorité français
entre leurs mains
chers amis moment
suis présidente front
tour france oubliés
gouvernement union nationale
déjà certain nombre
aimerais bien savoir
grandes économies faire
dire morale publique
protectionnisme égard pays
millions demi français
france etats unis
national vive république
mandat nicolas sarkozy
françois hollande nicolas
argent public faut
ensemble classe politique
toutes nations monde
certain nombre autres
emploi pouvoir achat
donner pouvoir achat
nicolas sarkozy françois
beaucoup plus proches
front national extrême
chômage pouvoir achat
élus front national
plus millions demi
électeurs front national
enfin chers amis
effet nicolas sarkozy
faut changer modèle
certain nombre temps
ensemble territoire national
vive france chers
oubliés politique française
faire grand rassemblement
certain nombre gens
vais mettre place
france toute entière
avenir leurs enfants
classe politique française
etat etat fort
êtes train dire
baisse salaires français
sentent beaucoup plus
front national aurait
gouvernement nicolas sarkozy
plus grand bénéfice
manière plus générale
veut faire gagner
pays zone euro
problème pouvoir achat
certain nombre pays
quelques semaines plus
candidat front national
front national parti
crois quelque chose
plus faible monde
idées front national
entre milliards euros
beaucoup plus facile
union européenne réalité
avait certain nombre
france chers compatriotes
sert plus rien
plus prendre charge
plus grand respect
ailleurs certain nombre
beaucoup plus ferme
morale publique plus
toute classe politique
services publics bien
projet contre projet
toutes forces france
front national demande
français veulent vivre
assemblée nationale bien
nation etat nation
nicolas sarkozy avait
hollande nicolas sarkozy
avons certain nombre
plus rien attendre
pays plus attractif
français doivent savoir
faut mettre place
pense certain nombre
pouvoir achat français
plus rien offrir
faut mettre œuvre
enfin veux dire
bien chers compatriotes
avons plus moyens
veux mettre place
pays union européenne
président front national
république française front
enfants france doivent
autres pays européens
contre front national
mettre place politique
nicolas sarkozy nicolas
responsables politiques français
faut bien admettre
front national avait
entre citoyens français
payer toujours plus
projet front national
amis front national
front national sera
celui front national
nicolas sarkozy veut
plus plus importants
sarkozy nicolas sarkozy
front national était
nicolas sarkozy jamais
nicolas sarkozy était
veut rien dire
français faire sacrifices
dire union européenne
autres pays monde
plus plus nombreux
union européenne bien
voyez veux dire
beaucoup autres pays
dire certain nombre
front national gens
nicolas sarkozy soit
entre nicolas sarkozy
rassemblement peuple français
avis peuple français
plus plus importante
euro veut dire
volonté peuple français
nicolas sarkozy ailleurs
rendre peuple français
certain nombre français
front national voilà
faut bien dire
plus grand nombre
ailleurs nicolas sarkozy
crois nicolas sarkozy
français arrivent plus
faut dire vérité
français doivent pouvoir
plus facile dire
plus faibles plus
plus plus cher
front national bien
faire croire français
politique nicolas sarkozy
france nicolas sarkozy
plus faire confiance
dire vérité français
