measure,first,second
10.694029034056177,sauf,réprimer
5.455827591432749,diriger,pays
6.1583400288764185,destin,histoire
4.083809142320664,destin,france
9.211695015806498,salariés,privé
6.367599546933873,salariés,travailleurs
3.07095990385125,salariés,français
8.021001942319591,capable,assumer
6.880520718769761,capable,répondre
6.617486312935968,capable,défendre
4.183517354077598,capable,faire
11.09379977668171,quartiers,entiers
10.023410448790314,quartiers,sensibles
9.312163975692634,présenté,candidature
7.08823431921779,présenté,projet
4.171802288682983,revanche,jamais
4.065021270232862,revanche,pense
4.042519271738019,revanche,suis
3.815228050988729,revanche,faut
12.294421575346938,quarante,rois
9.702688116648348,allé,chercher
14.171802288682983,maurice,allais
8.583564655928969,jouer,rôle
8.69594878821954,subviennent,leurs
8.090481600326171,quoiqu,soit
12.793290665429252,parties,civiles
6.375686549140269,défendre,intérêts
5.880520718769761,défendre,principes
5.391317200854035,défendre,identité
5.24356358041034,défendre,intérêt
5.214076815909962,défendre,idées
5.09411619186905,défendre,travailleurs
4.703261207168776,défendre,liberté
4.260687758201552,défendre,frontières
4.2088741595652905,défendre,nation
3.096035946032412,défendre,leurs
2.734319911391246,défendre,peuple
2.270952248524466,défendre,pays
1.9757493964632147,défendre,france
1.949479642231477,défendre,français
8.734396976375685,actuelle,agriculteurs
3.9683319249007276,actuelle,france
2.79138130903436,idée,faut
13.171802288682985,taxer,taxer
9.399212784786055,taxes,nouvelles
7.935734930449458,disposant,toute
13.11040174401884,regroupement,familial
9.615752479877067,commissaire,européen
6.064052433287655,commissaire,politique
12.341727290125295,oublié,gouvernait
9.51729885470875,journalistes,posent
8.512004555039235,protester,contre
8.90210415256818,exprimer,librement
9.056325071263048,manière,concertée
8.904321977817997,manière,pragmatique
7.904321977817997,manière,spectaculaire
7.2588179351617885,manière,générale
6.388192190181677,manière,dont
5.86518358391104,manière,extrêmement
4.349733126140359,manière,absolument
4.292559417753125,manière,assez
2.3273580478901614,manière,plus
2.0813369592711197,manière,faire
0.6934071617440765,manière,bien
14.576192543762318,angela,merkel
5.497492302366545,faudra,mettre
3.960887472609059,faudra,bien
3.6118516759698984,faudra,faire
4.036805620543625,époque,était
9.839226949596114,austérité,imposée
9.24580287012676,disposent,moyens
7.840089111367307,cohésion,nationale
2.9560535951222953,sort,france
8.494019413931104,patriotisme,économique
7.578303643348047,patriotisme,social
6.928099361101124,patriotisme,amour
2.2732680791443656,patriotisme,français
11.10906653333502,perspectives,financières
8.014998208974113,perspectives,avenir
16.663655385012657,wall,street
11.555130928234489,marins,pêcheurs
15.066720242625426,saddam,hussein
13.30108530562795,êtres,humains
13.35380012242587,diplôme,égal
12.830765370847917,ferrée,pieds
5.467847461328947,sent,bien
12.145330077321791,chambre,régionale
10.311979946731244,effacer,bénéfice
9.171802288682985,réserve,légale
6.118771426078741,renouveau,national
4.881749299566721,permettent,aujourd
16.341727290125295,javier,solana
11.586839787961829,soyons,clairs
11.056325071263048,soyons,sérieux
9.802568479017264,soyons,fiers
6.769635440140625,différence,entre
4.577851004734569,différence,beaucoup
4.391900579366183,différence,autres
6.062023859604324,sympathisants,front
11.387530979738422,condition,sine
7.334419643278856,condition,équilibre
4.010754407855437,condition,soit
13.709459074625784,louis,xiii
4.92827565425719,démographique,europe
13.22625007270536,immenses,réserves
10.261069626780072,septembre,2010
10.0786928842915,septembre,1990
10.569137786228369,aurais,préférer
6.051862093018785,aurais,besoin
3.4242246727941286,aurais,faire
4.078293756308696,réalité,face
3.8723737693866838,réalité,aucune
3.325885416480162,réalité,réalité
3.0878798051378915,réalité,problème
2.8049458418663917,réalité,celle
2.6024529779676513,réalité,gouvernement
2.2298988100103188,réalité,gens
1.4540611380749802,réalité,politique
-0.019598841488726038,réalité,plus
14.882295671487997,mètre,carré
