word,raw_frequency
litanie,2
incarnaient,1
accédions,1
composante,2
dirigeait,1
reprochons,1
sénégal,7
composants,2
"""....",1
garantir,15
absolu,25
instrumentalisée,2
iniquité,1
incarcération,2
retraites,73
constitutionnalité,1
testament,2
exclusive,5
chalutier,2
accorderont,1
carreau,3
accorderons,2
diplôme,7
partiel,7
départementale,6
galaxies,1
supplétives,1
dérouler,8
poésie,5
fantassin,1
subissant,1
louis,31
troqué,2
exagérée,1
farouchement,3
ravalée,1
protestataires,1
gazza,1
suppression,79
télégraphiste,1
réminiscence,1
créations,2
karmiz,1
stimule,1
mobilisation,14
falsification,1
recomposition,3
italiens,6
croisade,1
grenades,1
cotta,3
cotte,1
expliquant,4
répondit,1
incidents,10
effectuaient,1
souille,2
machiste,2
récompensés,2
fréjus,3
prénatale,3
incidente,1
diversement,1
laitière,1
rackette,2
division,15
succédé,4
chacun,211
susceptibilité,1
déroulant,2
grattant,3
suffit,72
incongru,1
thèse,9
placements,1
naïf,5
demandée,1
pacsés,1
fabien,2
téléphone,13
demandés,3
adoptions,1
partiellement,2
pschitt,1
prosélytisme,3
instruisent,1
brouette,1
sortiez,1
octroyés,2
montent,13
urne,5
borel,1
guerre,356
parkings,1
palinodies,2
assumerai,2
pardon,45
retraiter,2
résonnance,4
nafissa,1
malfaisance,2
colonial,1
assurer,105
consciente,6
surfeur,2
goût,24
temporel,5
cours,96
formalité,4
soufflait,1
sujétion,2
8000,1
conscients,20
court,50
triompher,8
triomphes,1
méritoire,1
associant,3
moquiez,1
madena,1
concurrente,1
subventionnés,3
assurions,1
devraient,44
avançons,4
durement,20
pareils,2
idéologue,1
concurrents,41
réussie,3
conférence,30
cosmopolite,4
scott,1
étals,1
attitude,34
intervention,55
faïence,1
conteste,32
structuré,1
profitait,1
réussit,5
étale,1
déchéances,1
pressentie,1
réussis,2
réussir,16
travaille,25
prévisions,11
ordinateurs,3
binationaux,2
fischer,1
euromaniaques,1
habitué,5
pillés,3
respective,1
bourgs,2
élections,383
cohérence,32
avoueront,1
right,5
délivré,4
fréminet,1
démoralisation,3
seigneur,6
ressortirait,1
collective,32
eurocrates,3
intransigeant,4
raréfient,1
favorable,39
minimale,3
boudait,1
bénédiction,5
tricolores,5
précarisation,6
protecteurs,4
bourguignons,6
proprio,2
réactive,2
observe,12
sanctuariser,1
naïfs,8
télévision,64
reviendrons,6
fondés,1
endogamique,1
ferai,68
injurier,2
scélérate,1
géographie,13
fondée,16
soigner,43
finalistes,3
économiquement,15
civiles,18
remette,2
para,2
piégée,2
alimentera,1
impréparation,1
constituaient,2
partiale,2
pénaliser,4
piégés,3
travaillé,23
horloges,1
éloquences,1
stupides,5
amputation,1
étalé,1
serviteurs,9
finiront,3
restrictions,3
révisée,2
paravent,2
tourmente,1
soignant,1
délivre,3
impotent,3
stagne,1
connaîtront,3
illustrera,1
publier,3
communistes,46
merlin,1
glaciation,1
brutalisent,1
achat,144
accédant,1
solides,9
transfèrent,1
sachent,36
rendements,1
africaines,2
sonnera,1
bénévoles,3
figée,1
carnet,2
accroire,1
enraciner,1
consistent,7
oral,2
abandonné,29
oran,3
figés,3
réveillez,3
test,12
briguer,1
inexplicable,2
proférées,1
pirouette,2
répressif,1
regrettable,4
guettant,1
sourcilleux,2
manifestaient,3
mystificatrice,1
traduction,5
vidée,2
durcir,3
archétypiquement,1
vidéo,3
méditerranéenne,2
conjecture,1
voila,8
déshonorant,5
voile,23
mali,12
affaiblissant,5
eventuellement,1
baeckroot,1
26000,1
irakien,5
horrifiantes,1
épithète,1
cantons,4
rite,1
transcendant,3
accapare,1
manifester,19
tantôt,9
vendant,1
subjectivement,1
bonnes,44
chevaliers,2
bonnet,9
discussions,8
coins,12
sanctionnées,1
épouvantail,2
inviterai,1
slogans,8
légende,5
sortiraient,1
spectateur,4
partant,8
boutiques,2
intransigeance,6
abandonne,14
façades,2
immobilière,3
abois,1
vigilance,1
brûle,2
sauront,12
cessait,3
ennuis,2
pénitencier,1
suffisent,1
location,1
sapeurs,4
délitées,1
dimension,23
skis,1
voilà,593
douze,15
souverains,6
réclameront,3
tillinac,1
destruction,46
souveraine,24
malthus,1
opposait,1
mondiste,8
irrationnel,1
maritimes,9
reculerai,1
refusaient,1
revenue,4
plaisent,3
terroir,5
encore,1050
imitant,1
revenus,26
semelle,3
plastronner,1
ravier,3
rivalités,7
idées,173
complétés,1
difficulté,45
admets,4
échos,2
morose,1
jetées,1
urgence,45
cerné,1
succédées,2
charasse,2
inspirent,4
golfe,18
accoure,1
accepté,36
artagnan,1
décrivant,1
visuel,1
swift,1
manuelle,2
embûches,2
mésaventure,1
transmetteurs,1
tenaient,3
victoires,15
forçant,2
rattache,2
fanatiques,6
découpé,1
sensiblement,2
bachoter,1
anticoloniale,1
répondre,97
bloquée,1
répondra,4
pièges,11
acharnent,3
corrigeaient,1
diffamatoire,1
rassurant,3
arbalète,2
refuge,5
encarté,1
recruté,1
bloqués,2
rétractation,1
auberge,1
commandée,2
marseillaises,2
rééquilibrage,4
amer,4
commande,17
amen,1
tweeter,1
accepte,37
poudres,1
bafouent,1
moquerait,1
condé,1
vitrine,2
proportionnelles,1
communie,1
critiquée,3
interprètes,1
éviterait,3
défavorisés,2
section,4
oeuf,1
cohabitent,1
exposerai,1
hospitalier,3
demandiez,1
déshumanisé,1
soixantuitardisme,1
analystes,10
glorifient,1
inventeur,1
dégagement,1
opposition,113
plomb,4
concordat,1
rioufol,1
criminogène,2
étaler,2
prébendiers,1
intermédiaire,20
annoncé,30
reparle,2
désagréger,1
rajeuni,1
instituerai,1
inconcevable,2
réussite,15
recrée,2
marne,9
filtre,2
milliers,106
germe,1
prêté,4
professionnellement,3
passent,25
habitaient,1
énarque,3
oublier,83
impopulaire,2
longévité,1
cachées,1
pénaliseront,1
adjoindre,1
captation,3
magie,3
bercés,1
remplisse,1
soigné,2
briois,8
admonestation,1
archétypes,1
factions,2
caméléon,1
vladisvostok,1
prudence,11
présider,6
réactions,8
coucher,3
fondées,4
annuels,3
loges,2
loger,16
logez,1
permettraient,5
arrêtée,7
bougé,2
défendu,26
verre,3
satisferons,1
martine,5
modèle,156
défends,29
annonce,52
lâches,4
lâcher,2
bolkestein,5
fulmine,1
retourner,11
procédures,9
devions,3
prêts,37
retournez,2
jargeau,4
perpétuation,4
.....,1
proposerais,3
ériger,1
woerth,9
révélée,5
prête,33
imprégnés,2
interrogent,2
delevoye,1
entendaient,2
demandant,7
senteurs,1
estompe,1
diplômé,2
martins,2
paiement,7
imprégnée,2
salops,3
mimétisme,3
funestes,3
débauche,1
sauvegardée,1
sortirons,3
préalablement,4
sidère,1
médiatisation,1
bouvines,12
incendiaire,2
reconstruction,10
soigne,1
détestables,1
âgées,35
tension,6
mulhouse,1
somptuaires,4
organise,17
généreuses,2
dissoudre,13
relatives,5
dispose,20
désisteront,1
désarmement,5
indemnité,3
fossey,1
partirai,2
répondrait,1
jusque,18
sélectionnées,2
mériter,7
mérites,10
carpe,1
2eme,1
méritez,2
apprenti,3
guichet,1
libération,48
dignes,13
lâché,6
manège,2
datant,1
garantirait,2
pharaoniques,1
poigne,1
convivial,1
divorce,11
isole,1
représentations,1
révélations,13
rentables,1
désavoué,1
hôtesse,1
drapeaux,11
réfléchie,1
marigot,2
spectateurs,8
deviendront,1
3000,2
jeudi,5
carburants,1
lybie,6
supporter,11
pourvoir,1
réfléchir,24
abimer,1
aéronautique,2
discounteurs,1
kilomètres,21
martyrisés,1
repart,1
gauche,602
morceau,7
attacherai,2
gaucho,1
genre,63
effrayant,1
barthélemy,3
pollué,3
marshall,3
signifie,24
puéril,1
profondes,17
inventions,4
enserrés,1
gouvernement,504
appris,21
secrète,6
sorties,8
demanderai,15
schizophrénique,1
coupera,1
captés,1
écouteur,1
lavé,4
résipiscence,1
pleure,2
refondation,1
lâche,5
élevant,4
dénoncerons,2
isolé,4
synonymes,1
intérieur,145
maîtresse,4
divorcé,4
rencontrait,1
globale,19
introduction,6
déconsidérée,2
excitait,1
benedetti,3
babouches,2
réaffirmés,1
rouage,1
gamay,1
intrigants,4
oxygéner,3
unités,4
providence,10
courante,4
traits,4
transferts,9
puits,7
vauselle,1
signifié,2
supprimées,11
relégation,2
gamal,1
pollue,1
prend,98
ingéniosité,2
courants,14
individuels,3
dissolutions,1
perroquets,1
vous,4442
discrimination,39
éluder,3
saintes,2
suppléant,1
holala,1
railleries,3
braves,12
accepterez,1
banquets,2
stagflation,1
appuie,5
répondent,8
brûlée,8
existaient,4
tenir,67
trainent,2
appuis,4
gisbert,2
portez,2
planète,26
