measure,first,second,third
18.844715490389166,destin,histoire,humaine
22.351328495797496,présenté,candidature,arabe
19.974215647540873,décider,entre,maintient
20.916660677383465,subviennent,leurs,propres
19.927732426608305,maires,petites,communes
15.18983176182881,reste,mois,vivre
27.191601483920913,taxer,taxer,taxer
22.692499719853593,disposant,toute,modification
18.31180914546582,gestion,argent,public
19.52607395713066,acquérir,nationalité,française
22.341757863382735,premier,rang,desquelles
17.7917520309108,premier,secrétaire,parti
17.593856791535366,premier,ministre,villepin
14.776720848685173,premier,ministre,jacques
14.769546064685027,premier,tour,élections
14.717515259286461,premier,ministre,socialiste
14.535897188005453,premier,tour,deuxième
14.208001369858462,premier,tour,présidentielle
13.74464993279948,premier,tour,élection
13.493115485256212,premier,faire,élire
12.977045424774879,premier,ministre,président
12.34592927809178,premier,ministre,avait
11.787669570910104,premier,homme,politique
10.595511314312255,premier,tour,bien
12.685711656602859,manière,plus,générale
11.262993325122746,manière,dont,peuple
20.879452665071284,réarmement,face,mondialisation
17.103799224943824,dignité,sociale,moyen
21.466870377614963,faits,divers,journaux
18.8157022282683,ravagent,pays,paris
17.444156395126004,membre,bureau,politique
18.50303877041579,patriotisme,économique,patriotisme
16.315284072808485,enfants,petits,enfants
11.273195246969308,enfants,france,doivent
27.324495754418265,ferrée,pieds,taille
24.742896271876674,chambre,régionale,comptes
18.29156212093797,fort,etat,stratège
16.290613953372763,certain,nombre,divergences
15.878290838790964,certain,nombre,sujets
15.596026961477115,certain,nombre,qualités
15.584345156429475,certain,nombre,activités
14.736348249874531,certain,nombre,propositions
14.474109594221357,certain,nombre,gens
14.451078625566009,certain,nombre,journalistes
14.368616465374032,certain,nombre,domaines
14.319372946354193,certain,nombre,mesures
14.30492179005665,certain,nombre,choses
14.216613371928986,certain,nombre,aides
13.93862862462922,certain,nombre,groupes
13.744125600466248,certain,nombre,dirigeants
13.732475240727318,certain,nombre,années
13.617295578230767,certain,nombre,conditions
13.597703539284502,certain,nombre,autres
13.300136727491267,certain,nombre,responsables
13.212111979694054,certain,nombre,problèmes
13.188044219732223,certain,nombre,candidats
13.007160006300033,certain,nombre,services
12.880329984064552,certain,nombre,droits
12.527314211393094,certain,nombre,jeunes
12.41960039409284,certain,nombre,hommes
12.066866252424305,certain,nombre,amis
12.001711461768295,certain,nombre,temps
11.861228389935224,certain,nombre,pays
10.898296530594003,certain,nombre,avait
10.324742892671381,certain,nombre,français
16.62593576949539,européen,2009,sera
14.296272503103001,sympathisants,front,national
19.996884021027313,individuelle,dignité,sociale
19.643192261100317,français,culte,musulman
15.807640447212052,français,prennent,conscience
15.730407951262915,français,attendent,logement
15.208515266582015,français,rendent,compte
15.049817520562957,français,origine,étrangère
13.96865925616682,français,rassemblement,forces
13.691447429707527,français,peuvent,compter
12.862782001404511,français,doivent,savoir
12.51390924415534,français,veulent,vivre
12.291323133479693,français,bonne,volonté
11.738458619202412,français,chers,compatriotes
11.050513938387578,français,toutes,conditions
10.89376384952351,français,faire,sacrifices
10.398249511074358,français,doivent,pouvoir
9.969859936700239,français,arrivent,plus
9.485055975692674,français,quelque,soit
8.500732468675604,français,citoyens,français
8.391323705138525,français,peuvent,plus
8.2917880315876,français,plus,confiance
8.123060401888583,français,bien,compris
7.116690877012854,français,bien,évidemment
3.8623812900736283,français,plus,plus
31.45284165210917,grosses,capitalisations,boursières
19.879194464615846,militaire,volontaire,mois
11.407303815491744,vote,front,national
19.131185112738912,lettre,jean,marie
20.730422202997346,réveil,sera,terrible
23.04886131180483,retour,monnaies,nationales
15.421692250962991,retour,monnaie,nationale
18.910029610816455,pays,contrainte,injuste
