measure,first,second
7.294344685061745,poste,important
7.752679018343141,investissements,publics
10.554872235284964,excès,injustices
7.837715122198938,ramener,niveau
11.6427449913103,fabriquer,esclaves
9.263875999949493,race,religion
10.429341353201107,fonctionnaires,territoriaux
10.01430385392226,fonctionnaires,assimilés
6.300058336256139,fonctionnaires,police
6.272836867521116,fonctionnaires,salariés
4.584374112568987,devenir,français
9.876800330172328,musique,militaire
12.706875328730018,mauvaises,habitudes
9.554872235284964,mauvaises,nouvelles
6.716585098821362,savoir,lire
3.3946570039340003,savoir,veut
3.285850593269725,savoir,faire
2.904212101997132,savoir,veux
2.716585098821362,savoir,sommes
2.6520723372666346,savoir,président
1.9761050204789221,savoir,était
1.426678676984526,savoir,ailleurs
1.1365180729057691,savoir,faut
13.014303853922259,suffrage,universel
6.003076598499009,ruine,économique
9.506509213723564,entrainer,augmentation
7.874752501523467,arriverons,pouvoir
9.753776303699041,exception,culturelle
5.692375759034897,exception,française
7.312131168556714,soixante,après
8.155079691944056,apporté,preuve
8.82228508162933,travailleurs,manuels
7.843043641796131,travailleurs,indépendants
7.7372489777735325,travailleurs,pauvres
6.722749408078419,travailleurs,retraités
4.659246465772259,travailleurs,immigrés
4.396107475137168,travailleurs,français
2.3181187238608025,travailleurs,pays
7.887599381079072,véritable,scandale
7.700513828478574,véritable,alternative
7.3785857335912155,véritable,honte
7.266111004332803,véritable,drame
6.91966059031137,véritable,changement
6.500576257969826,véritable,terrorisme
6.089788231692335,véritable,opposition
5.223466666924304,véritable,démocratie
4.069713791529299,véritable,choix
3.230487094602079,véritable,liberté
1.733949919349591,véritable,politique
10.503341934644885,beaux,quartiers
8.173001599941319,beaux,jours
10.516052986394437,ouvrent,yeux
4.861385277785638,arrêter,immigration
11.075704398586405,condition,sine
7.022593062126841,condition,équilibre
4.923057388575927,condition,soit
9.725207151502271,victime,agression
3.9527976469868484,lesquels,était
3.403371303492456,lesquels,ailleurs
4.288199252387823,gaulle,avait
10.280949513308434,comporte,risques
9.80290221650379,payent,plein
8.156011966639433,payent,impôts
5.0869703222097815,payent,leurs
7.466381101018255,chèque,premier
9.898826636502326,planète,entière
7.455117988134527,aggravation,insécurité
9.880904728505064,combien,mohamed
7.996381945925,combien,coûte
7.042185635538123,combien,parents
9.530718373576185,propres,besoins
6.805825611710558,propres,forces
6.106692091070087,propres,compatriotes
5.939092142574019,propres,citoyens
5.64536093951731,propres,intérêts
5.4379612326563365,propres,enfants
10.449519235138736,failli,mission
4.744943369563533,possède,plus
7.9211944495307804,mille,morts
11.711741083901831,carte,vitale
8.705314814742398,carte,identité
8.789337488921987,joue,rôle
4.858810957654445,nôtres,rien
4.600534905882203,nôtres,avons
9.891907222562535,religion,musulmane
9.766376340478677,religion,chrétienne
5.0313102792279505,concerne,immigration
9.300058336256141,rétablissement,peine
7.63297721506148,faible,croissance
5.537557649982794,faible,monde
7.96409240796849,résoudre,problèmes
7.794920182458149,résoudre,problème
9.21314519782856,colère,légitime
4.652250457069236,colère,peuple
7.4371771926152075,quelqu,condamné
6.6271481362592795,quelqu,devenu
4.842876827314717,quelqu,aurait
4.006996207075819,quelqu,soit
3.674676506341868,quelqu,dont
3.3340029420009465,quelqu,avait
7.393040915888989,homme,femme
7.022377154457942,homme,citoyen
5.683498990640645,homme,nouveau
4.977188380691686,homme,libre
4.468002973570211,homme,gauche
4.271575782999392,homme,politique
4.241494443761532,homme,homme
3.5757198974522773,homme,manière
2.3633867487820446,homme,avait
2.2890228138441167,homme,dont
1.8868124365543082,homme,crois
11.565402902777132,compétence,égale
7.057782490589142,croyons,homme
6.54900955304443,croyons,nation
10.407466853578343,maîtrise,destinée
8.115551327757421,maîtrise,frontières
7.161774344518067,maîtrise,monnaie
4.926973619413214,maîtrise,immigration
8.182426612730586,jour,lendemain
6.491264708177509,jour,davantage
5.929761180280343,jour,venu
5.538570422955862,jour,crée
5.150840269672756,jour,passe
4.192120008934431,jour,jour
3.4230932055359276,jour,devant
2.871813831071062,jour,sais
2.868032190528634,jour,élections
1.8124658214214229,jour,avait
1.2931761762577985,jour,front
1.176100534205652,jour,plus
0.5697116671443254,jour,faire
0.4305687764899524,jour,français
2.7617763907095316,difficile,crois
2.732562142826371,difficile,faire
10.078844106116971,instruction,civique
15.751269448088468,karl,marx
11.420779339697681,cure,austérité
9.791911432585813,second,tour
9.226401294530833,tirer,conséquences
13.92119444953078,chat,chat
10.209292872332957,délinquants,criminels
6.709382184340589,délinquants,étrangers
15.751269448088468,gaudin,pacha
13.176360612031237,quartier,latin
10.277338259756055,intelligence,collective
6.370447664147537,intelligence,économique
8.572189731503038,idéologie,mondialiste
8.541816082459517,idéologie,ultralibérale
6.300230095889759,idéologie,libre
11.374299989643143,résister,dumping
7.1286074805828665,pourrait,appeler
6.501140251347174,pourrait,croire
6.365047676404947,pourrait,candidate
5.813405248883818,pourrait,trouver
4.96990973456381,pourrait,demain
3.896660752533169,pourrait,effet
3.6791228838649097,pourrait,faire
2.863627228572309,pourrait,dire
2.4424327285034124,pourrait,bien
2.3224513081088887,pourrait,ailleurs
0.5485461567600289,pourrait,plus
8.441414185501683,désignation,candidats
9.639264422575337,équilibre,1980
9.458692176933516,équilibre,géopolitique
8.153837595405095,équilibre,budgétaire
7.458692176933516,équilibre,financier
6.7685474395203045,équilibre,social
6.458692176933516,équilibre,forces
4.509981405630366,équilibre,monde
4.3483240201716615,équilibre,entre
5.252669519318211,laissez,dire
13.22075473138969,gendarmes,mobiles
9.854432517143874,gendarmes,policiers
16.014303853922264,nappes,phréatiques
7.9124594623799105,supprimé,frontières
5.742374009951401,supprimé,droit
8.940340843151045,difficultés,financières
6.035498076191384,difficultés,françaises
7.40697354017265,appauvrissement,général
4.435302263231144,appauvrissement,pays
9.933646190577035,septembre,2010
9.751269448088467,septembre,1990
14.277338259756057,bulletin,urne
9.962641734099769,bulletin,vote
12.01430385392226,nouvelles,technologies
7.414391011735132,nouvelles,règles
5.436875025886511,nouvelles,élections
11.828437308610926,cures,austérité
7.844378852479947,comprend,mieux
8.825138210349834,queue,tête
2.5863799757266577,entier,france
7.669909303564035,perte,souveraineté
7.48604511116385,perte,totale
7.449519235138736,perte,indépendance
4.8289328246868575,perte,liberté
