measure,first,second,third
19.414357980155117,professionnelle,vers,2013
24.891104184094583,excès,injustices,considéré
24.55271218541783,fabriquer,esclaves,vendre
12.136924775332009,représentants,front,national
20.017380452421268,rétablissement,peine,mort
20.315851453464774,savoir,lire,écrire
21.87318227609732,notes,frais,doivent
17.45604128971238,rien,sera,épargné
20.280951774912126,tête,armée,libère
10.469926505744848,tête,front,national
18.7680801576213,exception,culturelle,française
16.77389399945019,soixante,après,guerre
20.726654312718424,étranger,chers,internautes
19.777914517725875,véritable,terrorisme,intellectuel
13.161468958050786,domaine,tant,autres
10.348237469656517,domaine,bien,autres
13.99107390886855,front,national,consultations
13.084183313260045,front,national,vive
13.047657437234918,front,national,apporte
12.784623031401125,front,national,démontré
12.737317316622768,front,national,incarne
12.697160190150786,front,national,rassemblement
12.406111408147407,front,national,adhérents
12.167951670952633,front,national,serais
11.956804006783813,front,national,représente
11.737317316622768,front,national,congrès
11.669145813981189,front,national,monter
11.660294896398923,front,national,extrême
11.6308176953221,front,national,empêcher
11.265248872307545,front,national,auront
11.19966053067997,front,national,fallait
11.091600784822518,front,national,ayant
10.963593172446448,front,national,difficile
10.951272900810576,front,national,parti
10.910153913484983,front,national,arrive
10.849163283595846,front,national,assemblée
10.846023576065267,front,national,peux
10.789784736516907,front,national,aurait
10.784623031401125,front,national,revanche
10.737317316622775,front,national,seul
10.691513627009641,front,national,simplement
10.582989170231471,front,national,raisons
10.551962274610858,front,national,aura
10.521588625567329,front,national,élus
10.47355592914554,front,national,avait
10.45549943510957,front,national,demande
10.427071026783054,front,national,jean
10.381355309061828,front,national,sera
10.31213525993839,front,national,aucun
10.282122690871944,front,national,rappelle
10.234425948840649,front,national,veut
10.232082008372345,front,national,conseil
10.112197689429635,front,national,voyez
10.067632136996192,front,national,chers
9.915409638936488,front,national,était
9.808259395668369,front,national,avons
9.743146395424969,front,national,mouvement
9.53416669164681,front,national,jamais
9.529122298252751,front,national,élections
9.51160453699471,front,national,surtout
9.50070125909351,front,national,celui
9.50070125909351,front,national,vrai
9.41074285687904,front,national,part
9.406111408147392,front,national,seule
9.392305608622369,front,national,tant
9.277885697985472,front,national,serait
9.27619437886927,front,national,front
9.219025855546903,front,national,voilà
9.21693852211181,front,national,soit
9.150693681531692,front,national,gens
9.044055200554727,front,national,premier
8.98415449492877,front,national,dont
8.950046640608502,front,national,autres
8.874530003754263,front,national,évidemment
8.868146386963414,front,national,beaucoup
8.833532631882072,front,national,enfin
8.813243709340899,front,national,aujourd
8.748999121670412,front,national,sommes
8.74373060075423,front,national,pense
8.694334146072023,front,national,abord
8.684486360115685,front,national,président
8.68148512117002,front,national,ailleurs
8.5790741202281,front,national,bien
8.482408444088048,front,national,crois
8.448339643536691,front,national,toujours
8.407267877179983,front,national,suis
8.038156696926041,front,national,faire
7.86814638696341,front,national,contre
7.583969595033665,front,national,faut
7.1002250477635585,front,national,plus
19.224347592209778,militaire,volontaire,mois
30.306141683373436,soudards,cachot,sordide
18.59298084993873,sarkozy,dominique,strauss
17.658705742989028,sarkozy,ségolène,royal
16.777100443791248,sarkozy,bayrou,royal
16.04013484962504,sarkozy,royal,bayrou
15.195878364594595,sarkozy,françois,hollande
13.820653231643643,sarkozy,avait,promis
13.626767175775093,sarkozy,ministre,intérieur
11.205829942469784,sarkozy,nicolas,sarkozy
8.994576864202976,sarkozy,veux,dire
6.613043257100326,sarkozy,faut,bien
17.88650065054197,quatrième,puissance,économique
18.50082528546932,marchés,financiers,taux
18.085787786190465,marchés,financiers,banques
12.862091528307175,marchés,financiers,bien
23.632174176593523,combien,mohamed,merah
15.622542690681442,sociale,moyen,prospérité
20.167272617599263,vivre,vite,rencontre
11.892347855263445,quoi,veut,dire
19.280319001304033,etats,unis,amérique
14.945226447218221,etats,unis,exemple
13.819521840642501,etats,unis,beaucoup
13.147433747678871,etats,unis,ailleurs
12.594402206696401,etats,unis,pays
17.67040048142533,gestion,argent,public
13.258401181280874,aimerais,bien,savoir
16.129051578352154,rocard,premier,ministre
16.901019564628516,colère,légitime,peuple
13.019093096226747,homme,politique,présenter
19.025518521864942,maîtrise,frontières,maîtrise
11.074927170707973,jour,plus,nombreux
9.215780196043244,jour,front,national
19.710780586092064,matin,paysans,arrive
13.643646374396276,europe,fédérale,dont
13.215816204173986,europe,nord,celle
11.238020147915798,europe,union,européenne
17.36469386572854,rompre,modèle,économique
15.20706489442765,réduction,temps,travail
23.507153087233498,arabe,députation,paris
15.431175855161147,second,tour,élection
15.228786458472321,second,tour,élections
23.21867884212309,passé,table,rase
19.226899348928058,passé,professionnel,chacun
15.309937846464987,voté,contre,traité
13.958988071650005,laisser,faire,laisser
14.600163781690906,demi,entre,avaient
18.074178723472638,produits,subissent,mêmes
