measure,first,second
9.391794551832795,poste,important
7.571781406904243,investissements,publics
10.788216372944293,excès,injustices
10.1909755424447,fonctionnaires,assimilés
6.4917903418095175,professionnelle,vers
5.577763564919371,professionnelle,sociale
13.266263669748938,mauvaises,habitudes
5.196590141942124,savoir,veut
4.6517378545951225,savoir,faire
5.986818906183089,généraux,ainsi
6.454315636390856,ruine,économique
5.788216372944291,rétablir,frontières
6.225778236175829,exception,française
7.569792853810792,marche,vers
8.373178873665449,travailleurs,indépendants
7.862216954388069,travailleurs,pauvres
6.4987097557493065,travailleurs,retraités
4.357837186736376,travailleurs,français
2.8594512777130134,travailleurs,pays
7.738228237112615,véritable,opposition
6.781296959004505,véritable,changement
2.3952385266974225,véritable,politique
9.788216372944293,beaux,quartiers
11.996802994755711,sphère,privée
8.807769170365697,sphère,publique
10.903693590364227,condition,sine
7.17577313580103,condition,équilibre
5.4858410754783336,condition,soit
6.546141585746145,retraite,heures
5.2748768000536455,montrent,bien
9.341168478762828,planète,entière
9.825691078362954,combien,mohamed
7.603298657026507,combien,parents
10.716066587188458,failli,mission
10.082663731409552,quoi,servent
4.109683945343258,quoi,faire
1.9222320158939183,quoi,plus
8.444261971726931,heures,semaine
6.961179085024991,heures,retraite
8.318731089643073,joue,rôle
6.4163001422252535,nôtres,rien
4.387118064623328,arrivent,plus
8.622407479974212,département,région
6.194801307192318,département,etat
9.466288278056934,colère,légitime
4.847306756921235,colère,peuple
7.540288859500709,généralisée,frontières
3.3282243755697536,réalités,plus
7.44608470733375,croyons,homme
5.948851055984067,croyons,nation
10.68130116902778,maîtrise,destinée
6.284411016459201,jour,passe
4.051019596173491,jour,jour
2.083337316446219,jour,plus
9.37317887366545,matin,paysans
13.488656091085385,réduction,drastique
10.534459780698514,second,tour
9.647353837104443,délinquants,criminels
6.61760649371039,délinquants,étrangers
5.519349521808342,voté,contre
8.816230749113888,laisser,tomber
7.292668793056878,laisser,aller
4.750141558656116,laisser,faire
10.047556295220344,intelligence,collective
6.096338668306627,idéologie,libre
7.504712437304457,pourrait,croire
9.760735636522185,équilibre,1980
9.608732543077135,équilibre,géopolitique
7.886266518606044,équilibre,financier
6.710109563452219,équilibre,social
6.663874097269595,équilibre,forces
4.265324720779322,équilibre,monde
6.914588231467523,laissez,dire
14.751690496919181,nappes,phréatiques
8.11014446783166,supprimé,frontières
9.647353837104449,septembre,2010
10.410653579084112,bulletin,vote
11.751690496919178,nouvelles,technologies
8.292258878281881,nouvelles,règles
9.53445978069851,faibles,riches
2.6959561600702404,faibles,plus
10.203253872223138,grandes,surfaces
8.980861450886687,grandes,compagnies
8.980861450886687,grandes,orientations
8.881325777335775,grandes,lignes
8.29636327661462,grandes,manifestations
8.203253872223137,grandes,écoles
7.480787847752051,grandes,réformes
