word,raw_frequency
croyaient,5
surfacturations,1
ramener,7
répartissant,2
litham,1
appartiennent,6
mentir,8
fonctionnaires,59
mesquinerie,1
recréerons,1
brusquer,2
mauvaises,7
joubert,1
introuvable,1
angleterre,19
pessimisme,2
mollesse,2
rétablit,1
apportées,2
écœurés,1
immortellement,1
sexuelles,2
gray,1
archétype,1
isabelle,3
dissertation,1
rétablie,6
marée,1
oxygéner,1
desquels,3
combier,1
clandestinement,3
restructurations,2
rangent,1
également,61
incohérences,1
océans,2
rompu,1
nunuche,1
individualiste,3
protocole,2
distinguer,3
aggravation,8
combien,38
impétrants,2
architectures,1
koweït,2
climatisme,1
assister,6
médiatisés,1
qualifications,1
espère,15
plonger,1
conduira,1
seselj,1
label,2
conduire,16
poteau,2
incarnent,3
prolongement,2
fasse,14
delà,56
jugeons,1
gaussent,1
agirait,1
jalonnent,1
déplace,1
couvre,4
sélectionnées,1
rétablir,48
espelette,1
facture,4
house,2
convertis,1
immigrant,1
parcelle,1
jugements,5
exposer,7
aquatiques,1
rabaissé,1
déséquilibre,7
flot,1
plaque,1
intergouvernemental,1
indissociables,1
ined,1
habitué,4
minute,2
faibles,31
cachan,2
popularités,1
cogestion,1
hésiteront,1
stasi,2
abrite,1
vivants,1
flacon,1
annihilant,1
rationnelle,2
poitiers,2
nihilisme,1
inquiet,2
dépasser,4
2010,43
abordent,1
rognant,1
développements,1
défini,2
2011,19
créée,7
opposent,3
entasse,2
souvenir,18
kahn,10
précipice,7
devoir,77
féminisée,1
sache,8
acquérir,3
sauriens,1
appelaient,2
bouche,18
échouer,5
révèleront,1
différentes,22
unitaire,1
levèrent,1
hissé,1
contaminées,2
cons,1
monopolisation,1
orgue,1
sachs,4
spectacles,2
oreille,4
trompons,8
inquiets,4
catastrophe,22
secrétaire,13
palestel,1
séparent,2
renvoyé,1
trou,14
courants,6
sensibilités,3
bâtardes,1
remémorent,1
abandonnent,2
détournera,1
limiter,19
limites,8
déshumanisée,1
courante,2
compétition,13
inscrit,9
exquis,1
élitisme,3
invivable,1
facturé,2
murmurer,1
réglemente,1
affameurs,1
poisons,1
meurtris,1
nairobi,1
inventaire,2
rompt,2
sang,23
moribond,1
angoisses,5
détonne,1
impérial,1
tomber,18
tombes,1
pommes,1
navire,2
désir,12
luttent,1
mettrais,1
sachiez,1
culottes,1
garantit,2
rongent,2
régler,7
garantir,11
blandine,1
préserve,1
dangereuses,4
garantie,11
territoire,103
caboches,2
briguer,1
romorantin,1
terminera,2
sourd,3
confine,1
truqués,2
suggestion,1
éventuels,1
rousseau,2
éventuelles,1
révoltantes,3
enron,1
statuts,1
versement,3
réversions,2
crif,1
affidés,2
syllabique,2
indiquées,1
confins,4
truquée,1
communal,2
bellum,2
bénéfices,5
caricaturée,1
saluée,2
véhicule,1
contribuait,1
bernanos,2
rages,1
sèment,1
lipovetsky,1
accabler,2
islamisme,6
inconcevable,1
inquiète,7
vorace,2
affres,1
lancées,3
blés,1
incestueuses,1
pertinence,1
remarque,2
nourries,1
respecter,36
lieux,23
harlem,3
toison,1
comprenant,1
naissait,2
glorieuse,7
indépendant,4
américaine,23
supprimeront,1
élargissement,6
proclamer,5
imposées,7
dissuasives,2
adhésion,20
blairiste,1
correspondent,2
chemins,5
américains,18
oligarchies,5
enchaînés,1
christianisme,6
gorge,2
