word,raw_frequency
croyaient,2
mercedes,1
ramener,10
rétablie,2
appartiennent,2
mentir,5
fonctionnaires,19
déséquilibré,1
mauvaises,4
angleterre,18
rétablir,16
rétablit,4
apportées,2
écœurés,1
défini,3
éprouvons,1
desquels,5
également,25
rompu,2
chaleur,2
risquons,1
aggravation,9
combien,28
rompe,3
artificielles,2
assister,6
espère,42
plonger,1
chanteurs,1
montlouvrier,1
conduire,8
exploration,4
fasse,21
écroule,1
autriche,1
déplace,1
fidel,2
rival,1
facture,1
recevra,1
déséquilibre,1
plaque,1
corrompre,1
habitué,1
faibles,9
nafissa,1
vestimentaire,1
stratégiquement,1
encourageant,2
interaction,1
texas,1
inquiet,6
dépasser,1
2010,1
législateur,1
2011,3
opposent,1
sanctuariser,1
souvenir,10
kahn,19
précipice,3
caméras,7
sache,3
acquérir,3
appelaient,1
beaux,2
différentes,26
réarmer,5
discutez,1
ouvrent,2
créés,2
sachs,1
rafale,2
discuter,9
inquiets,1
catastrophe,4
secrétaire,12
scaphandre,1
bancale,1
renvoyé,1
trou,2
courants,4
sensibilités,2
émoluments,1
abandonnent,2
limiter,4
limites,2
décompte,2
couteau,2
compétition,11
débattrai,1
élitisme,1
tron,6
traitaient,2
inventaire,1
sang,12
précieux,1
tomber,17
tombes,1
chiffrerons,1
navire,3
désir,13
luttent,1
contestés,1
sachiez,1
culottes,1
chiffrage,2
régler,33
pantins,1
garantir,1
essayant,3
garantie,8
territoire,38
déposants,2
mater,1
distinguer,1
versement,1
affidés,2
damoclès,2
tablions,1
paire,1
barbus,2
véhicule,1
garer,1
sèment,1
sexuellement,1
islamisme,4
inquiète,14
lancées,2
déprécierait,1
remarque,10
nourries,1
respecter,22
lieux,12
harlem,6
douanes,1
glorieuse,2
indépendant,4
charasse,2
imposées,8
adhésion,5
comptabilité,3
chemins,1
américains,27
naturalisons,2
gorge,1
coopérer,1
bandelettes,1
exercice,9
essayera,1
cran,2
prétendait,3
tentés,1
moquent,2
occupent,7
prévus,1
tentée,2
électoralistes,4
développent,3
rapatrie,1
jambes,1
bilatéral,1
airbus,1
nihous,1
scandalisait,1
protectorat,1
faisait,25
juges,10
juger,6
blanche,2
attacherez,1
lustrale,1
collectif,1
électricité,13
tournerait,1
surenchérir,1
vivons,10
électrices,1
inter,4
assurer,16
mosquées,20
tunisiennes,1
entendant,1
rémunération,4
possibles,14
tombera,2
villeneuve,3
désolée,7
miracle,3
financier,16
attendues,3
équilibrer,1
georges,2
partagez,1
cases,1
fort,25
retrouvaient,1
venaient,2
loyalisme,1
roulé,1
plaît,2
incendies,1
sachant,2
jugement,9
chauffailles,1
puisque,213
latin,3
léottard,1
successeurs,1
irakien,1
respective,1
dérive,5
spéciaux,3
tarder,1
amateurisme,3
vider,1
