measure,first,second
10.77604162039766,socialo,communiste
8.250457666755437,avocat,général
3.867043786449015,continue,faire
11.390387927899912,fonctionnaires,territoriaux
13.56031292934222,suffrage,universel
10.052518289143526,qatar,finance
8.160382322453591,tête,liste
6.064457902455052,tête,tête
5.611945697757546,tête,etat
4.9904573210112755,tête,parti
4.832392474779022,travailleurs,français
8.916456739567499,véritable,scandale
8.431029912397257,véritable,alternative
7.449179794437043,front,national
6.482903752755808,sarkozy,ségolène
5.772410369950791,sarkozy,françois
3.6385546232160024,sarkozy,ministre
2.302090435170756,sarkozy,avait
1.3129787513134943,sarkozy,ailleurs
0.8735570934076904,sarkozy,faire
0.5891885458950199,sarkozy,bien
9.575419821732432,mieux,placé
11.337920508005777,marchés,financiers
9.685843811426082,propres,besoins
8.431029912397255,propres,compatriotes
4.7148228783978485,quoi,veut
10.835420167476592,carte,identité
4.235382346293337,clairement,suis
9.199831593685467,joue,rôle
5.09588062964656,arrivent,plus
7.536096691921399,résoudre,problèmes
7.217074328209449,résoudre,problème
7.167995506563461,serai,candidat
7.823347335176017,quelqu,devenu
7.206675974727524,quelqu,condamné
4.226412192788782,quelqu,soit
6.694064318231051,homme,libre
5.471671896894602,homme,homme
4.917960330157884,homme,gauche
4.22881537299844,homme,politique
8.878488889368478,maîtrise,frontières
4.08965405528167,preuve,ailleurs
7.799315833659266,mouvements,politiques
9.269372526938547,second,tour
9.835420167476592,tirer,conséquences
10.36391571653872,délinquants,criminels
8.560312929342222,voté,maastricht
6.086381741009813,voté,contre
4.040873242347246,essayer,faire
5.004019771452336,dites,vrai
9.22244329058584,intelligence,économique
7.369077421654499,demi,voix
10.805425427178754,produits,importés
3.6624674733367115,produits,français
6.576369275561296,années,viennent
5.38888590273468,années,années
8.542740299894275,élections,présidentielles
8.163096707150624,élections,européennes
8.125128856951601,élections,législatives
7.525666786535332,élections,régionales
7.3881632627853975,élections,municipales
8.626950122372515,lundi,après
10.472850088091885,grandes,compagnies
8.302925086649573,grandes,entreprises
9.705652292506263,marché,financier
7.168711306648049,marché,travail
4.858371186035901,marché,national
7.9608508589259515,lutte,contre
7.0182483870587795,commissaire,politique
9.31555269497732,trois,quarts
8.283843835249986,trois,semaines
7.772410369950791,trois,quatre
6.4945228360226395,trois,jours
6.344699040636838,trois,mois
5.389553276421097,trois,grands
3.779499794737111,trois,président
9.98540409328499,progrès,social
8.558810904176992,attendez,attendez
8.057812588813041,moment,donné
1.8004247461203882,moment,faut
1.7449296335286846,moment,français
1.0958806296465582,moment,plus
12.975350428621066,hénin,beaumont
4.85525658313076,viens,dire
3.989034310827625,vient,faire
3.3527562426015773,vient,dire
10.72742291517748,suppression,impôt
9.444835711922288,centrale,européenne
2.9430291415631906,probablement,plus
7.965366340048446,hommes,femmes
7.189262351975282,hommes,politiques
7.6295755917793375,avez,regardé
6.629575591779339,avez,parlé
5.793074324062216,avez,raison
4.69097613644348,avez,projet
4.319720329192547,avez,droit
4.099060875080559,avez,voir
1.446353767723565,avez,bien
8.312385415898639,assumer,responsabilités
7.832392474779024,assumer,responsabilité
8.431029912397255,référendum,constitution
11.238384834454862,juge,instruction
9.586854716794715,processus,démocratique
9.360640584505857,monnaie,unique
9.308173164611725,monnaie,commune
9.208637491060808,monnaie,occupation
6.945603085227017,monnaie,nationale
9.735884493925678,préférence,étrangère
7.778953215817564,préférence,nationale
8.872256935656964,congrès,extraordinaire
4.823770061664625,congrès,front
2.8189395788353746,parler,politique
6.656096468032031,capable,défendre
3.617065533440668,capable,faire
8.900515195698478,catastrophe,économique
7.653422333733705,secrétaire,parti
8.41735497550018,huit,jours
5.142460414456327,passe,chose
10.320846994646834,vote,adhésion
7.224922574648296,vote,étrangers
4.088637714950181,lorsqu,était
11.167995506563464,hauts,fonctionnaires
11.975350428621066,conseiller,régional
3.7963628940771947,bruxelles,dire
3.3181974162328842,bruxelles,bien
9.399321052669919,fini,voter
9.713429643097983,violation,grave
7.7148228783978485,rendez,compte
4.614869092964311,justement,pouvoir
6.20373869164797,résultat,élections
8.331494238846343,taux,intérêt
5.542885857584041,redressement,france
5.088637714950178,lesquels,était
9.287294434935808,programme,présidentiel
5.364462295458267,programme,économique
4.408732562385783,programme,front
8.689948209758818,fonctionnement,démocratique
13.823347335176017,fondamentalistes,islamiques
12.560312929342224,générations,futures
8.694064318231051,député,européen
6.877552378435958,voter,socialiste
11.823347335176017,produit,importé
6.661459652799122,faire,remarquer
6.591070324907728,faire,avancer
6.33953155791176,faire,pardonner
6.33953155791176,faire,élire
6.076497152077966,faire,cesser
6.076497152077966,faire,plaisir
5.8838520741355715,faire,économies
5.85410473074152,faire,rire
5.828569638634381,faire,croire
5.828569638634381,faire,réformes
5.7545690571906025,faire,oublier
5.491534651356812,faire,enquête
5.491534651356812,faire,sacrifices
5.076497152077966,faire,disparaitre
4.906572150635656,faire,appliquer
4.61706553344067,faire,payer
4.591070324907728,faire,face
4.552935196020954,faire,baisser
4.552935196020954,faire,gagner
4.2020280341618275,faire,respecter
4.017603463024399,faire,bout
3.9610199346580295,faire,hier
3.947214135132999,faire,peur
3.828569638634381,faire,différence
3.6841797292992045,faire,opinion
2.867043786449015,faire,choix
2.828569638634381,faire,mieux
2.772716403900862,faire,enfants
2.754569057190606,faire,grand
2.6390918397706695,faire,travail
2.5655352328005883,faire,chose
2.461787307962757,faire,petit
2.376057433936875,faire,sorte
2.1038044980737034,faire,quelque
1.8541047307415202,faire,manière
0.6198005011619081,faire,crois
0.4413232054030445,faire,politique
0.32964696897991885,faire,faire
0.1979352795279432,faire,front
-0.1329562135509832,faire,suis
-0.1808906906146852,faire,faut
-0.47039730780967304,faire,plus
5.525666786535332,liste,élections
3.9366346215051298,liste,était
10.363915716538717,lionel,jospin
8.744395993781195,médicale,etat
8.759216997756303,rendent,compte
4.377091105286452,rendent,bien
3.6196730597821567,réalité,réalité
13.823347335176017,couple,franco
5.752958007284617,nation,française
6.459358635455752,municipaux,front
5.0500668101494295,cadre,national
8.349416146843607,lutter,contre
7.41735497550018,abattue,france
7.642775089534197,propre,chef
5.097242733641577,propre,pays
7.299785379119005,nombre,divergences
6.152943990789733,nombre,sujets
5.977857284231643,nombre,qualités
5.59934566097791,nombre,mesures
5.240891690065437,nombre,dirigeants
4.655929189344279,nombre,députés
4.599345660977912,nombre,jeunes
4.178769978157639,nombre,gens
3.9563775568211916,nombre,autres
3.760626568010972,nombre,années
3.694923320960145,nombre,candidats
3.613284851935786,nombre,choses
3.330159028162523,nombre,électeurs
3.2553912597605503,nombre,voix
2.8367151834183595,nombre,pays
1.5718649245558076,nombre,français
5.6993200436825475,république,française
5.292355844939383,république,démocratie
8.64144969206763,toute,série
8.463451390089636,toute,circonstance
8.463451390089634,toute,journée
7.004019771452338,toute,misère
6.178049171227384,toute,histoire
5.908862538411999,toute,façon
5.215523876646049,toute,classe
3.9715982937599588,toute,assez
3.7166012069915855,toute,immigration
