measure,first,second,third
22.161267843181797,monopole,marchés,financiers
13.86034335220549,élection,présidentielle,élection
15.020255533654723,campagne,électorale,européenne
15.006449734129692,campagne,électorale,présidentielle
11.899371963921197,programme,front,national
22.36079930670943,referendum,initiative,populaire
19.43168177938119,jean,marie,chevallier
19.197793719206906,jean,françois,copé
14.47593501743091,jean,marie,avait
17.078041809102746,sera,pire,jospin
15.236582566970679,président,conseil,général
14.102773526778488,président,assemblée,nationale
11.314409463200043,président,front,national
26.06173216963088,couper,pompes,aspirantes
16.86894621037975,avons,places,prison
14.376787814072024,avons,millions,chômeurs
11.667063458492525,avons,plus,moyens
11.009781222538297,avons,certain,nombre
10.34285685467069,intérêts,france,français
17.577916392366625,faire,bout,chemin
13.519022703313055,faire,grand,rassemblement
11.094261819084977,faire,quelque,chose
22.768950420403037,entreprises,pétrolières,gazières
12.85046236344025,front,national,rassemblement
11.780073035548849,front,national,extrême
11.547899593419821,front,national,difficile
11.509425445605185,front,national,raisons
10.161163202904355,front,national,voilà
10.14264311493356,front,national,celui
9.85046236344025,front,national,parti
9.70207052354758,front,national,avait
9.490566418353868,front,national,vrai
9.049993826967889,front,national,avons
9.043107441382649,front,national,dont
9.0307941799438,front,national,front
9.022643338822931,front,national,était
8.69990268686487,front,national,suis
8.543033838248,front,national,ailleurs
7.404206133550684,front,national,bien
13.587427957606451,présidente,front,national
27.383660264518245,couple,franco,allemand
13.676876484405454,rendent,bien,compte
10.08778373453957,ailleurs,certain,nombre
18.45825418137688,sarkozy,ségolène,royal
16.45825418137687,sarkozy,françois,hollande
10.864961933135369,voix,front,national
16.1350210705336,leurs,enfants,école
21.57630534246064,marchés,financiers,taux
21.131520499787744,condamnés,prison,ferme
15.141399165677324,immigration,insécurité,chômage
17.587800981298468,lutter,contre,corruption
19.553937529432183,patriotisme,économique,patriotisme
20.977667904842406,abattue,france,halal
17.595757705126807,deuxième,guerre,mondiale
15.026152245175577,deuxième,tour,élection
16.383707228011822,cinq,millions,chômeurs
13.949998036991165,municipaux,front,national
13.856702614625004,ensemble,classe,politique
12.070777309233886,volonté,peuple,français
10.345884547368257,peuple,français,droit
9.918774215788837,peuple,français,peuple
17.731442686629816,toute,série,propositions
15.657442105186043,toute,misère,monde
13.858354799112043,toute,série,gens
12.727369486936066,pouvoir,achat,français
14.653325996713814,gouvernement,union,nationale
15.283600269113915,bureau,politique,unanimité
13.462570410159234,bureau,politique,bureau
12.57007946152861,veut,dire,quoi
10.4497852278109,veut,rien,dire
9.235660422458054,veut,dire,gens
17.435920522143924,système,protection,sociale
19.661194240047152,priorité,accès,logement
18.924228645880945,priorité,accès,emploi
16.52479118377267,strictement,rien,voir
16.306251087931827,jusqu,dernier,moment
19.898233437348004,sommes,capables,fabriquer
16.475380241403734,droit,vote,étrangers
21.81077059609766,zones,droit,multipliées
17.66895682110922,quelques,dizaines,milliers
24.74623034390295,hommage,mohammed,merah
12.133843861891226,faut,mettre,place
10.251291074171817,faut,dire,vérité
9.247978340130977,faut,bien,dire
17.04381026163362,premier,secrétaire,parti
14.210076812752718,premier,tour,élections
12.761562675006157,premier,ministre,avait
17.61354701857034,national,rassemblement,bleu
8.83968252468701,national,front,national
15.717140354619186,certain,nombre,divergences
14.570298966289922,certain,nombre,sujets
14.395212259731824,certain,nombre,qualités
14.016700636478092,certain,nombre,mesures
13.658246665565617,certain,nombre,dirigeants
13.016700636478095,certain,nombre,jeunes
12.522124372214048,certain,nombre,gens
12.221729438876324,certain,nombre,autres
12.177981543511152,certain,nombre,années
12.112278296460325,certain,nombre,candidats
12.030639827435962,certain,nombre,choses
10.891500079533838,certain,nombre,pays
9.726185494222197,certain,nombre,français
20.031690428717006,aide,médicale,etat
18.4111973573161,coûte,milliards,euros
8.962937092698667,aujourd,front,national
16.300712904390394,objectif,arriver,pouvoir
21.644892427718048,contribution,sociale,importation
25.12062585868445,martinez,serge,félon
13.154450897017245,jacques,chirac,avait
11.57007946152861,quoi,veut,dire
15.742571893579743,tour,élections,présidentielles
14.860343352205497,tour,élection,présidentielle
11.635131943460951,beaucoup,plus,facile
9.658709491035847,beaucoup,autres,gens
18.960754521906054,représentés,assemblée,nationale
14.155593173435495,grande,partie,entre
19.68837396473793,place,protectionnisme,intelligent
15.760559150143894,place,politique,dissuasive
15.146921849785034,classe,politique,médiatique
20.39270540412125,viande,abattue,france
14.708585344132793,assume,assez,bien
21.3127939337986,lundi,après,midi
9.899371963921194,gens,front,national
17.944752927045712,marché,travail,marché
15.21667080915945,grands,partis,politiques
15.531911223102185,somme,toute,assez
16.192518777166235,candidat,présidence,république
10.172390458327616,candidat,front,national
14.011266750427467,entre,milliards,euros
11.481812877955235,entre,français,étrangers
16.824928659094315,trois,quatre,cinq
11.617801606649977,électeurs,front,national
11.17914643185657,suis,quelque,sorte
14.86421784725863,autres,mouvements,politiques
13.384224906139014,autres,partis,politiques
10.63676693815517,autres,certain,nombre
11.485814808512732,avis,peuple,français
12.605850173299139,moment,donné,faut
18.76038840689961,économique,patriotisme,social
19.375792021184907,chine,etats,unis
11.57007946152861,dire,quoi,veut
10.457983750858933,dire,quelque,chose
17.151479206831596,pendant,nombreuses,années
15.120782409608687,pendant,campagne,électorale
14.153096034346884,pendant,trois,mois
14.069501904664989,pendant,campagne,présidentielle
12.113496769274043,dirigeants,front,national
7.794942376109919,bien,vais,dire
6.989168634271845,bien,front,national
11.336318570678255,déjà,certain,nombre
17.69175199715832,main,main,main
11.73550307073598,enfin,veux,dire
18.90419434737804,conseillers,municipaux,front
15.991301097695242,mettre,place,protectionnisme
12.019092163742751,mettre,place,politique
17.87586562431954,référendum,constitution,européenne
17.671247904711077,charge,communauté,nationale
16.955160505432836,immense,majorité,entre
14.957343087256923,candidats,deuxième,tour
10.982565899447593,candidats,front,national
20.646694670352037,contre,trafic,drogues
19.324766575464675,contre,plans,renflouement
14.887361263157377,contre,jean,marie
10.528534268552892,contre,front,national
21.273829610239453,rassemblement,bleu,marine
25.161267843181797,chambre,régionale,comptes
