measure,first,second
8.922141981467815,élection,présidentielle
8.345641059494854,vrais,problèmes
10.133543618886286,retenus,irak
12.54858111816513,giscard,estaing
9.741226196107526,rétablissement,peine
9.489687429111562,mode,scrutin
12.54858111816513,roger,hanin
11.741226196107528,suffrage,universel
5.186637344429888,nationale,française
7.787029885720651,assemblée,nationale
10.963618617443974,nations,unies
4.721503104334634,plan,politique
7.405623164323087,avons,décidé
5.318160323072746,avons,jamais
7.848141400024037,prochaines,élections
7.12037721489491,front,national
9.951645975777897,bande,quatre
5.362054149385687,voix,peuple
7.811615523998924,maire,communiste
9.71207985044801,groupe,droites
7.272456712890893,groupe,parlementaire
9.000144493469085,hommes,femmes
6.345641059494854,hommes,politiques
8.741226196107526,conseil,sécurité
5.031567947937054,conseil,national
4.789247710970468,sommes,aujourd
4.35826257022331,peuple,français
4.102187022630577,peuple,france
6.324579443967027,grand,nombre
9.741226196107528,forces,armées
6.973041871330601,bureau,politique
4.411162983722482,liberté,politique
7.478191790273732,parti,communiste
5.908336181942785,parti,socialiste
8.243496533441181,président,république
5.528064100824617,président,socialiste
12.963618617443974,fausses,factures
10.963618617443974,conscience,universelle
8.656797414946821,communauté,européenne
11.226653023277766,faux,semblants
10.156263695386368,échéances,électorales
9.419298101220164,utile,votez
8.056728021835454,utile,voter
10.078261183385095,suffrages,exprimés
9.182258903919315,second,tour
5.563688010555337,peuples,europe
7.1670381669805465,mitterrand,rocard
8.116735331199731,quelques,jours
7.602162158369973,quelques,semaines
3.4838383534148747,jours,plus
6.526213305136675,autres,nations
5.803747280665581,autres,partis
3.8119677874705555,autres,pays
9.378656116722816,aide,dieu
11.548581118165128,lobbies,internationaux
12.963618617443974,chaban,delmas
10.500218096603732,politico,médiatique
9.46111827691479,problèmes,société
8.068800854136033,libertés,françaises
7.812517490293313,bonne,année
9.176026950207799,françois,mitterrand
10.37865611672282,drogue,sida
10.000144493469085,classe,politico
9.8856161054427,allant,sens
8.973672282107897,élections,partielles
8.26317889930288,élections,législatives
8.594384807778255,accéder,pouvoir
9.156263695386368,grandes,formations
3.5907535573313876,beaucoup,plus
6.7326641826041005,lutte,contre
6.600213886580452,trois,mois
6.078261183385095,trois,jours
10.419298101220164,dizaines,milliers
10.548581118165131,moyen,orient
8.156263695386372,premiers,jours
8.96361861744397,heure,vérité
11.548581118165128,visa,entrée
7.578954767208648,renaissance,française
7.409029765766336,armée,française
5.696051608760936,était,temps
7.046080777635947,dirigeants,socialistes
5.822930837226757,attention,français
9.963618617443974,cesse,progresser
10.811615523998924,franc,massif
7.078261183385095,europe,ouest
5.027635110315128,europe,patrie
5.458468698500841,combat,politique
4.71885838307907,combat,france
10.893229289552572,équipe,ministérielle
7.326188696828682,référendum,nouvelle
11.963618617443974,revenu,maternel
8.089149499527831,mars,1989
11.548581118165128,saint,gobain
6.625748978687589,contre,bagdad
5.973672282107897,contre,terrorisme
3.2334315559088296,contre,front
2.7326641826041023,contre,contre
10.419298101220164,votez,utile
8.893229289552572,campagnes,électorales
3.71885838307907,avenir,france
8.326188696828682,préférence,nationale
8.4717655211143,voter,utile
6.787029885720651,majorité,parlementaire
5.668385389222028,pouvoir,socialiste
6.800388268575668,temps,utile
10.156263695386372,secrétaire,général
9.226653023277766,millions,demi
7.3786561167228175,millions,électeurs
4.559896431392964,millions,français
10.378656116722816,hauts,fonctionnaires
8.641690522556612,ordre,public
10.489687429111562,compétition,internationale
