word,raw_frequency
rétablie,1
appartiennent,2
fonctionnaires,15
brusquer,1
professionnelle,2
mauvaises,1
vivante,1
épaulant,1
accomplir,4
rétablir,5
exprimé,1
mêlées,1
rassemblé,3
vivants,4
accru,3
étranger,5
tixier,1
éprouvons,1
marée,1
bouche,1
séance,4
combier,1
sinistrés,1
rampant,2
également,14
distribuant,2
rompu,2
redeviendrait,1
relèverait,1
privilège,1
pandémie,1
combien,4
hostilités,1
répandues,2
mille,4
koweït,8
totalement,7
assister,2
sanglante,1
affectation,1
déséquilibré,1
écartons,1
résoudre,1
pousser,1
grandiose,1
prolongement,1
fasse,1
annexer,1
appuyés,1
dégrader,1
poigne,1
informe,1
hais,1
réalisés,1
palliatif,1
voté,5
attirent,1
équilibre,6
réalisée,1
comprenons,1
entraver,1
indissociables,1
communs,2
faibles,3
exaspérée,1
indemnité,2
régence,1
rassemble,2
automatique,1
dada,1
diffamée,1
foncière,2
progrès,14
premiers,12
sinon,3
stimulant,1
découlait,1
côtes,1
opposent,1
précèdent,1
novembre,10
souvenir,1
beurre,1
amnistient,2
devoir,18
parvenus,2
sache,5
électoraux,6
venait,2
nationalisme,1
différentes,6
unitaire,1
brice,1
entreprends,1
réagi,1
verrait,1
significatives,1
oreille,1
trompons,1
récusent,1
secrétaire,4
vote,24
applique,1
sensibilités,1
allégresse,2
déplacé,1
limiter,3
limites,3
accumulant,1
compétition,5
sunt,1
résoud,1
évocation,2
ultimes,1
bendjedid,1
belliqueuses,1
médecine,2
mousquetaires,1
laïcité,1
sang,2
enquêtes,1
lyrique,1
guerres,5
tomber,1
tombes,3
attentivement,1
désir,3
sachiez,1
rogner,1
garantir,1
conjurations,1
affecter,1
garantie,1
rature,1
serbie,7
blancs,3
truqués,1
polluées,1
rousseau,1
différer,2
internes,4
information,7
vietminh,1
révélations,2
taire,3
contributions,1
réserve,3
communal,1
effacement,1
rassemblant,2
évidemment,2
véhicule,1
etats,20
courte,2
chiraquien,1
économie,13
prévoyait,1
guerre,31
pertinence,1
respecter,3
lieux,1
camps,2
apres,2
comprenant,1
mourad,1
ores,1
américaine,2
élargissement,1
songe,2
diabolisé,1
misérable,1
chemins,1
américains,3
timidement,1
méprisable,1
prononcer,1
fourniture,1
reconnu,2
indestructible,1
exercice,6
nuit,5
creux,1
comètes,1
fabuleux,1
villepinte,1
occupent,2
estimées,1
comprennent,2
algérienne,1
habituelle,1
crises,1
réservé,5
décemment,1
inventorier,1
prônée,2
partisans,7
juges,2
juger,3
prospection,1
exigeons,2
résulter,1
dissimuler,2
profession,2
changera,1
subversifs,1
globale,3
inter,2
conformiste,1
mosquées,1
riposte,1
audience,4
noyés,1
possibles,4
excellence,1
comprendre,5
empire,1
leçons,1
volonté,26
georges,2
irakophiles,1
fort,12
durer,1
dures,2
bourrasque,1
moulins,1
grandir,1
fureurs,1
arrestations,1
sondages,11
invite,6
cloaque,1
dirigeante,1
nouvellement,1
verraient,1
sachant,2
résolument,1
capital,5
phocéenne,1
puisque,20
partisan,1
créent,1
discutent,1
dérive,1
spéciaux,1
préciser,5
hasard,3
prendrez,1
payé,1
honorer,2
tardez,1
télévisés,1
entendent,2
national,157
vider,1
montesquieu,1
candidature,4
libanaise,2
bandes,1
boursière,2
connivence,1
voulez,1
félonie,1
désirable,1
hémicycle,1
eviter,1
prospectives,1
définisse,1
enthousiaste,3
mondiste,7
académie,1
genre,5
appétit,1
intense,1
rhabillera,1
modique,1
oreilles,5
livraisons,1
extraordinaire,4
répression,4
alpinistes,1
extension,3
embargo,1
muette,2
veuille,1
insurmontables,1
églises,1
restiez,1
féodalités,2
exempt,1
observateur,1
évacuation,1
recevra,2
travaillent,2
referendum,1
laissez,1
mobilisons,1
listes,12
majorité,28
voyons,4
impressionnant,1
essentiellement,3
constamment,7
allée,2
verrou,1
parisiens,4
misère,8
giresse,1
zélé,1
radical,1
compatriotes,19
vêtements,1
prêcher,2
calais,2
disant,2
désuet,1
parmi,19
redoutaient,1
palmarès,1
retombé,1
entendu,11
entends,2
fusillade,1
clivages,1
professent,1
minarets,1
événement,2
couronne,1
bâtisse,1
cimetières,1
soutenir,5
salaires,1
courage,15
onusienne,1
prendrait,1
délimite,1
cresson,2
humain,5
clôture,1
décide,1
contrôlée,2
bourreaux,1
scrupules,3
compromis,2
représentées,1
magouille,1
passionnels,1
musée,1
familles,15
prédominantes,1
accroîssant,1
putsch,1
inscrit,2
rendait,1
votée,1
sentences,1
raison,15
meurent,1
alimenter,2
défende,1
surface,1
ensemencée,1
autorité,4
urbi,1
alacrité,1
travail,25
agro,2
grandi,1
bloch,1
néfaste,3
grande,34
ouverture,3
retenu,1
succomber,1
edgar,1
abandonner,4
grands,14
détail,4
parlait,1
prévu,3
guère,8
placement,1
étrange,1
impudemment,1
émissaire,1
pédagogiques,1
pensent,2
adhérent,2
tardives,3
entrer,2
pose,3
électeur,5
oblige,1
versatilité,1
serrer,2
décidé,8
industrie,2
frise,1
paradoxal,1
renvoyés,1
lorrain,1
droits,15
taëf,1
petto,1
éliminatoires,1
condamnables,1
premières,3
engendré,1
contribuer,2
ardents,4
1985,4
1984,3
1986,11
1981,5
mettent,2
1983,2
1982,2
terrains,1
baumann,1
gaspillage,2
choisir,2
réformateurs,1
élèves,3
déposer,5
trinité,1
européennes,21
surveillance,2
mènerons,1
texte,2
symbole,2
contexte,1
empêcher,1
supérieurs,1
préconise,3
tournure,1
déclarant,2
convenait,1
supérieure,2
blason,2
meurtriers,3
paribas,5
empiéter,2
multiplié,3
centrales,2
bastille,2
construction,4
paranoïa,1
remède,1
réprouvé,2
reconstruire,1
fabien,1
arpaillange,3
tourne,1
complexe,2
femmes,9
modification,2
inconvénient,1
ipsos,1
droitière,1
sociales,7
navrant,2
août,2
participer,6
système,19
sénat,4
impuissant,1
apportent,2
fonds,4
donnait,1
particulier,4
orient,11
chantier,1
rapide,5
revanche,7
combattue,1
pantin,1
augmenté,1
progressivement,2
posent,2
assouvir,1
ceci,3
natalité,3
clouait,1
expression,9
atelier,1
approbation,2
élite,3
devoirs,1
abolition,2
surhumain,1
immortels,1
tantôt,2
fringale,1
accéder,3
demandaient,1
préconisé,2
farouche,1
refuser,2
sérénité,1
refusez,2
panier,3
asile,1
arriveraient,1
tourné,1
hiver,1
suez,1
principales,3
juifs,4
diplomatiques,1
populaires,7
désastreuse,3
commandent,1
local,5
symboliser,2
condamnations,1
bernard,3
accompagné,1
favorisent,1
satisfactions,3
nécessite,1
enragent,2
milieu,5
détracteurs,1
musulman,1
ouvrières,1
trouvons,1
reculé,2
saluer,1
élections,26
désordre,3
sérieuses,1
accusation,1
provocateurs,1
appliquer,2
clause,1
augmente,1
monétaire,1
cour,6
coup,9
étonner,3
autant,28
provocation,2
