measure,first,second,third
20.245413194914203,jean,pierre,stirbois
19.43182631914508,immigration,tiers,mondiste
18.133904879697212,partis,bande,quatre
18.471910014583386,toute,classe,politico
19.56734128980156,rétablissement,peine,mort
10.487391925182333,contre,front,national
12.200735220160656,plus,grand,nombre
10.167349051666108,plus,nombreux,plus
10.167349051666108,plus,plus,nombreux
20.741370689576613,classe,politico,médiatique
16.821813682131932,lutte,contre,terrorisme
18.43538413855827,voter,utile,voter
18.615362804664507,lettre,jean,marie
12.18783164332342,élus,front,national
10.924797237489628,amis,front,national
20.830375695635354,invasion,tiers,mondiste
10.874948688039069,front,national,avons
10.79551422054466,front,national,parti
20.060988623776772,utile,votez,utile
12.407928606672208,quelques,jours,plus
15.799386173436112,premier,tour,présidentielle
23.074794423301803,garde,sceaux,arpaillange
18.415338196356508,référendum,nouvelle,calédonie
11.664269687266408,autour,front,national
19.868343545834378,groupe,droites,européennes
