délinquance criminalité
soyons sérieux
boîte postale
circonstances exceptionnelles
hauts fonctionnaires
jusqu présent
gaïa intervenus
bande quatre
jean marie
serge félon
grand orient
commission investiture
conseil constitutionnel
quelque sorte
certain nombre
martinez serge
vème république
congrès extraordinaire
mettre place
deuxième tour
élections européennes
moment donné
campagne électorale
parti socialiste
premier tour
prendre place
mort préfet
extrême gauche
premier ministre
martinez félon
monde sait
avons invités
bruno mégret
trois mois
temps travail
bureau politique
hommes politiques
plus grave
président commission
dois dire
président république
front national
partis dont
peux dire
suis obligé
bataille politique
vais dire
national arrive
temps temps
trois président
avons toujours
politique française
amis mégret
dont ailleurs
beaucoup plus
mégret amis
bien aurait
bien évidemment
président front
faut bien
suis président
plus plus
bien jour
gens front
politique politique
bien dire
