etats unis
vieille garde
pieds noirs
bouches rhône
jean marie
conseillers régionaux
jacques chirac
préfère battu
noirs harkis
jusqu présent
somme toute
toutes séances
premier ministre
hommes politiques
tête liste
quelque sorte
millions habitants
strictement rien
campagne électorale
certain nombre
dernières élections
parlement européen
députés européens
quelque chose
partir moment
peuple serbe
élection européenne
élections européennes
conseil général
quelques jours
millions demi
rien voir
mois demi
élections présidentielles
dois dire
demi voix
front national
suis fier
personne dont
bureau politique
président conseil
président république
vais dire
était première
ailleurs façon
sais bien
dont suis
contre front
président front
faut bien
suis président
crois crois
bien bien
bien dire
bien suis
