jean paul
cancer prostate
espace charenton
services publics
milliards francs
etats unis
petits groupes
balle camp
économiques sociales
conseil administration
secrétaire général
conseil régional
zone euro
paris espace
avais deviné
toute série
sécurité sociale
élection présidentielle
économique social
élections présidentielles
campagne électorale
deuxième tour
jusqu présent
premier rang
réformes nécessaires
assemblée nationale
place opéra
guerre civile
immigration massive
grand meeting
présidence république
élections européennes
grande partie
hommes politiques
premier ministre
front national
rôle important
dont voyons
partir moment
partis politiques
quelque sorte
jacques chirac
pose question
parlement européen
certain nombre
mois après
trouve scandaleux
président république
millions étrangers
moment donné
santé président
assez normal
mettre place
quelque chose
temps temps
faire club
constitution européenne
sais rien
dois dire
beaucoup mieux
réponse peuple
après guerre
plus enfonce
millions voix
homme politique
millions électeurs
pays européens
gens banlieues
gouvernements français
trouve assez
suis présent
faut savoir
politique française
plus grave
peuple français
faire réformes
plus grand
veut dire
vais dire
était villiers
autres pays
voudrais dire
autant plus
nombre autres
gouvernement français
bien évident
bien voir
nombre gens
bien évidemment
pouvoir faire
crois peur
européens bien
voulez faire
faut dire
crois savoir
voilà crois
faut faire
beaucoup plus
sera plus
bien écoutez
problème bien
sait bien
europe plus
crois déjà
voulez bien
faut bien
pense français
dire était
faire europe
crois faut
bien faut
europe bien
crois crois
dire suis
bien crois
plus suis
france plus
plus plus
bien dire
