fabius strauss kahn
avez oublié gouvernait
bompard bompard bompard
installation jeunes agriculteurs
unanimité majorité qualifiée
pensent avez oublié
passer unanimité majorité
mesure intérêt général
tour élection présidentielle
soit milliards francs
premier ministre villepin
droit vote étrangers
français origine étrangère
milliards euros 2005
référendum constitution européenne
sarkozy ségolène royal
première guerre mondiale
front national vive
école nationale magistrature
certain nombre gens
faut faire cesser
crois certain nombre
hommes politiques français
politique économique sociale
plus plus nombreux
faut bien dire
