dotation rurale équité
ultra libéralisme mondialisé
corruption politico financière
lire écrire compter
demain rase gratis
émeutes novembre 2005
appel offre alimentaire
charge cotisations salariales
mère arts armes
législatives juin prochains
équité sociale dres
doivent garder souvenir
amis militants sympathisants
rupture contrat préférence
réservées familles françaises
institution droits douane
compensation dette agricole
création revenu parental
éducation civique morale
impôt revenu impôt
rurale équité sociale
vents concurrence mondiale
dégradation pouvoir achat
respect ordre naturel
dumping monétaire social
statut juridique social
dette publique réelle
matin paysans arrive
logement aides sociales
géographie histoire religion
élections législatives juin
pouvoirs publics successifs
rmistes millions titulaires
baisse salaires travailleurs
millions crimes délits
juridique social mère
pouvoir achat consommation
hausse pouvoir achat
vrai bilan démographique
cinq dernières années
oeuvre libre circulation
tour élection présidentielle
vivent euros mois
économique social culturel
entré millions immigrés
contre immigration clandestine
national union patriotique
économique retour croissance
amis chers camarades
jours premier tour
deuxième tour élection
partis gouverné france
deuxième guerre mondiale
mesures prendre paris
chers amis chers
chers camarades chers
lutter contre immigration
droit vote immigrés
libre choix temps
voulu faire hier
défense sociale nouvelle
militants front national
président république chef
ainsi pouvoir achat
mettre oeuvre grand
millions vivent euros
vive nation vive
millions travailleurs pauvres
front national assemblée
préférence nationale emploi
décidons plus mêmes
députés front national
demain voulu faire
électeurs front national
éducation leurs enfants
choix temps travail
croissance plus faible
front national vive
vive front national
ministre éducation nationale
sarkozy bayrou royal
suis seul candidat
année après année
vive france vive
salaires travailleurs français
royal sarkozy bayrou
sarkozy royal bayrou
euros mois millions
mois plus tard
plus important celui
millions français vivent
peuples européens plus
national vive france
seul pays monde
faut bien dire
