banque centrale
vieux continent
pupille nation
processus construction
attendez attendez
joue rôle
mettre péril
pensée unique
etats unis
milliards euros
parti socialiste
êtes train
traité lisbonne
entrée turquie
parlement européen
général gaulle
pouvoir achat
mettre oeuvre
quinze jours
sommes obligés
année prochaine
avons subi
pouvoirs publics
conseil constitutionnel
immigration massive
monde entier
campagne électorale
compte tenu
deuxième guerre
liberté expression
immigration masse
assemblée nationale
préférence nationale
chef etat
vice premier
quelque sorte
près quatre
politiques économiques
grave crise
guerre mondiale
peine mort
élections législatives
connu parti
certain nombre
quelque chose
irlandais traité
ministre intérieur
élections présidentielles
jours jours
assez banal
europe fédérale
centrale européenne
premier ministre
faut regarder
suis pupille
traité constitutionnel
élections européennes
avons perdu
présidence française
commission européenne
union européenne
front national
parle parle
économique sociale
élections cantonales
nicolas sarkozy
président république
constitution européenne
faut aller
dois dire
français néerlandais
classe politique
aurais faire
millions voix
politique américaine
campagne élections
vais faire
présidence république
plus tard
beaucoup autres
bien évident
peuple français
nombre gens
soit celui
vrai avons
écoutez suis
suis seul
autres gens
bien évidemment
savez suis
plus loin
puisque suis
faut dire
puisqu bien
quatre plus
dire tant
dire vérité
pays monde
crise politique
ailleurs faut
suis assez
politique française
président front
abord france
pendant plus
crois faut
français abord
beaucoup plus
sarkozy avait
politique européenne
faut bien
suis président
plus millions
france europe
france français
bien dire
soit plus
plus conséquent
crois crois
dire français
plus pays
plus plus
crois plus
