word,raw_frequency
atlanto,1
sinistrés,1
méritent,1
déchets,1
fameux,1
écoute,1
acquis,2
ouvreur,1
africains,1
autoproclame,1
coeurs,1
déclarer,1
comprendre,1
maghreb,1
chèrement,1
joindre,1
bénéficie,1
écarte,1
massive,7
compris,5
qualificatif,1
petit,16
workers,1
maladie,2
utiliser,1
circonstances,4
injustice,1
internes,1
doutent,2
représente,3
sacrifices,1
déchirent,1
parliez,1
vive,6
barrières,1
préoccupe,1
quelque,24
incapable,1
souche,2
unique,5
handschutz,1
rapport,4
obligations,1
explique,2
donnent,2
efforts,3
pacifique,1
augmenter,6
régler,1
assistances,1
attention,1
électorales,1
parfois,3
formes,2
tournure,1
alourdir,1
adoptent,1
fortune,1
feignons,2
reçoit,1
commissaire,3
automobile,1
consacré,1
travaux,2
réellement,2
multipliées,1
agonisent,1
servilement,1
avocat,1
vendu,1
compagnies,1
fallait,3
mars,2
passe,12
échelle,1
contribuable,2
réelles,1
réclamant,1
autres,23
compétent,2
huitième,1
communauté,1
écarté,1
souffrances,1
tibet,1
éditoriaux,1
nationalité,5
impuissant,1
domaines,2
sordide,1
traité,6
antenne,2
vertu,3
heure,7
positions,2
précisent,1
invités,1
pensants,1
glisser,1
économie,11
mondiales,1
corollaire,1
européenne,14
mauvaise,1
dite,1
vols,3
détachent,1
guerres,1
rendent,3
idéologie,4
manipule,1
modeste,1
papes,2
réponse,5
embelli,1
trouverai,1
sociétés,2
béats,1
muet,1
chaussures,1
capables,1
algérie,4
dissuadés,1
gratifie,1
êtes,1
socialiste,10
personne,9
risibles,1
refiler,1
membres,1
question,12
éviter,5
total,2
efforcent,1
parlez,3
passé,1
dilapidé,1
critiquer,2
sujets,1
parler,7
imprescriptible,1
manœuvres,1
absolue,2
pénal,1
pandémie,2
menteur,2
fermé,1
perdent,4
masse,3
crédit,1
habituellement,2
exsangue,2
rangées,1
tabou,3
caricature,1
indépendance,9
partant,1
figure,3
pèsent,1
filiation,1
réel,1
patrimoine,4
abandonnés,1
satisfaits,1
confié,1
espérance,1
azimuts,1
envisage,3
arrestation,1
contagion,1
martyre,1
humanisme,1
partent,1
trois,7
bernadette,1
targui,1
diner,1
abolies,1
restera,2
impérissable,1
bonimenteur,1
voulez,3
outing,1
carpentras,7
dangereuse,2
continuent,2
ennemi,2
patronat,2
transports,2
catégorie,1
promouvoir,1
resigner,1
bénéfice,2
passerons,1
majorité,7
trébuchantes,1
besoin,2
xénophile,2
nécessité,3
appuie,1
porc,1
absence,4
puissants,2
gâtés,1
renie,1
passaient,1
régionale,2
domaine,5
nourriture,2
eaux,2
deum,1
discipline,1
contrainte,2
pistes,2
souveraineté,4
matériel,1
ferme,2
arrive,1
mystérieux,1
assemblée,1
rente,1
allemande,2
pierre,2
gauchiste,2
production,4
mécontentement,1
villes,6
catastrophistes,1
apparaitre,1
lourde,2
locaux,3
seul,13
oublié,3
percuté,1
aime,2
intégrée,1
riches,1
majoritairement,1
unis,9
trouver,3
rechercher,1
journalisme,1
matière,5
retrouvée,1
cinéma,2
climatisme,1
clairement,2
carte,2
erreur,2
violemment,1
raisonnable,2
revenons,1
borgne,1
défroque,1
poils,1
sciemment,1
petites,3
reiss,1
revus,1
principales,1
tenus,1
lisbonne,2
établie,2
marchepied,2
responsables,5
efficaces,2
islamistes,1
correspondent,1
françoise,1
religion,9
alsace,1
corrompus,1
limites,1
épreuves,1
intégration,5
histoire,9
exigent,1
française,20
camarades,9
claires,4
affirmations,1
accomplir,1
johnson,1
compétence,2
martinique,1
perdus,1
intenterait,1
montrent,1
appauvrissement,1
déposer,1
sncf,1
truqués,1
ultra,6
naturel,1
duflot,1
renseigner,1
frontières,18
dessus,1
tergiverse,1
gaudin,1
étant,3
fruits,3
euromondialiste,5
entier,1
traîtres,1
enfin,17
aurait,4
impôts,3
erreurs,1
souveraine,1
délais,1
aurais,1
chercher,2
egrenez,1
consentent,1
homoncules,1
souris,1
signer,1
avion,1
européen,10
brève,1
écrasé,1
racistes,1
aspiration,1
printemps,6
12697,1
régulièrement,2
géographiques,1
généralement,2
agissait,1
écologiste,1
chaise,2
vaincre,1
réagir,2
terroirs,1
médicales,1
continue,6
premier,9
perte,3
bureaucratique,1
vigoureux,1
tard,8
fermetures,1
ascèses,1
manifesté,1
opéra,1
économiques,5
étendue,1
torrent,2
parmi,2
effectivement,1
poussé,1
bulles,1
rétablis,2
rétablir,2
prison,6
rétablit,1
combien,1
explosion,2
1422,1
organisé,1
auraient,3
lever,1
lorsque,5
1958,2
rétablie,2
récemment,3
groupes,1
revenir,9
flotteur,1
éloigné,1
science,2
organiser,1
incendies,1
patriotisme,1
majeur,1
renforcé,1
natalité,1
dérangerait,1
diplomatie,2
officier,1
chape,1
rentrer,4
candidat,4
respect,3
précédés,1
temporel,1
polanski,3
territoires,3
moyennant,1
lignées,1
vague,2
violer,1
renoncer,1
prospère,1
combattu,1
prospères,1
apportées,2
culot,1
souhaitais,1
précédent,5
bouleversent,1
hypothèse,1
expérience,3
contact,2
paquebot,1
jeunes,10
réforme,1
écrasantes,1
pillant,1
aident,1
rester,5
extérieures,1
passée,2
promettent,1
surprendre,1
indien,1
correct,2
excellent,1
violence,5
amener,1
modérée,1
radiations,1
triste,1
agriculteurs,1
remèdes,1
sortir,2
présentation,2
comités,1
foire,2
pollution,1
détail,1
analysait,1
occuperai,1
mâles,1
politiques,12
sortie,1
nationaux,6
naturalisé,1
correspond,1
généralisant,1
beau,1
immigrés,22
particulière,1
crédits,1
rendre,3
abandonné,1
immigrée,1
champ,1
ouvertes,1
aquatiques,1
distinction,1
financières,2
billets,1
dissuadant,1
tours,1
affectueuse,2
modéré,1
exécutées,2
date,5
souhaitable,2
mutation,1
suit,3
suis,38
discriminé,1
proportions,1
vitesse,1
rodomontades,1
disparus,1
rome,3
profiter,1
gauche,19
rapprochement,1
muée,1
annihilant,1
basket,1
perdu,5
scandale,5
département,1
ferons,1
responsabilité,1
touchant,1
flambée,1
succès,1
marchand,1
insultes,1
principe,7
dénigre,1
bénéficier,2
autrui,1
choix,3
abouti,1
répression,1
livrer,1
fregoli,1
dray,1
soucis,3
réussi,1
semble,7
journalistes,1
franciliens,1
dénationalisation,1
courants,1
1519,1
attitude,1
lesquels,2
places,3
criminelles,1
déboucher,1
gagné,2
démocratie,2
anniversaire,1
chemin,1
développer,1
renflouées,1
levier,1
déterminée,1
permanent,1
avenir,8
atteints,1
lorraine,2
prioritairement,1
banlieue,1
amende,1
caves,1
code,1
formule,2
besson,7
mortel,1
requiem,1
discerner,1
verts,1
pensée,9
massif,3
sociale,16
effacement,2
ronde,1
édifiée,1
créations,1
intrigants,1
puisque,16
obligé,2
chouan,1
sommes,18
trésorerie,1
dépression,2
élément,2
péremptoires,1
reprend,1
insupportable,4
hebdomadaires,1
festival,1
tertiaire,1
menées,1
rappeler,3
agricole,1
manquants,1
mobilisent,1
provocation,1
restent,2
diverses,1
meilleurs,1
empêcher,3
ferait,3
manipulation,1
progressistes,1
contribuables,1
finissait,1
technologies,1
période,4
indemnités,1
ravi,1
provoque,1
assure,1
constate,4
probablement,2
oligarchie,2
mission,3
eurocrates,1
considérablement,1
noir,2
importateur,1
assassinée,1
assister,2
illégaux,3
grandissant,1
exotique,1
exigeaient,1
provoquer,1
présenteront,1
cabrette,1
lobbies,1
ferveur,1
volonté,6
remarquablement,1
pactole,1
actions,3
indignations,1
devienne,2
fasse,4
modération,2
etablissement,1
transféré,1
interrogeait,1
crises,1
climat,1
tirent,1
gens,29
instant,1
syndicats,9
habituer,1
homosexualiste,1
légumes,1
payés,1
inhumaine,1
habituel,2
réélu,2
actuelle,2
aide,3
logique,1
ouen,1
doctrine,1
souhaite,5
adhérents,2
monstrueuse,1
exposés,1
leva,1
éliminé,1
choisiront,1
poursuivre,1
titiller,1
honneur,7
tomates,1
1431,1
normales,1
traditionnelle,2
renaissance,1
écoles,2
écoutez,15
membre,2
records,1
invite,1
gravement,1
épargnées,1
porter,1
provoqué,4
minorités,2
perçoivent,1
handicap,1
antagonistes,1
glosent,1
célèbrent,1
droit,26
veuves,1
dites,2
abandonnent,1
martiniquais,1
radios,1
dénoncé,1
cercueil,1
handicaps,1
emprunté,1
européennes,8
multiplier,1
resterai,2
sarkozy,37
poisson,1
venu,5
citoyen,2
combat,4
participé,1
dresser,1
élitisme,1
publique,8
capeluche,1
carpentrassiens,1
cocus,1
pures,1
nouvelle,11
étrangère,7
jeunesse,2
mobilisation,3
légères,1
débatte,1
parfait,1
nécessairement,1
libérales,1
cynique,1
caractères,2
dramatiques,1
parvenus,1
risques,4
convention,1
armure,1
inquiétante,2
imposer,5
réduisant,2
faisant,1
matérialiste,2
paysans,2
empêché,1
ministère,5
humidité,1
famine,2
dominique,1
politique,58
dénationaliser,1
monde,37
séparer,1
rapatriés,1
filtres,1
kiosque,1
moraux,1
admis,1
heures,3
fournissant,1
résultat,1
tissu,1
amendement,1
destinées,1
livrant,2
dirais,9
coûts,2
anges,1
suffisante,1
dirait,1
concrètes,1
fausse,3
ayant,5
g158,1
accentuent,1
populations,3
exigences,1
hostile,6
conscience,2
entrées,1
