measure,first,second
6.479697788966001,pose,problème
9.094407633081207,jean,marie
9.287052711023605,chers,amis
6.591907292552025,dois,dire
9.287052711023604,compte,tenu
4.733926297424453,parti,politique
6.550087116857399,faut,supprimer
4.039125197580017,faut,bien
3.8720152117447615,faut,faire
7.094407633081209,suis,député
6.509445132360052,suis,accord
9.187517037472688,certain,nombre
8.924482631638895,partir,moment
8.509445132360053,élection,présidentielle
5.884954267452259,pays,musulmans
3.679370133802365,crois,crois
7.924482631638896,millions,étrangers
5.722848770469245,beaucoup,gens
7.03551394402764,premier,ministre
10.509445132360053,gaudin,pacha
9.450551443306484,quelque,sorte
9.509445132360053,conseiller,régional
6.499461043787431,équipe,france
4.412583593107463,plus,jamais
2.064660289687156,plus,plus
8.287052711023605,voilà,bourdin
6.8924722367362765,front,national
9.772479538193846,mettre,entrée
7.743910385997076,président,république
5.8914675744109335,président,sarkozy
4.733926297424453,président,front
9.035513944027642,faudrait,mettre
8.450551443306484,aurez,droit
9.679370133802365,député,européen
7.094407633081209,candidat,présidentielle
7.050013513722756,aurait,jamais
9.287052711023605,ores,déjà
8.509445132360053,écurie,présidentielle
5.7020902103024484,problème,immigration
9.035513944027642,avais,trouvé
8.772479538193846,ligue,nord
