écarter candidatures fantaisistes
bernard henri lévy
grosses capitalisations boursières
nathalie kosciusko morizet
signe religieux ostentatoire
dépôt banques spéculatives
2000 lionel jospin
grandes compagnies pétrolières
équivalent ville rennes
retour monnaies nationales
effectifs police gendarmerie
salariale cotisations sociales
vents mondialisation sauvage
hommage mohammed merah
compatriotes métropole outre
droits douane ciblés
élections cantonales mars
part salariale cotisations
suppression aide médicale
défense intérêts électoraux
syndicat défense intérêts
classes moyennes descendent
utilisée grand patronat
groupes politico religieux
banques dépôt banques
mauvaise dépense publique
combien mohamed merah
faire objet publication
proposé république référendaire
contribution sociale importation
rassemblement bleu marine
etat collectivités territoriales
seul souverain légitime
citoyens part entière
maires petites communes
chèque premier logement
delà certain montant
centaines milliers clandestins
constitution européenne 2005
compatriotes zones rurales
abattue france halal
banque centrale européenne
ouverture totale frontières
monopole marchés financiers
décider entre maintient
gagner allons gagner
étranger chers internautes
concurrence internationale déloyale
plus grosses capitalisations
candidat rassemblement bleu
étais contre intervention
viande abattue france
classes moyennes populaires
populaires classes moyennes
contre mariage homosexuel
peser baisser salaires
chers compatriotes métropole
jean françois copé
peser baisse salaires
obtenir nationalité française
aide médicale etat
novembre 2011 contre
bleu marine candidat
coût sortie euro
outre étranger chers
sécurité première libertés
france prêter trésor
vive république vive
référendum constitution européenne
souverain légitime peuple
priorité accès logement
chômeurs millions pauvres
unes après autres
place protectionnisme intelligent
cinq millions chômeurs
attendent logement social
patriotisme économique patriotisme
entre maintient territoire
après affaire merah
accès logement emploi
banque france prêter
accès logement social
marine candidat socialiste
banques marchés financiers
priorité accès emploi
candidature élection présidentielle
mettre droits douane
jusqu dernier moment
droit vote étrangers
racisme anti français
toute série propositions
compte tenu situation
toutes aides sociales
politique dissuasive immigration
système protection sociale
charge communauté nationale
toute série mesures
millions chômeurs millions
place politique dissuasive
main main main
franc euro veut
doivent faire objet
élever leurs enfants
petites moyennes entreprises
pendant campagne présidentielle
pendant trois mois
économique patriotisme social
candidate élection présidentielle
strictement rien voir
politique agricole française
suis seule vouloir
avez monde meilleur
tour élection présidentielle
avons millions chômeurs
contre concurrence déloyale
augmenter pouvoir achat
donner droit vote
front national aurait
ensemble classe politique
front national parti
après élection présidentielle
certain nombre années
autres grands candidats
déjà certain nombre
français attendent logement
mettre france abri
chers compatriotes chers
concurrence déloyale pays
grande partie entre
échec nicolas sarkozy
président république avez
nicolas sarkozy ministre
millions demi français
moment donné faut
mettre place priorité
beaucoup plus proches
sarkozy françois hollande
certain nombre gens
donner pouvoir achat
certain nombre temps
argent public faut
vais mettre place
république vive france
vive france chers
toutes forces france
sentent beaucoup plus
contre front national
nation etat nation
nicolas sarkozy françois
marchés financiers bien
projet contre projet
ailleurs certain nombre
nicolas sarkozy vision
dire quoi veut
quoi veut dire
veut dire quoi
certain nombre pays
plus rien offrir
gouvernement nicolas sarkozy
pouvoir achat français
veux mettre place
bien chers compatriotes
avons plus moyens
france chers compatriotes
sert plus rien
veut rien dire
français toute série
hollande nicolas sarkozy
france rurale france
plus niveau etat
nicolas sarkozy avait
mettre place politique
enfin veux dire
nicolas sarkozy jamais
enfants france doivent
nicolas sarkozy était
france chers amis
nicolas sarkozy pouvoir
faut dire vérité
plus plus importants
plus grand nombre
liberté peuple français
dire vérité français
faut bien dire
nicolas sarkozy faut
dire nicolas sarkozy
peuple français droit
sarkozy veux dire
bien vais dire
france nicolas sarkozy
sarkozy faut bien
