measure,first,second,third
18.154420363951076,mettre,œuvre,atteindre
16.355333057877072,mettre,place,protectionnisme
19.032741807362825,secrétaire,parti,socialiste
16.010373994334373,contre,mondialisation,sauvage
10.51535361892601,contre,front,national
13.454868731427986,faut,mettre,place
10.277425760701664,faut,bien,dire
15.8686658816172,strictement,rien,voir
24.535242147892006,groupes,politico,religieux
23.190593976504562,chambre,régionale,comptes
18.103131135254223,millions,demi,entre
12.183566709610592,beaucoup,autres,pays
20.512522071391924,immense,majorité,homosexuels
17.306423457396125,promesse,mettre,œuvre
17.74454456978801,œuvre,patriotisme,économique
23.605631475783404,rassemblement,bleu,marine
12.80372915410235,front,national,extrême
11.465312936426415,front,national,avait
10.567192550445629,front,national,pense
12.67681704162013,idées,front,national
18.19539214500739,conseillers,municipaux,front
13.924744555063715,candidat,front,national
18.103131135254223,demi,entre,avaient
21.66703202044755,seconde,guerre,mondiale
15.323624198149735,absolument,aucun,problème
11.987919143506673,veut,dire,quoi
14.169857052900252,municipaux,front,national
20.02428022861463,jean,marie,chevallier
17.772741461618665,jean,françois,copé
19.950279647170852,ouverture,totale,frontières
15.595336495055525,lutte,contre,mondialisation
21.02066897506225,armes,destruction,massive
14.737117551887943,sarkozy,françois,hollande
15.16061662991498,certain,nombre,années
14.260152303465894,certain,nombre,autres
16.137346850592134,plus,millions,demi
8.958960270401626,plus,front,national
12.481122394823839,politique,commissaire,politique
12.352227147009256,pays,union,européenne
18.1726720685073,parle,journalistes,parle
18.71810620504182,dissolution,assemblée,nationale
19.032741807362825,premier,secrétaire,parti
13.197142505940096,ailleurs,certain,nombre
18.94029555859823,place,protectionnisme,intelligent
12.60281646017635,projet,front,national
16.031984288290083,tour,france,oubliés
20.883165451312315,celles,allons,gagner
16.024619247542496,assume,assez,bien
16.066472664675373,rester,union,européenne
21.09783683558471,concurrence,internationale,déloyale
13.978325595268565,gouvernement,union,nationale
15.094669556506027,nicolas,sarkozy,françois
20.160699426841227,referendum,initiative,populaire
12.196240539645704,entre,citoyens,français
