year	document			tokens	types	density
1) 1997	1997	?	1969-12-31 16:00	2,578	941	365.0
2) 1998	1998	?	1969-12-31 16:00	16,461	3,138	190.6
3) 1999	1999	?	1969-12-31 16:00	13,523	2,807	207.6
4) 2000	2000	?	1969-12-31 16:00	1,443	577	399.9
5) 2001	2001	?	1969-12-31 16:00	3,908	1,159	296.6
6) 2002	2002	?	1969-12-31 16:00	34,253	4,986	145.6
7) 2003	2003	?	1969-12-31 16:00	11,356	2,529	222.7
8) 2004	2004	?	1969-12-31 16:00	3,758	1,044	277.8
9) 2005	2005	?	1969-12-31 16:00	3,944	1,128	286.0
10) 2006	2006	?	1969-12-31 16:00	39,321	7,390	187.9
11) 2007	2007	?	1969-12-31 16:00	76,335	11,155	146.1
12) 2008	2008	?	1969-12-31 16:00	6,394	1,589	248.5
13) 2009	2009	?	1969-12-31 16:00	9,535	2,829	296.7
14) 2010	2010	?	1969-12-31 16:00	3,240	1,274	393.2
15) 2011	2011	?	1969-12-31 16:00	101,379	10,750	106.0
16) 2012	2012	?	1969-12-31 16:00	120,887	11,829	97.9
17) 2013	2013	?	1969-12-31 16:00	23,392	4,518	193.1
18) 2014	2014	?	1969-12-31 16:00	3,458	1,212	350.5
