mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
1er,adj,1,1,,,,1,,,,,1,,,,,
absent,adj,6,3,3,,3,3,,1,2,,2,1,,,,
absolu,adj,27,9,12,6,10,10,7,3,6,1,4,2,4,2,4,1
absurde,adj,28,15,10,3,13,14,1,8,4,1,7,5,2,,1,
acceptable,adj,5,3,2,,,4,1,,,,2,2,,1,,
actuel,adj,24,12,9,3,8,15,1,5,3,,6,6,3,1,,
adhérent,adj,1,,1,,1,,,,1,,,,,,,
administratif,adj,23,14,9,,3,20,,2,1,,12,8,,,,
affaire(d'),adj,11,3,4,4,3,5,3,2,1,,1,1,3,,2,1
affaire(l'),adj,23,8,11,4,11,7,5,6,2,3,2,5,,,4,1
africain,adj,6,4,2,,2,4,,1,1,,3,1,,,,
afrique(l'),adj,5,1,1,3,2,3,,,,2,1,1,1,,,
âgé,adj,28,10,17,1,1,26,1,1,,,8,17,1,1,,
agricole,adj,12,1,9,2,1,7,4,,1,,1,4,2,,4,
al(qu'),adj,8,1,7,,1,6,1,,1,,1,5,,,1,
alimentaire,adj,10,8,2,,,8,2,,,,6,2,,2,,
allemand,adj,15,3,7,5,5,6,4,1,4,,1,1,4,1,2,1
alternatif,adj,8,7,1,,3,4,1,3,,,3,1,,1,,
alternative(l'),adj,5,3,1,1,,5,,,,,3,1,1,,,
américain,adj,20,12,4,4,7,12,1,6,1,,6,3,3,,,1
ami,adj,27,11,10,6,7,18,2,3,,4,8,8,2,,2,
amoureux,adj,8,,7,1,,8,,,,,,7,1,,,
ancien,adj,13,7,4,2,3,9,1,1,1,1,6,2,1,,1,
ancien(l'),adj,10,2,4,4,5,3,2,,1,4,1,2,,1,1,
anglo-saxon,adj,5,3,2,,2,2,1,2,,,1,1,,,1,
annuel,adj,6,3,3,,,6,,,,,3,3,,,,
anonyme,adj,7,3,3,1,,7,,,,,3,3,1,,,
antidémocratique,adj,8,3,4,1,2,4,2,2,,,1,2,1,,2,
arabe,adj,12,11,1,,3,6,3,3,,,5,1,,3,,
archaïque,adj,7,,4,3,,7,,,,,,4,3,,,
argent,adj,4,1,3,,3,1,,,3,,1,,,,,
artificiel,adj,8,2,3,3,5,2,1,1,2,2,,1,1,1,,
artiste,adj,1,,1,,,1,,,,,,1,,,,
